START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: ON6AT
CLUB: UBA - ZLZ
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TIME: 12-HOURS
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 125060
OPERATORS: ON6AT
OFFTIME:
SOAPBOX: Yeasu FT-950 50w  ANT (10-40m = R8) (80m = W8010)
NAME: Patrick Elyn
CREATED-BY: N1MM Logger V13.10.2
QSO: 28002 CW 2013-11-23 1301 ON6AT         599 14     OG1M          599 15
QSO: 28003 CW 2013-11-23 1308 ON6AT         599 14     K3CR          599 05
QSO: 28003 CW 2013-11-23 1310 ON6AT         599 14     W1FJ          599 05
QSO: 28004 CW 2013-11-23 1313 ON6AT         599 14     K0DQ          599 05
QSO: 28005 CW 2013-11-23 1315 ON6AT         599 14     WC1M          599 05
QSO: 28006 CW 2013-11-23 1316 ON6AT         599 14     YL2SM         599 15
QSO: 28007 CW 2013-11-23 1317 ON6AT         599 14     K3WW          599 05
QSO: 28009 CW 2013-11-23 1322 ON6AT         599 14     K3LR          599 05
QSO: 28010 CW 2013-11-23 1323 ON6AT         599 14     VE3E          599 04
QSO: 28012 CW 2013-11-23 1325 ON6AT         599 14     P3Z           599 20
QSO: 28016 CW 2013-11-23 1453 ON6AT         599 14     K2QMF         599 05
QSO: 28016 CW 2013-11-23 1454 ON6AT         599 14     KQ2M          599 05
QSO: 28017 CW 2013-11-23 1456 ON6AT         599 14     KC1XX         599 05
QSO: 28017 CW 2013-11-23 1457 ON6AT         599 14     VE3JM         599 04
QSO: 28019 CW 2013-11-23 1501 ON6AT         599 14     P3N           599 20
QSO: 28021 CW 2013-11-23 1507 ON6AT         599 14     K1FWE         599 05
QSO: 28021 CW 2013-11-23 1508 ON6AT         599 14     EA8CN         599 33
QSO: 28024 CW 2013-11-23 1510 ON6AT         599 14     W1VE          599 05
QSO: 28024 CW 2013-11-23 1511 ON6AT         599 14     P40L          599 09
QSO: 28026 CW 2013-11-23 1513 ON6AT         599 14     VP2V/N3DXX    599 08
QSO: 28029 CW 2013-11-23 1521 ON6AT         599 14     CJ3T          599 04
QSO: 28030 CW 2013-11-23 1539 ON6AT         599 14     HI3A          599 08
QSO: 28031 CW 2013-11-23 1539 ON6AT         599 14     N5AW          599 04
QSO: 28031 CW 2013-11-23 1540 ON6AT         599 14     N3UM          599 05
QSO: 28034 CW 2013-11-23 1544 ON6AT         599 14     9A1P          599 15
QSO: 28036 CW 2013-11-23 1551 ON6AT         599 14     CR3L          599 33
QSO: 14000 CW 2013-11-23 1851 ON6AT         599 14     K1LZ          599 05
QSO: 14001 CW 2013-11-23 1856 ON6AT         599 14     KK7BR         599 03
QSO: 14001 CW 2013-11-23 1857 ON6AT         599 14     W2FU          599 05
QSO: 14002 CW 2013-11-23 1900 ON6AT         599 14     AD8P          599 04
QSO: 14006 CW 2013-11-23 1902 ON6AT         599 14     K3LR          599 05
QSO: 14006 CW 2013-11-23 1903 ON6AT         599 14     NR4M          599 05
QSO: 14006 CW 2013-11-23 1904 ON6AT         599 14     WE3C          599 05
QSO: 14007 CW 2013-11-23 1905 ON6AT         599 14     KC1XX         599 05
QSO: 14008 CW 2013-11-23 1906 ON6AT         599 14     K3WW          599 05
QSO: 14008 CW 2013-11-23 1907 ON6AT         599 14     K1ZZ          599 05
QSO: 14009 CW 2013-11-23 1910 ON6AT         599 14     N3RR          599 05
QSO: 14015 CW 2013-11-23 1913 ON6AT         599 14     NY3A          599 05
QSO: 14015 CW 2013-11-23 1914 ON6AT         599 14     NQ4I          599 05
QSO: 14018 CW 2013-11-23 1915 ON6AT         599 14     K0RF          599 04
QSO: 14018 CW 2013-11-23 1916 ON6AT         599 14     KB1H          599 05
QSO: 14023 CW 2013-11-23 1921 ON6AT         599 14     K2NV          599 05
QSO: 14030 CW 2013-11-23 1924 ON6AT         599 14     W1VE          599 05
QSO: 14031 CW 2013-11-23 1925 ON6AT         599 14     KB1W          599 05
QSO: 14031 CW 2013-11-23 1926 ON6AT         599 14     K2QMF         599 05
QSO: 14036 CW 2013-11-23 1927 ON6AT         599 14     K4ZW          599 05
QSO: 14036 CW 2013-11-23 1928 ON6AT         599 14     K1JB          599 05
QSO: 14039 CW 2013-11-23 1929 ON6AT         599 14     KS1J          599 05
QSO: 14039 CW 2013-11-23 1931 ON6AT         599 14     W9RE          599 04
QSO: 14045 CW 2013-11-23 1935 ON6AT         599 14     D4C           599 35
QSO: 14046 CW 2013-11-23 1936 ON6AT         599 14     AB4B          599 04
QSO: 14049 CW 2013-11-23 1940 ON6AT         599 14     K1FWE         599 05
QSO: 14050 CW 2013-11-23 1948 ON6AT         599 14     CR3E          599 33
QSO: 14041 CW 2013-11-23 2000 ON6AT         599 14     K2MK          599 05
QSO:  7001 CW 2013-11-23 2013 ON6AT         599 14     RM4F          599 16
QSO:  7003 CW 2013-11-23 2015 ON6AT         599 14     ED6A          599 14
QSO:  7004 CW 2013-11-23 2017 ON6AT         599 14     P33W          599 20
QSO:  7009 CW 2013-11-23 2035 ON6AT         599 14     UA5C          599 16
QSO:  7011 CW 2013-11-23 2037 ON6AT         599 14     LZ5K          599 20
QSO:  7012 CW 2013-11-23 2038 ON6AT         599 14     RW9JZ         599 17
QSO:  7013 CW 2013-11-23 2044 ON6AT         599 14     RC9O          599 18
QSO:  7014 CW 2013-11-23 2045 ON6AT         599 14     RK4FM         599 16
QSO:  7014 CW 2013-11-23 2046 ON6AT         599 14     OR5T          599 14
QSO:  7016 CW 2013-11-23 2306 ON6AT         599 14     LY2W          599 15
QSO:  7015 CW 2013-11-23 2311 ON6AT         599 14     N4UU          599 05
QSO:  7016 CW 2013-11-23 2312 ON6AT         599 14     OH1F          599 15
QSO:  7018 CW 2013-11-23 2314 ON6AT         599 14     UT7E          599 16
QSO:  7020 CW 2013-11-23 2319 ON6AT         599 14     S58N          599 15
QSO:  7022 CW 2013-11-23 2321 ON6AT         599 14     S51F          599 15
QSO:  7022 CW 2013-11-23 2322 ON6AT         599 14     EF1A          599 14
QSO:  7023 CW 2013-11-23 2323 ON6AT         599 14     IR9Y          599 15
QSO:  7023 CW 2013-11-23 2324 ON6AT         599 14     YT7A          599 15
QSO:  7024 CW 2013-11-23 2325 ON6AT         599 14     YO6FGZ        599 20
QSO:  7025 CW 2013-11-23 2326 ON6AT         599 14     SO4M          599 15
QSO:  7025 CW 2013-11-23 2328 ON6AT         599 14     3Z5W          599 15
QSO:  7026 CW 2013-11-23 2329 ON6AT         599 14     9A1A          599 15
QSO:  7027 CW 2013-11-23 2330 ON6AT         599 14     N3BNA         599 05
QSO:  7027 CW 2013-11-23 2331 ON6AT         599 14     RT6A          599 16
QSO:  7028 CW 2013-11-23 2332 ON6AT         599 14     NY4A          599 05
QSO:  7029 CW 2013-11-23 2333 ON6AT         599 14     9A7A          599 15
QSO:  7029 CW 2013-11-23 2336 ON6AT         599 14     YR8I          599 20
QSO:  7030 CW 2013-11-23 2337 ON6AT         599 14     HG1R          599 15
QSO:  7031 CW 2013-11-23 2338 ON6AT         599 14     9A8M          599 15
QSO:  7031 CW 2013-11-23 2340 ON6AT         599 14     HF9Q          599 15
QSO:  7032 CW 2013-11-23 2341 ON6AT         599 14     HA30S         599 15
QSO:  7033 CW 2013-11-23 2343 ON6AT         599 14     LZ9W          599 20
QSO:  7033 CW 2013-11-23 2345 ON6AT         599 14     VE3MIS        599 04
QSO:  7034 CW 2013-11-23 2346 ON6AT         599 14     RK3R          599 16
QSO:  7035 CW 2013-11-23 2349 ON6AT         599 14     OH0V          599 15
QSO:  7036 CW 2013-11-23 2350 ON6AT         599 14     UW1M          599 16
QSO:  7036 CW 2013-11-23 2352 ON6AT         599 14     E7DX          599 15
QSO:  7037 CW 2013-11-23 2353 ON6AT         599 14     OM7M          599 15
QSO:  7038 CW 2013-11-23 2353 ON6AT         599 14     UZ2M          599 16
QSO:  7038 CW 2013-11-23 2354 ON6AT         599 14     PJ2T          599 09
QSO:  7038 CW 2013-11-23 2355 ON6AT         599 14     EA5RS         599 14
QSO:  7040 CW 2013-11-23 2359 ON6AT         599 14     R7HF          599 16
QSO:  7042 CW 2013-11-24 0000 ON6AT         599 14     K1AR          599 05
QSO:  7043 CW 2013-11-24 0002 ON6AT         599 14     K1KI          599 05
QSO:  7044 CW 2013-11-24 0002 ON6AT         599 14     9A2AJ         599 15
QSO:  7044 CW 2013-11-24 0006 ON6AT         599 14     HG7T          599 15
QSO:  7045 CW 2013-11-24 0006 ON6AT         599 14     W2FU          599 05
QSO:  7046 CW 2013-11-24 0007 ON6AT         599 14     K1KP          599 05
QSO:  7047 CW 2013-11-24 0008 ON6AT         599 14     ED1B          599 14
QSO:  7047 CW 2013-11-24 0009 ON6AT         599 14     K1FWE         599 05
QSO:  7049 CW 2013-11-24 0011 ON6AT         599 14     UW3U          599 16
QSO:  7050 CW 2013-11-24 0012 ON6AT         599 14     TC0A          599 20
QSO:  7050 CW 2013-11-24 0013 ON6AT         599 14     VE3JM         599 04
QSO:  7051 CW 2013-11-24 0015 ON6AT         599 14     ES9C          599 15
QSO:  7054 CW 2013-11-24 0018 ON6AT         599 14     N0NI          599 04
QSO:  7055 CW 2013-11-24 0019 ON6AT         599 14     OK2RRR        599 15
QSO:  7056 CW 2013-11-24 0020 ON6AT         599 14     LY7A          599 15
QSO:  7056 CW 2013-11-24 0024 ON6AT         599 14     TO7A          599 08
QSO:  7058 CW 2013-11-24 0028 ON6AT         599 14     EF8X          599 33
QSO:  7060 CW 2013-11-24 0029 ON6AT         599 14     YU5R          599 15
QSO:  7062 CW 2013-11-24 0030 ON6AT         599 14     K1HI          599 05
QSO:  7063 CW 2013-11-24 0031 ON6AT         599 14     RN3F          599 16
QSO:  7063 CW 2013-11-24 0032 ON6AT         599 14     S56CW         599 15
QSO:  7065 CW 2013-11-24 0032 ON6AT         599 14     EA3DU         599 14
QSO:  7065 CW 2013-11-24 0033 ON6AT         599 14     OH8X          599 15
QSO:  7065 CW 2013-11-24 0034 ON6AT         599 14     IK0YVV        599 15
QSO:  7002 CW 2013-11-24 0036 ON6AT         599 14     K5ZD          599 05
QSO:  7003 CW 2013-11-24 0038 ON6AT         599 14     SX8M          599 20
QSO:  7004 CW 2013-11-24 0038 ON6AT         599 14     WE3C          599 05
QSO:  7005 CW 2013-11-24 0041 ON6AT         599 14     P3F           599 20
QSO:  7005 CW 2013-11-24 0042 ON6AT         599 14     K1ZZ          599 05
QSO:  3500 CW 2013-11-24 0653 ON6AT         599 14     K3LR          599 05
QSO:  3501 CW 2013-11-24 0654 ON6AT         599 14     W1MK          599 05
QSO:  3502 CW 2013-11-24 0655 ON6AT         599 14     K0TQ          599 04
QSO:  3504 CW 2013-11-24 0700 ON6AT         599 14     W1WMU         599 05
QSO:  3506 CW 2013-11-24 0705 ON6AT         599 14     CR3E          599 33
QSO:  3507 CW 2013-11-24 0706 ON6AT         599 14     EI1Y          599 14
QSO:  3509 CW 2013-11-24 0707 ON6AT         599 14     NQ4I          599 05
QSO:  3509 CW 2013-11-24 0709 ON6AT         599 14     G4PIQ         599 14
QSO:  3510 CW 2013-11-24 0710 ON6AT         599 14     OH6MW         599 15
QSO:  3510 CW 2013-11-24 0710 ON6AT         599 14     ON7PQ         599 14
QSO:  3511 CW 2013-11-24 0713 ON6AT         599 14     HB0/DF4SA     599 14
