START-OF-LOG: 3.0
LOCATION: SV
CALLSIGN: W6RKC
CLUB: Mother Lode DX/Contest Club
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 430192
OPERATORS: W6RKC
NAME: Rick Casey
SOAPBOX: Autumn & CQWW, that exciting time of year when W6 gets
SOAPBOX: to listen to Zone 5 run Europe for 48 hours!
CREATED-BY: N1MM Logger V13.10.1
QSO: 28001 CW 2013-11-23 0000 W6RKC         599 3      JH3AIU        599 25
QSO: 28029 CW 2013-11-23 0003 W6RKC         599 3      JO4BOW        599 25
QSO: 28032 CW 2013-11-23 0004 W6RKC         599 3      JA6WIF        599 25
QSO: 28033 CW 2013-11-23 0004 W6RKC         599 3      AH0K          599 27
QSO: 28034 CW 2013-11-23 0005 W6RKC         599 3      JF2QNM        599 25
QSO: 28035 CW 2013-11-23 0006 W6RKC         599 3      JA3YBK        599 25
QSO: 28036 CW 2013-11-23 0006 W6RKC         599 3      JM7OLW        599 25
QSO: 28037 CW 2013-11-23 0007 W6RKC         599 3      JG3SVP        599 25
QSO: 28011 CW 2013-11-23 0007 W6RKC         599 3      9M6NA         599 28
QSO: 28012 CW 2013-11-23 0009 W6RKC         599 3      RT0F          599 19
QSO: 28040 CW 2013-11-23 0010 W6RKC         599 3      JF1SQC        599 25
QSO: 28040 CW 2013-11-23 0010 W6RKC         599 3      AH0S/KH2      599 27
QSO: 28041 CW 2013-11-23 0011 W6RKC         599 3      RW0MM         599 19
QSO: 28041 CW 2013-11-23 0012 W6RKC         599 3      7J1AAI        599 25
QSO: 28044 CW 2013-11-23 0013 W6RKC         599 3      JA5FBZ        599 25
QSO: 28045 CW 2013-11-23 0013 W6RKC         599 3      RT0C          599 19
QSO: 28045 CW 2013-11-23 0014 W6RKC         599 3      JF1KML        599 25
QSO: 28018 CW 2013-11-23 0014 W6RKC         599 3      BY5CD         599 24
QSO: 28046 CW 2013-11-23 0015 W6RKC         599 3      RU0LL         599 19
QSO: 28049 CW 2013-11-23 0016 W6RKC         599 3      JA7BME        599 25
QSO: 28050 CW 2013-11-23 0016 W6RKC         599 3      JH9KVF        599 25
QSO: 28052 CW 2013-11-23 0017 W6RKC         599 3      KL7RA         599 01
QSO: 28055 CW 2013-11-23 0017 W6RKC         599 3      JH6WHN        599 25
QSO: 28058 CW 2013-11-23 0019 W6RKC         599 3      JE7JDL        599 25
QSO: 28059 CW 2013-11-23 0019 W6RKC         599 3      RA/KE5JA      599 19
QSO: 28063 CW 2013-11-23 0020 W6RKC         599 3      JL1SAM        599 25
QSO: 28064 CW 2013-11-23 0020 W6RKC         599 3      JN2AMD        599 25
QSO: 28043 CW 2013-11-23 0022 W6RKC         599 3      VK6LW         599 29
QSO: 28028 CW 2013-11-23 0022 W6RKC         599 3      VK7CW         599 30
QSO: 28072 CW 2013-11-23 0024 W6RKC         599 3      JF2IWW        599 25
QSO:  3509 CW 2013-11-23 0720 W6RKC         599 3      HR2J          599 07
QSO:  3512 CW 2013-11-23 0722 W6RKC         599 3      T43T          599 08
QSO:  3548 CW 2013-11-23 0726 W6RKC         599 3      VA7ST         599 03
QSO:  3535 CW 2013-11-23 0727 W6RKC         599 3      D4C           599 35
QSO:  3528 CW 2013-11-23 0729 W6RKC         599 3      VE7GL         599 03
QSO:  3527 CW 2013-11-23 0730 W6RKC         599 3      P40L          599 09
QSO:  3526 CW 2013-11-23 0731 W6RKC         599 3      KH6LC         599 31
QSO:  3522 CW 2013-11-23 0733 W6RKC         599 3      C6AKQ         599 08
QSO:  3516 CW 2013-11-23 0734 W6RKC         599 3      KH7XX         599 31
QSO:  3514 CW 2013-11-23 0735 W6RKC         599 3      JA7MSQ        599 25
QSO:  3521 CW 2013-11-23 0740 W6RKC         599 3      KL7KY         599 01
QSO:  3519 CW 2013-11-23 0741 W6RKC         599 3      PJ4A          599 09
QSO:  3553 CW 2013-11-23 0745 W6RKC         599 3      VE3JM         599 04
QSO:  3550 CW 2013-11-23 0748 W6RKC         599 3      9Y4/VE3EY     599 09
QSO:  3541 CW 2013-11-23 0749 W6RKC         599 3      HK1NA         599 09
QSO:  3503 CW 2013-11-23 0800 W6RKC         599 3      JH1AEP        599 25
QSO:  3523 CW 2013-11-23 0804 W6RKC         599 3      JA3YBK        599 25
QSO:  3537 CW 2013-11-23 0806 W6RKC         599 3      VA7KO         599 03
QSO:  3557 CW 2013-11-23 0811 W6RKC         599 3      YV5KG         599 09
QSO:  3518 CW 2013-11-23 0813 W6RKC         599 3      VE3EJ         599 04
QSO:  3521 CW 2013-11-23 0814 W6RKC         599 3      YN2CC         599 07
QSO:  3526 CW 2013-11-23 0815 W6RKC         599 3      JA5FDJ        599 25
QSO:  3519 CW 2013-11-23 0924 W6RKC         599 3      PJ4Q          599 09
QSO:  3513 CW 2013-11-23 0926 W6RKC         599 3      NP4A          599 08
QSO:  3515 CW 2013-11-23 0927 W6RKC         599 3      JA1VND        599 25
QSO:  3524 CW 2013-11-23 0930 W6RKC         599 3      PJ2T          599 09
QSO:  3526 CW 2013-11-23 0930 W6RKC         599 3      VE7UF         599 03
QSO:  3538 CW 2013-11-23 0935 W6RKC         599 3      P40F          599 09
QSO: 21029 CW 2013-11-23 1622 W6RKC         599 3      E7DX          599 15
QSO: 21009 CW 2013-11-23 1624 W6RKC         599 3      TC0A          599 20
QSO: 21013 CW 2013-11-23 1624 W6RKC         599 3      GW5R          599 14
QSO: 21095 CW 2013-11-23 1626 W6RKC         599 3      E73M          599 15
QSO: 21096 CW 2013-11-23 1628 W6RKC         599 3      YT0Z          599 15
QSO: 21003 CW 2013-11-23 1630 W6RKC         599 3      S52ZW         599 15
QSO: 21018 CW 2013-11-23 1631 W6RKC         599 3      9A7A          599 15
QSO: 21051 CW 2013-11-23 1632 W6RKC         599 3      DP9A          599 14
QSO: 21026 CW 2013-11-23 1633 W6RKC         599 3      SP3ASN        599 15
QSO: 21016 CW 2013-11-23 1633 W6RKC         599 3      LY5R          599 15
QSO: 21010 CW 2013-11-23 1634 W6RKC         599 3      YL2SM         599 15
QSO: 21083 CW 2013-11-23 1634 W6RKC         599 3      GM5X          599 14
QSO: 21093 CW 2013-11-23 1635 W6RKC         599 3      SM5INC        599 14
QSO: 21094 CW 2013-11-23 1635 W6RKC         599 3      EA5KM         599 14
QSO: 21092 CW 2013-11-23 1636 W6RKC         599 3      PA6NB         599 14
QSO: 21049 CW 2013-11-23 1637 W6RKC         599 3      G9W           599 14
QSO: 21102 CW 2013-11-23 1639 W6RKC         599 3      OR2A          599 14
QSO: 21097 CW 2013-11-23 1640 W6RKC         599 3      LY7A          599 15
QSO: 21098 CW 2013-11-23 1641 W6RKC         599 3      LY7Z          599 15
QSO: 21110 CW 2013-11-23 1643 W6RKC         599 3      OL8M          599 15
QSO: 21111 CW 2013-11-23 1643 W6RKC         599 3      DK5DQ         599 14
QSO: 21111 CW 2013-11-23 1644 W6RKC         599 3      TM1A          599 14
QSO: 21127 CW 2013-11-23 1646 W6RKC         599 3      N2WQ/VE3      599 04
QSO: 21129 CW 2013-11-23 1647 W6RKC         599 3      SP9KAO        599 15
QSO: 28079 CW 2013-11-23 1648 W6RKC         599 3      OK5W          599 15
QSO: 28004 CW 2013-11-23 1649 W6RKC         599 3      F8GRY         599 14
QSO: 28007 CW 2013-11-23 1650 W6RKC         599 3      CN2AA         599 33
QSO: 28010 CW 2013-11-23 1650 W6RKC         599 3      EA7PP         599 14
QSO: 28038 CW 2013-11-23 1652 W6RKC         599 3      EI7M          599 14
QSO: 28051 CW 2013-11-23 1653 W6RKC         599 3      G4X           599 14
QSO: 28043 CW 2013-11-23 1653 W6RKC         599 3      MI0BPB        599 14
QSO: 28102 CW 2013-11-23 1654 W6RKC         599 3      MZ8A          599 14
QSO: 28016 CW 2013-11-23 1656 W6RKC         599 3      EA5RS         599 14
QSO: 28050 CW 2013-11-23 1658 W6RKC         599 3      EA6URA        599 14
QSO: 28059 CW 2013-11-23 1658 W6RKC         599 3      DR1A          599 14
QSO: 28063 CW 2013-11-23 1659 W6RKC         599 3      OK7K          599 15
QSO: 28080 CW 2013-11-23 1701 W6RKC         599 3      ON4WW         599 14
QSO: 28075 CW 2013-11-23 1701 W6RKC         599 3      PA3GVI        599 14
QSO: 28036 CW 2013-11-23 1704 W6RKC         599 3      HA30S         599 15
QSO: 28049 CW 2013-11-23 1707 W6RKC         599 3      PA5KT         599 14
QSO: 28029 CW 2013-11-23 1707 W6RKC         599 3      M6T           599 14
QSO: 28027 CW 2013-11-23 1708 W6RKC         599 3      EF2A          599 14
QSO: 28022 CW 2013-11-23 1710 W6RKC         599 3      LX7I          599 14
QSO: 28064 CW 2013-11-23 1713 W6RKC         599 3      GM3X          599 14
QSO: 28089 CW 2013-11-23 1714 W6RKC         599 3      M3W           599 14
QSO: 28066 CW 2013-11-23 1715 W6RKC         599 3      G2F           599 14
QSO: 28048 CW 2013-11-23 1716 W6RKC         599 3      EI1Y          599 14
QSO: 28013 CW 2013-11-23 1718 W6RKC         599 3      EF5R          599 14
QSO: 28019 CW 2013-11-23 1718 W6RKC         599 3      TM2Y          599 14
QSO: 28020 CW 2013-11-23 1719 W6RKC         599 3      F8DGY         599 14
QSO: 28023 CW 2013-11-23 1719 W6RKC         599 3      ON4UN         599 14
QSO: 21050 CW 2013-11-23 1722 W6RKC         599 3      TF3CW         599 40
QSO: 21041 CW 2013-11-23 1723 W6RKC         599 3      RU1A          599 16
QSO: 21030 CW 2013-11-23 1724 W6RKC         599 3      D4C           599 35
QSO: 21066 CW 2013-11-23 1724 W6RKC         599 3      HG1R          599 15
QSO: 21087 CW 2013-11-23 1724 W6RKC         599 3      IR2L          599 15
QSO: 21090 CW 2013-11-23 1725 W6RKC         599 3      LX7I          599 14
QSO: 21053 CW 2013-11-23 1726 W6RKC         599 3      LB1GB         599 14
QSO: 21033 CW 2013-11-23 1727 W6RKC         599 3      IR9Y          599 15
QSO: 21036 CW 2013-11-23 1728 W6RKC         599 3      YU1UN         599 15
QSO: 21008 CW 2013-11-23 1728 W6RKC         599 3      S57C          599 15
QSO: 21005 CW 2013-11-23 1729 W6RKC         599 3      OL3Z          599 15
QSO: 21014 CW 2013-11-23 1730 W6RKC         599 3      S59ABC        599 15
QSO: 21015 CW 2013-11-23 1730 W6RKC         599 3      F8CIL         599 14
QSO: 21041 CW 2013-11-23 1732 W6RKC         599 3      HF9Q          599 15
QSO: 21058 CW 2013-11-23 1733 W6RKC         599 3      DF0HQ         599 14
QSO: 21070 CW 2013-11-23 1734 W6RKC         599 3      SK3W          599 14
QSO: 21078 CW 2013-11-23 1734 W6RKC         599 3      IR4X          599 15
QSO: 21095 CW 2013-11-23 1735 W6RKC         599 3      PI4DX         599 14
QSO: 28099 CW 2013-11-23 1949 W6RKC         599 3      CE3KHZ        599 12
