START-OF-LOG: 3.0
LOCATION: KY
CALLSIGN: K4IE
CLUB: Kentucky Contest Group
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 795932
OPERATORS: K4IE
SOAPBOX: Great conditions.  Wish I could have operated all weekend.  First
SOAPBOX: night I had a hard time getting anyone to answer me, then realized I
SOAPBOX: was working QRP.  I had accidentally left the power down on the K-3.
NAME: Tom Fitzpatrick
CREATED-BY: N1MM Logger V13.10.1
QSO: 14017 CW 2013-11-23 0010 K4IE          599 4      VP9I          599 05
QSO: 14017 CW 2013-11-23 0013 K4IE          599 4      CE3AA         599 12
QSO: 14031 CW 2013-11-23 0016 K4IE          599 4      VP5CW         599 08
QSO: 14035 CW 2013-11-23 0018 K4IE          599 4      OH8L          599 15
QSO: 14037 CW 2013-11-23 0019 K4IE          599 4      CR3E          599 33
QSO: 14037 CW 2013-11-23 0020 K4IE          599 4      9J3A          599 36
QSO: 14038 CW 2013-11-23 0020 K4IE          599 4      KP2M          599 08
QSO: 14041 CW 2013-11-23 0023 K4IE          599 4      J73A          599 08
QSO: 14044 CW 2013-11-23 0025 K4IE          599 4      D4C           599 35
QSO: 14047 CW 2013-11-23 0029 K4IE          599 4      OH1F          599 15
QSO: 14048 CW 2013-11-23 0031 K4IE          599 4      PY3OZ         599 11
QSO: 14049 CW 2013-11-23 0032 K4IE          599 4      SJ2W          599 14
QSO: 14050 CW 2013-11-23 0033 K4IE          599 4      PJ2T          599 09
QSO: 14053 CW 2013-11-23 0035 K4IE          599 4      9Y4/VE3EY     599 09
QSO: 14067 CW 2013-11-23 0038 K4IE          599 4      9Y4W          599 09
QSO: 14069 CW 2013-11-23 0039 K4IE          599 4      AL1G          599 01
QSO: 21040 CW 2013-11-23 0104 K4IE          599 4      AH2R          599 27
QSO: 21054 CW 2013-11-23 0105 K4IE          599 4      NH2T          599 27
QSO: 21075 CW 2013-11-23 0106 K4IE          599 4      VE7VR         599 03
QSO: 14005 CW 2013-11-23 0108 K4IE          599 4      P40L          599 09
QSO: 14007 CW 2013-11-23 0111 K4IE          599 4      ZW8T          599 11
QSO: 14011 CW 2013-11-23 0114 K4IE          599 4      ZS6JM         599 38
QSO: 14022 CW 2013-11-23 0118 K4IE          599 4      PY2NY         599 11
QSO: 14030 CW 2013-11-23 0120 K4IE          599 4      WP3Y          599 08
QSO: 14032 CW 2013-11-23 0121 K4IE          599 4      HK1NA         599 09
QSO: 14036 CW 2013-11-23 0125 K4IE          599 4      HR2J          599 07
QSO: 14042 CW 2013-11-23 0127 K4IE          599 4      KP2B          599 08
QSO: 14046 CW 2013-11-23 0129 K4IE          599 4      JA7FTR        599 25
QSO: 14005 CW 2013-11-23 0137 K4IE          599 4      PY1KN         599 11
QSO: 14016 CW 2013-11-23 0139 K4IE          599 4      CX2DK         599 13
QSO: 14021 CW 2013-11-23 0141 K4IE          599 4      CE3CT         599 12
QSO: 14045 CW 2013-11-23 0148 K4IE          599 4      P40F          599 09
QSO: 14051 CW 2013-11-23 0150 K4IE          599 4      V26K          599 08
QSO: 14074 CW 2013-11-23 0203 K4IE          599 4      PP5BZ         599 11
QSO:  7003 CW 2013-11-23 0207 K4IE          599 4      EF5F          599 14
QSO:  7006 CW 2013-11-23 0210 K4IE          599 4      EA5RS         599 14
QSO:  7007 CW 2013-11-23 0212 K4IE          599 4      TM6M          599 14
QSO:  7007 CW 2013-11-23 0213 K4IE          599 4      9A1P          599 15
QSO:  7011 CW 2013-11-23 0223 K4IE          599 4      EA7PP         599 14
QSO:  7017 CW 2013-11-23 0229 K4IE          599 4      DK6XZ         599 14
QSO:  7020 CW 2013-11-23 0232 K4IE          599 4      DJ5MW         599 14
QSO:  7020 CW 2013-11-23 0234 K4IE          599 4      TM2Y          599 14
QSO:  7020 CW 2013-11-23 0235 K4IE          599 4      OK5W          599 15
QSO:  7021 CW 2013-11-23 0237 K4IE          599 4      S51F          599 15
QSO:  7024 CW 2013-11-23 0246 K4IE          599 4      SP4Z          599 15
QSO:  7024 CW 2013-11-23 0246 K4IE          599 4      OK1FPS        599 15
QSO:  7026 CW 2013-11-23 0247 K4IE          599 4      SO4M          599 15
QSO:  7027 CW 2013-11-23 0250 K4IE          599 4      EF2A          599 14
QSO:  7029 CW 2013-11-23 0253 K4IE          599 4      XE2S          599 06
QSO:  7029 CW 2013-11-23 0257 K4IE          599 4      SP8R          599 15
QSO:  7030 CW 2013-11-23 0258 K4IE          599 4      DF3CB         599 14
QSO:  7033 CW 2013-11-23 0303 K4IE          599 4      LZ9W          599 20
QSO:  7035 CW 2013-11-23 0306 K4IE          599 4      YP9W          599 20
QSO:  7036 CW 2013-11-23 0308 K4IE          599 4      IR2L          599 15
QSO:  7037 CW 2013-11-23 0310 K4IE          599 4      PJ2T          599 09
QSO:  7042 CW 2013-11-23 0320 K4IE          599 4      EF8U          599 33
QSO:  3516 CW 2013-11-23 0343 K4IE          599 4      VY2TT         599 05
