START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CREATED-BY: AATest v.1.105
CALLSIGN: M0TJU
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 180400
OPERATORS: M0TJU
CLUB:  
NAME: Evan Duffield
SOAPBOX: Great condix and - of course - plenty of activity.
QSO:  7000 CW 2013-11-23 0000 M0TJU         599 14     HG7T          599 15
QSO:  7000 CW 2013-11-23 0004 M0TJU         599 14     P33W          599 20
QSO:  7000 CW 2013-11-23 0005 M0TJU         599 14     IR4M          599 15
QSO:  7000 CW 2013-11-23 0010 M0TJU         599 14     VE3JM         599 04
QSO:  7000 CW 2013-11-23 0011 M0TJU         599 14     9A1A          599 15
QSO:  7000 CW 2013-11-23 0013 M0TJU         599 14     Z37M          599 15
QSO:  7000 CW 2013-11-23 0015 M0TJU         599 14     YP9W          599 20
QSO:  7000 CW 2013-11-23 0016 M0TJU         599 14     LZ9W          599 20
QSO:  7000 CW 2013-11-23 0017 M0TJU         599 14     OE3K          599 15
QSO:  7000 CW 2013-11-23 0019 M0TJU         599 14     S51F          599 15
QSO:  7000 CW 2013-11-23 0020 M0TJU         599 14     E7DX          599 15
QSO:  7000 CW 2013-11-23 0023 M0TJU         599 14     4L3T          599 21
QSO:  7000 CW 2013-11-23 0023 M0TJU         599 14     EA4KD         599 14
QSO:  7000 CW 2013-11-23 0026 M0TJU         599 14     RT7T          599 16
QSO:  7000 CW 2013-11-23 0027 M0TJU         599 14     UX4U          599 16
QSO:  7000 CW 2013-11-23 0031 M0TJU         599 14     RT6A          599 16
QSO:  7000 CW 2013-11-23 0032 M0TJU         599 14     SN5T          599 15
QSO:  7000 CW 2013-11-23 0039 M0TJU         599 14     EF5F          599 15
QSO:  7000 CW 2013-11-23 0040 M0TJU         599 14     K0DQ          599 05
QSO:  7000 CW 2013-11-23 0041 M0TJU         599 14     ED6A          599 14
QSO:  7000 CW 2013-11-23 0043 M0TJU         599 14     ES9C          599 15
QSO:  7000 CW 2013-11-23 0044 M0TJU         599 14     HA7A          599 15
QSO:  7000 CW 2013-11-23 0045 M0TJU         599 14     UZ2M          599 16
QSO:  7000 CW 2013-11-23 0049 M0TJU         599 14     OM3TZZ        599 15
QSO:  7000 CW 2013-11-23 0052 M0TJU         599 14     K4VV          599 05
QSO:  7000 CW 2013-11-23 0054 M0TJU         599 14     HA30S         599 15
