START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.10.0
CONTEST: CQ-WW-CW
LOCATION: DX
CALLSIGN: EI7M
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 13492800
OPERATORS: EI3DP EI3KD EI3JZ EI4BZ EI5GM EI5KF EI6BT EI8IR EI3JE
NAME: East Cork Radio Group
SOAPBOX: Very good weekend at EI7M - we managed to improve on last years score
SOAPBOX: by 3 million points so it shows very good progress. Band conditions
SOAPBOX: good but not like SSB contest.  We did have some problems with our 40m
SOAPBOX: antenna - rotator faulty (twice) and then a lifting pulley broke - but
SOAPBOX: it didn't impact on our score too much thanks to the on-site
SOAPBOX: maintenance crew.  We also had some CAT problems on the mult station
SOAPBOX: rig which made logging a little tricky. Special thanks to Ger EI5KF
SOAPBOX: (the rotator guru!) and Jeremy EI5GM who joined us for the first time.
SOAPBOX: Hopefully we will all do it again for ARRL CW.
QSO:  3502 CW 2013-11-23 0001 EI7M          599 14     NQ4I          599 05     1
QSO:  7024 CW 2013-11-23 0003 EI7M          599 14     YU1EL         599 15     0
QSO:  7024 CW 2013-11-23 0004 EI7M          599 14     K4FXN         599 04     0
QSO:  7024 CW 2013-11-23 0004 EI7M          599 14     N9AU          599 04     0
QSO:  7024 CW 2013-11-23 0005 EI7M          599 14     K1ZZ          599 05     0
QSO:  3517 CW 2013-11-23 0005 EI7M          599 14     DF0HQ         599 14     1
QSO:  7024 CW 2013-11-23 0006 EI7M          599 14     N3RR          599 05     0
QSO:  7024 CW 2013-11-23 0006 EI7M          599 14     KC1XX         599 05     0
QSO:  7024 CW 2013-11-23 0007 EI7M          599 14     YR8D          599 20     0
QSO:  7024 CW 2013-11-23 0007 EI7M          599 14     W0SZ          599 04     0
QSO:  7024 CW 2013-11-23 0008 EI7M          599 14     RX9FJ         599 17     0
QSO:  7024 CW 2013-11-23 0009 EI7M          599 14     IK0XFD        599 15     0
QSO:  7024 CW 2013-11-23 0009 EI7M          599 14     W3KB          599 05     0
QSO:  7024 CW 2013-11-23 0009 EI7M          599 14     RV4AB         599 16     0
QSO:  3529 CW 2013-11-23 0009 EI7M          599 14     9A1A          599 15     1
QSO:  7024 CW 2013-11-23 0010 EI7M          599 14     US0HZ         599 16     0
QSO:  7024 CW 2013-11-23 0010 EI7M          599 14     K0AD          599 04     0
QSO:  7024 CW 2013-11-23 0010 EI7M          599 14     OK1BB         599 15     0
QSO:  7024 CW 2013-11-23 0011 EI7M          599 14     OK5T          599 15     0
QSO:  7024 CW 2013-11-23 0011 EI7M          599 14     W1NT          599 05     0
QSO:  7024 CW 2013-11-23 0012 EI7M          599 14     WA8MCD        599 04     0
QSO:  7024 CW 2013-11-23 0012 EI7M          599 14     KN2M          599 05     0
QSO:  7024 CW 2013-11-23 0012 EI7M          599 14     NY3A          599 05     0
QSO: 14025 CW 2013-11-23 0013 EI7M          599 14     NK7U          599 03     1
QSO:  7024 CW 2013-11-23 0013 EI7M          599 14     K2SQS         599 05     0
QSO:  7024 CW 2013-11-23 0013 EI7M          599 14     W5LUA         599 04     0
QSO:  7024 CW 2013-11-23 0014 EI7M          599 14     YO5AJR        599 20     0
QSO:  7024 CW 2013-11-23 0014 EI7M          599 14     LY2C          599 15     0
QSO:  7024 CW 2013-11-23 0015 EI7M          599 14     AG6V          599 03     0
QSO: 14002 CW 2013-11-23 0016 EI7M          599 14     K3LR          599 05     1
QSO:  7024 CW 2013-11-23 0016 EI7M          599 14     KA1J          599 05     0
QSO:  7024 CW 2013-11-23 0017 EI7M          599 14     YM2KK         599 20     0
QSO:  7024 CW 2013-11-23 0017 EI7M          599 14     W3CF          599 05     0
QSO:  7024 CW 2013-11-23 0017 EI7M          599 14     KG1E          599 05     0
QSO: 14063 CW 2013-11-23 0017 EI7M          599 14     OH5Z          599 15     1
QSO:  7024 CW 2013-11-23 0017 EI7M          599 14     W8CZN         599 04     0
QSO:  7024 CW 2013-11-23 0018 EI7M          599 14     K2XT          599 05     0
QSO:  7024 CW 2013-11-23 0019 EI7M          599 14     N4UU          599 05     0
QSO:  7024 CW 2013-11-23 0019 EI7M          599 14     W1EBI         599 05     0
QSO:  7024 CW 2013-11-23 0019 EI7M          599 14     K1SM          599 05     0
QSO:  7024 CW 2013-11-23 0020 EI7M          599 14     K0TV          599 05     0
QSO:  7024 CW 2013-11-23 0020 EI7M          599 14     NQ4I          599 05     0
QSO:  7024 CW 2013-11-23 0021 EI7M          599 14     DL4MCF        599 14     0
QSO:  7024 CW 2013-11-23 0021 EI7M          599 14     OL4A          599 15     0
QSO: 14049 CW 2013-11-23 0021 EI7M          599 14     SJ2W          599 14     1
QSO:  7024 CW 2013-11-23 0022 EI7M          599 14     K3SV          599 05     0
QSO:  7024 CW 2013-11-23 0022 EI7M          599 14     HG3M          599 15     0
QSO:  7024 CW 2013-11-23 0022 EI7M          599 14     K9CJ          599 04     0
QSO: 14046 CW 2013-11-23 0022 EI7M          599 14     ES9C          599 15     1
QSO:  7024 CW 2013-11-23 0023 EI7M          599 14     N8MC          599 04     0
QSO:  7024 CW 2013-11-23 0023 EI7M          599 14     OK2PTS        599 15     0
