START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.243 [RUS]
CALLSIGN: UA0SBQ
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 39936
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
OPERATORS: UA0SBQ
CLUB: RU-QRP CLUB
LOCATION: DX
NAME: VICTOR ANDRUSSHENKO
SOAPBOX: RIG: FT-817 POWER 5W; ANTENNAS: 10/15/20/40/80/160M SPIDER, INVERTED VEE.
QSO: 28037 CW 2013-11-23 0901 UA0SBQ        599 18     DR1A          599 14
QSO: 28042 CW 2013-11-23 0904 UA0SBQ        599 18     OK7K          599 15
QSO: 28043 CW 2013-11-23 0905 UA0SBQ        599 18     OH3OJ         599 15
QSO: 28047 CW 2013-11-23 0911 UA0SBQ        599 18     LX1NO         599 14
QSO: 28054 CW 2013-11-23 0913 UA0SBQ        599 18     OH1F          599 15
QSO: 28069 CW 2013-11-23 0921 UA0SBQ        599 18     UT2G          599 16
QSO: 28071 CW 2013-11-23 0923 UA0SBQ        599 18     HA8TP         599 15
QSO: 28060 CW 2013-11-23 0924 UA0SBQ        599 18     SK3W          599 14
QSO: 28064 CW 2013-11-23 0927 UA0SBQ        599 18     R7AM          599 16
QSO: 28065 CW 2013-11-23 0929 UA0SBQ        599 18     YQ6A          599 20
QSO: 28066 CW 2013-11-23 0931 UA0SBQ        599 18     RW9AS         599 17
QSO: 28069 CW 2013-11-23 0933 UA0SBQ        599 18     DL7URH        599 14
QSO: 28070 CW 2013-11-23 0936 UA0SBQ        599 18     IK5ZWU        599 15
QSO: 28079 CW 2013-11-23 0948 UA0SBQ        599 18     OU4X          599 14
QSO:  7035 CW 2013-11-23 1331 UA0SBQ        599 18     RA5B          599 16
QSO:  3511 CW 2013-11-23 1457 UA0SBQ        599 18     JT5DX         599 23
QSO:  3520 CW 2013-11-23 1528 UA0SBQ        599 18     UN7CW         599 17
QSO:  3520 CW 2013-11-23 1533 UA0SBQ        599 18     RW0AB         599 18
QSO:  3520 CW 2013-11-23 1537 UA0SBQ        599 18     UA1OMS        599 16
QSO:  3540 CW 2013-11-23 1542 UA0SBQ        599 18     RW9DX         599 17
QSO: 14003 CW 2013-11-24 0623 UA0SBQ        599 18     UN6LN         599 17
QSO: 14010 CW 2013-11-24 0624 UA0SBQ        599 18     UA5C          599 16
QSO: 14052 CW 2013-11-24 0639 UA0SBQ        599 18     RT4F          599 16
QSO: 14054 CW 2013-11-24 0641 UA0SBQ        599 18     UN7LAN        599 17
QSO: 14074 CW 2013-11-24 0645 UA0SBQ        599 18     RX4W          599 16
QSO: 14081 CW 2013-11-24 0648 UA0SBQ        599 18     OH0Z          599 15
QSO: 28061 CW 2013-11-24 0750 UA0SBQ        599 18     DH8BQA        599 14
