START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
CONTEST:       CQ-WW-CW
CALLSIGN:      SM0BDS
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-STATION:  FIXED
CATEGORY-POWER:  LOW
CATEGORY-TRANSMITTER:  ONE
LOCATION:      DX
CLAIMED-SCORE: 31375
NAME:          Lars Forsberg
OPERATORS:     SM0BDS
SOAPBOX:       AS ALWAYS GREAT FUN TO BE ACTIVE IN CQ CONTEST
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
QSO: 21000 CW 2013-11-23 1557 SM0BDS        599 14     K4TCG         599 04
QSO: 21000 CW 2013-11-23 1606 SM0BDS        599 14     W88MJ         599 04
QSO: 21000 CW 2013-11-23 1610 SM0BDS        599 14     PJ4A          599 09
QSO: 21000 CW 2013-11-23 1612 SM0BDS        599 14     K3RR          599 05
QSO: 21000 CW 2013-11-23 1615 SM0BDS        599 14     W1WMU         599 05
QSO: 21000 CW 2013-11-23 1717 SM0BDS        599 14     NR4M          599 05
QSO: 21000 CW 2013-11-23 1722 SM0BDS        599 14     NR1N          599 05
QSO: 21000 CW 2013-11-23 1724 SM0BDS        599 14     K1LZ          599 05
QSO: 21000 CW 2013-11-23 1725 SM0BDS        599 14     W8AV          599 04
QSO: 21000 CW 2013-11-23 1733 SM0BDS        599 14     W8TK          599 03
QSO: 21000 CW 2013-11-23 1736 SM0BDS        599 14     WK1Q          599 05
QSO: 21000 CW 2013-11-23 1738 SM0BDS        599 14     PT2CM         599 11
QSO: 21000 CW 2013-11-23 1740 SM0BDS        599 14     N1LN          599 05
QSO: 21000 CW 2013-11-23 1742 SM0BDS        599 14     WW4LL         599 04
QSO: 21000 CW 2013-11-23 1747 SM0BDS        599 14     K7BV          599 05
QSO: 21000 CW 2013-11-23 1749 SM0BDS        599 14     WE3C          599 05
QSO: 21000 CW 2013-11-23 1752 SM0BDS        599 14     K1FWE         599 05
QSO: 21000 CW 2013-11-23 1755 SM0BDS        599 14     P40R          599 09
QSO: 21000 CW 2013-11-23 1757 SM0BDS        599 14     VE3BR         599 04
QSO: 7000  CW 2013-11-23 1806 SM0BDS        599 14     OH4A          599 15
QSO: 7000  CW 2013-11-23 1808 SM0BDS        599 14     RU3PY         599 16
QSO: 7000  CW 2013-11-23 1812 SM0BDS        599 14     RT6A          599 16
QSO: 3500  CW 2013-11-23 1818 SM0BDS        599 14     9A2G          599 15
QSO: 3500  CW 2013-11-23 1819 SM0BDS        599 14     DR1A          599 14
QSO: 3500  CW 2013-11-23 1820 SM0BDS        599 14     UP2L          599 17
QSO: 3500  CW 2013-11-23 1822 SM0BDS        599 14     9A1A          599 15
QSO: 3500  CW 2013-11-23 1824 SM0BDS        599 14     DF0HQ         599 14
QSO: 21000 CW 2013-11-24 1016 SM0BDS        599 14     R7B           599 16
QSO: 21000 CW 2013-11-24 1017 SM0BDS        599 14     R7AB          599 16
QSO: 21000 CW 2013-11-24 1021 SM0BDS        599 14     ED7A          599 14
QSO: 21000 CW 2013-11-24 1024 SM0BDS        599 14     LZ5R          599 20
QSO: 21000 CW 2013-11-24 1026 SM0BDS        599 14     EA2AZ         599 14
QSO: 21000 CW 2013-11-24 1027 SM0BDS        599 14     JT1SX         599 23
QSO: 21000 CW 2013-11-24 1030 SM0BDS        599 14     GD5A          599 14
QSO: 28000 CW 2013-11-24 1035 SM0BDS        599 14     HS0ZAR        599 26
QSO: 28000 CW 2013-11-24 1037 SM0BDS        599 14     4Z5LA         599 20
QSO: 28000 CW 2013-11-24 1038 SM0BDS        599 14     EA8CN         599 33
QSO: 28000 CW 2013-11-24 1040 SM0BDS        599 14     IR9Y          599 15
QSO: 28000 CW 2013-11-24 1043 SM0BDS        599 14     4Z5ML         599 20
QSO: 28000 CW 2013-11-24 1044 SM0BDS        599 14     9A1A          599 15
QSO: 28000 CW 2013-11-24 1047 SM0BDS        599 14     RT9A          599 17
QSO: 28000 CW 2013-11-24 1049 SM0BDS        599 14     EV1R          599 16
QSO: 28000 CW 2013-11-24 1053 SM0BDS        599 14     P33W          599 20
QSO: 28000 CW 2013-11-24 1100 SM0BDS        599 14     DH8BQA        599 14
QSO: 28000 CW 2013-11-24 1103 SM0BDS        599 14     RY9C          599 17
QSO: 28000 CW 2013-11-24 1104 SM0BDS        599 14     D4C           599 35
QSO: 28000 CW 2013-11-24 1110 SM0BDS        599 14     S59ABC        599 15
QSO: 28000 CW 2013-11-24 1114 SM0BDS        599 14     LZ1NG         599 20
QSO: 28000 CW 2013-11-24 1115 SM0BDS        599 14     P3Z           599 20
QSO: 28000 CW 2013-11-24 1116 SM0BDS        599 14     R4WW          599 16
QSO: 28000 CW 2013-11-24 1117 SM0BDS        599 14     YU5R          599 15
QSO: 28000 CW 2013-11-24 1119 SM0BDS        599 14     UZ2M          599 16
QSO: 28000 CW 2013-11-24 1121 SM0BDS        599 14     4K9W          599 21
QSO: 28000 CW 2013-11-24 1123 SM0BDS        599 14     SP8CUW        599 15
QSO: 28000 CW 2013-11-24 1127 SM0BDS        599 14     EA2AZ         599 14
QSO: 28000 CW 2013-11-24 1129 SM0BDS        599 14     II9P          599 15
QSO: 28000 CW 2013-11-24 1130 SM0BDS        599 14     EA5KM         599 14
QSO: 28000 CW 2013-11-24 1133 SM0BDS        599 14     SV1AAK        599 20
QSO: 28000 CW 2013-11-24 1135 SM0BDS        599 14     LO4D          599 13
QSO: 28000 CW 2013-11-24 1136 SM0BDS        599 14     C4W           599 20
QSO: 28000 CW 2013-11-24 1139 SM0BDS        599 14     ED6A          599 14
QSO: 28000 CW 2013-11-24 1141 SM0BDS        599 14     IQ3UD         599 15
QSO: 28000 CW 2013-11-24 1146 SM0BDS        599 14     HK1NA         599 09
QSO: 28000 CW 2013-11-24 1148 SM0BDS        599 14     EA8/RC5A      599 33
QSO: 28000 CW 2013-11-24 1150 SM0BDS        599 14     A45XR         599 21
QSO: 28000 CW 2013-11-24 1152 SM0BDS        599 14     4L1F          599 21
