START-OF-LOG: 3.0
LOCATION: DX
CONTEST: CQ-WW-CW
CALLSIGN: JL1QDO
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CLAIMED-SCORE: 121905
OPERATORS:
CLUB:
CREATED-BY: CTESTWIN by JI1AQY
NAME: Seiichi Kita
SOAPBOX: Rig: FT-2000 Output 100W   Ant: GP(40-20m), Dipole(15-10m) & Super Rad(160m)
QSO: 28052 CW 2013-11-23 0119 JL1QDO        599 25     CW5W          599 13     0
QSO: 28038 CW 2013-11-23 0121 JL1QDO        599 25     K6NA          599 03     0
QSO: 28004 CW 2013-11-23 0127 JL1QDO        599 25     S21ZBB        599 22     0
QSO: 28001 CW 2013-11-23 0130 JL1QDO        599 25     3D2R          599 32     0
QSO: 28008 CW 2013-11-23 0132 JL1QDO        599 25     TX8B          599 32     0
QSO: 28013 CW 2013-11-23 0135 JL1QDO        599 25     BW/DJ3KR      599 24     0
QSO: 28017 CW 2013-11-23 0136 JL1QDO        599 25     KH7XX         599 31     0
QSO: 28027 CW 2013-11-23 0140 JL1QDO        599 25     AH0S/KH2      599 27     0
QSO: 28032 CW 2013-11-23 0142 JL1QDO        599 25     AH0K          599 27     0
QSO: 28034 CW 2013-11-23 0144 JL1QDO        599 25     ZM4T          599 32     0
QSO: 28037 CW 2013-11-23 0145 JL1QDO        599 25     DX1J          599 27     0
QSO: 28029 CW 2013-11-23 0157 JL1QDO        599 25     BV1EL         599 24     0
QSO: 28008 CW 2013-11-23 0159 JL1QDO        599 25     LT7H          599 13     0
QSO: 28009 CW 2013-11-23 0203 JL1QDO        599 25     JT1CD         599 23     0
QSO: 28021 CW 2013-11-23 0215 JL1QDO        599 25     HS0ZAR        599 26     0
QSO: 28057 CW 2013-11-23 0223 JL1QDO        599 25     9M4DX         599 28     0
QSO: 28036 CW 2013-11-23 0226 JL1QDO        599 25     CW0A          599 13     0
QSO: 28025 CW 2013-11-23 0229 JL1QDO        599 25     UA9UX         599 18     0
QSO: 28022 CW 2013-11-23 0232 JL1QDO        599 25     AY2H          599 13     0
QSO: 28016 CW 2013-11-23 0235 JL1QDO        599 25     BD7BW         599 24     0
QSO: 28038 CW 2013-11-23 0311 JL1QDO        599 25     AH2R          599 27     0
