START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: DD3D
CLAIMED-SCORE: 816316
CREATED-BY: UcxLog 6.84
OPERATORS: DK3WM
NAME: Werner Mikuteit
CLUB: BAVARIAN CONTEST CLUB
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
QSO:  3500 CW 2013-11-23 0228 DD3D          599 14     N2MF          599 5      0
QSO:  3500 CW 2013-11-23 0230 DD3D          599 14     LZ5R          599 20     0
QSO:  3500 CW 2013-11-23 0231 DD3D          599 14     RW4W          599 16     0
QSO:  3500 CW 2013-11-23 0235 DD3D          599 14     GM100RSGB     599 14     0
QSO:  3500 CW 2013-11-23 0236 DD3D          599 14     HA30S         599 15     0
QSO:  3500 CW 2013-11-23 0238 DD3D          599 14     HB9CA         599 14     0
QSO:  3500 CW 2013-11-23 0239 DD3D          599 14     OL1C          599 15     0
QSO:  3500 CW 2013-11-23 0242 DD3D          599 14     EI5IX         599 14     0
QSO:  3500 CW 2013-11-23 0244 DD3D          599 14     ES9C          599 15     0
QSO:  7000 CW 2013-11-23 0247 DD3D          599 14     LZ5R          599 20     0
QSO:  7000 CW 2013-11-23 0247 DD3D          599 14     AA1K          599 5      0
QSO:  7000 CW 2013-11-23 0249 DD3D          599 14     W3LPL         599 5      0
QSO:  7000 CW 2013-11-23 0249 DD3D          599 14     UN0L          599 17     0
QSO:  7000 CW 2013-11-23 0250 DD3D          599 14     W1WMU         599 5      0
QSO:  7000 CW 2013-11-23 0254 DD3D          599 14     ED6A          599 14     0
QSO:  7000 CW 2013-11-23 0255 DD3D          599 14     YR8I          599 20     0
QSO:  7000 CW 2013-11-23 0257 DD3D          599 14     W0GJ          599 4      0
QSO:  7000 CW 2013-11-23 0259 DD3D          599 14     P33W          599 20     0
QSO:  7000 CW 2013-11-23 0301 DD3D          599 14     CR6K          599 14     0
QSO:  7000 CW 2013-11-23 0301 DD3D          599 14     P3N           599 20     0
QSO:  7000 CW 2013-11-23 0302 DD3D          599 14     UW5Y          599 16     0
QSO:  7000 CW 2013-11-23 0303 DD3D          599 14     HG7T          599 15     0
QSO:  7000 CW 2013-11-23 0304 DD3D          599 14     VE3EJ         599 04     0
QSO:  7000 CW 2013-11-23 0305 DD3D          599 14     UP2L          599 17     0
QSO:  7000 CW 2013-11-23 0309 DD3D          599 14     EI1Y          599 14     0
QSO:  7000 CW 2013-11-23 0311 DD3D          599 14     GZ3F          599 14     0
QSO:  7000 CW 2013-11-23 0315 DD3D          599 14     SX8M          599 20     0
QSO:  7000 CW 2013-11-23 0316 DD3D          599 14     W3EF          599 5      0
QSO:  7000 CW 2013-11-23 0317 DD3D          599 14     NY4A          599 5      0
QSO:  7000 CW 2013-11-23 0318 DD3D          599 14     AB3CX         599 5      0
QSO:  7000 CW 2013-11-23 0319 DD3D          599 14     RT7T          599 16     0
QSO:  7000 CW 2013-11-23 0319 DD3D          599 14     NR4M          599 5      0
QSO:  7000 CW 2013-11-23 0322 DD3D          599 14     SO4M          599 15     0
QSO:  7000 CW 2013-11-23 0323 DD3D          599 14     RN3F          599 16     0
QSO:  7000 CW 2013-11-23 0325 DD3D          599 14     K8AZ          599 4      0
QSO:  7000 CW 2013-11-23 0326 DD3D          599 14     YP9W          599 20     0
QSO:  7000 CW 2013-11-23 0328 DD3D          599 14     UA6LCN        599 16     0
QSO:  7000 CW 2013-11-23 0329 DD3D          599 14     SE0X          599 14     0
QSO:  7000 CW 2013-11-23 0330 DD3D          599 14     EF8U          599 33     0
QSO:  1800 CW 2013-11-23 0336 DD3D          599 14     G5O           599 14     0
QSO:  1800 CW 2013-11-23 0339 DD3D          599 14     OU2V          599 14     0
QSO:  1800 CW 2013-11-23 0341 DD3D          599 14     OE3K          599 15     0
QSO:  1800 CW 2013-11-23 0345 DD3D          599 14     IR9Y          599 15     0
QSO:  1800 CW 2013-11-23 0346 DD3D          599 14     PA3AAV        599 14     0
QSO:  1800 CW 2013-11-23 0348 DD3D          599 14     E74O          599 15     0
QSO:  1800 CW 2013-11-23 0353 DD3D          599 14     HB9ARF        599 14     0
QSO:  3500 CW 2013-11-23 0359 DD3D          599 14     VY2ZM         599 5      0
QSO:  3500 CW 2013-11-23 0403 DD3D          599 14     KQ2M          599 5      0
QSO:  3500 CW 2013-11-23 0404 DD3D          599 14     EF1A          599 14     0
QSO:  3500 CW 2013-11-23 0404 DD3D          599 14     W3LPL         599 5      0
QSO:  3500 CW 2013-11-23 0405 DD3D          599 14     OH2BH         599 15     0
QSO:  3500 CW 2013-11-23 0407 DD3D          599 14     HG3M          599 15     0
QSO:  3500 CW 2013-11-23 0409 DD3D          599 14     W1VE          599 5      0
QSO:  3500 CW 2013-11-23 0409 DD3D          599 14     K1LZ          599 5      0
QSO:  3500 CW 2013-11-23 0413 DD3D          599 14     HG3R          599 15     0
QSO:  3500 CW 2013-11-23 0413 DD3D          599 14     VE3JM         599 04     0
QSO:  3500 CW 2013-11-23 0414 DD3D          599 14     HA8JV         599 15     0
QSO:  3500 CW 2013-11-23 0415 DD3D          599 14     SE0X          599 14     0
QSO:  3500 CW 2013-11-23 0416 DD3D          599 14     UT3L          599 16     0
QSO:  3500 CW 2013-11-23 0417 DD3D          599 14     IO5O          599 15     0
QSO:  3500 CW 2013-11-23 0418 DD3D          599 14     LY7A          599 15     0
QSO:  3500 CW 2013-11-23 0419 DD3D          599 14     YL2PJ         599 15     0
QSO:  3500 CW 2013-11-23 0423 DD3D          599 14     SV2JAO        599 20     0
QSO:  3500 CW 2013-11-23 0424 DD3D          599 14     M3D           599 14     0
QSO:  3500 CW 2013-11-23 0425 DD3D          599 14     YR1A          599 20     0
QSO:  3500 CW 2013-11-23 0425 DD3D          599 14     LZ9W          599 20     0
QSO:  3500 CW 2013-11-23 0427 DD3D          599 14     M3W           599 14     0
QSO:  3500 CW 2013-11-23 0428 DD3D          599 14     D4C           599 35     0
QSO:  3500 CW 2013-11-23 0429 DD3D          599 14     EF8X          599 33     0
QSO:  7000 CW 2013-11-23 0430 DD3D          599 14     UT2G          599 16     0
QSO:  7000 CW 2013-11-23 0431 DD3D          599 14     N1UR          599 5      0
QSO:  7000 CW 2013-11-23 0432 DD3D          599 14     N2MM          599 5      0
QSO:  7000 CW 2013-11-23 0434 DD3D          599 14     LZ1SDR        599 20     0
QSO:  7000 CW 2013-11-23 0439 DD3D          599 14     IG9W          599 33     0
QSO:  7000 CW 2013-11-23 0441 DD3D          599 14     W9IU          599 4      0
QSO:  7000 CW 2013-11-23 0441 DD3D          599 14     RT6A          599 16     0
QSO:  7000 CW 2013-11-23 0441 DD3D          599 14     K3LR          599 5      0
QSO:  7000 CW 2013-11-23 0443 DD3D          599 14     KB1H          599 5      0
QSO:  7000 CW 2013-11-23 0444 DD3D          599 14     W0AIH         599 4      0
QSO:  7000 CW 2013-11-23 0445 DD3D          599 14     LY5R          599 15     0
QSO:  7000 CW 2013-11-23 0448 DD3D          599 14     VP5CW         599 08     0
QSO:  7000 CW 2013-11-23 0451 DD3D          599 14     UA2FL         599 15     0
QSO: 14000 CW 2013-11-23 0457 DD3D          599 14     EA8AH         599 33     0
QSO: 28000 CW 2013-11-23 0806 DD3D          599 14     RC9O          599 18     0
QSO: 28000 CW 2013-11-23 0808 DD3D          599 14     RM9U          599 18     0
QSO: 28000 CW 2013-11-23 0809 DD3D          599 14     R0QA          599 19     0
QSO: 28000 CW 2013-11-23 0810 DD3D          599 14     P3Z           599 20     0
QSO: 28000 CW 2013-11-23 0817 DD3D          599 14     4X/UU8J       599 20     0
QSO: 28000 CW 2013-11-23 0818 DD3D          599 14     RW4W          599 16     0
QSO: 28000 CW 2013-11-23 0819 DD3D          599 14     P33W          599 20     0
QSO: 28000 CW 2013-11-23 0823 DD3D          599 14     A45XR         599 21     0
QSO: 28000 CW 2013-11-23 0824 DD3D          599 14     JT5DX         599 23     0
QSO: 28000 CW 2013-11-23 0824 DD3D          599 14     RW0AJ         599 18     0
QSO: 28000 CW 2013-11-23 0825 DD3D          599 14     RK4PA         599 16     0
QSO: 28000 CW 2013-11-23 0827 DD3D          599 14     JY9FC         599 20     0
QSO: 28000 CW 2013-11-23 1009 DD3D          599 14     UN7FW         599 17     0
QSO: 28000 CW 2013-11-23 1012 DD3D          599 14     9M4DX         599 28     0
QSO: 28000 CW 2013-11-23 1017 DD3D          599 14     RT8S          599 16     0
QSO: 28000 CW 2013-11-23 1018 DD3D          599 14     RU9WZ         599 16     0
QSO: 28000 CW 2013-11-23 1018 DD3D          599 14     OK5W          599 15     0
QSO: 28000 CW 2013-11-23 1019 DD3D          599 14     4Z5ML         599 20     0
QSO: 28000 CW 2013-11-23 1021 DD3D          599 14     UB0A          599 18     0
QSO: 28000 CW 2013-11-23 1022 DD3D          599 14     OH8X          599 15     0
QSO: 28000 CW 2013-11-23 1023 DD3D          599 14     R4WW          599 16     0
QSO: 28000 CW 2013-11-23 1025 DD3D          599 14     4L0A          599 21     0
QSO: 28000 CW 2013-11-23 1026 DD3D          599 14     RT4D          599 16     0
QSO: 28000 CW 2013-11-23 1026 DD3D          599 14     EF8O          599 33     0
QSO: 28000 CW 2013-11-23 1029 DD3D          599 14     9A3VM         599 15     0
QSO: 28000 CW 2013-11-23 1033 DD3D          599 14     D4C           599 35     0
QSO: 28000 CW 2013-11-23 1033 DD3D          599 14     UT2IV         599 16     0
QSO: 28000 CW 2013-11-23 1036 DD3D          599 14     9M2TO         599 28     0
QSO: 28000 CW 2013-11-23 1038 DD3D          599 14     RM7C          599 16     0
QSO: 28000 CW 2013-11-23 1040 DD3D          599 14     UA9UX         599 18     0
QSO: 28000 CW 2013-11-23 1041 DD3D          599 14     RW0AB         599 18     0
QSO: 28000 CW 2013-11-23 1043 DD3D          599 14     RU9MXB        599 17     0
QSO: 28000 CW 2013-11-23 1044 DD3D          599 14     CR3L          599 33     0
QSO: 28000 CW 2013-11-23 1045 DD3D          599 14     RM4F          599 16     0
QSO: 28000 CW 2013-11-23 1046 DD3D          599 14     RL9I          599 18     0
QSO: 28000 CW 2013-11-23 1047 DD3D          599 14     F5JVP         599 14     0
QSO: 28000 CW 2013-11-23 1048 DD3D          599 14     YT6T          599 15     0
QSO: 28000 CW 2013-11-23 1052 DD3D          599 14     RA3NC         599 16     0
QSO: 28000 CW 2013-11-23 1054 DD3D          599 14     PT2CM         599 11     0
QSO: 28000 CW 2013-11-23 1055 DD3D          599 14     EA8/RC5A      599 33     0
QSO: 28000 CW 2013-11-23 1056 DD3D          599 14     UA1OMS        599 16     0
QSO: 28000 CW 2013-11-23 1056 DD3D          599 14     PX2W          599 11     0
QSO: 21000 CW 2013-11-23 1102 DD3D          599 14     ED5O          599 14     0
QSO: 21000 CW 2013-11-23 1104 DD3D          599 14     V26O          599 08     0
QSO: 21000 CW 2013-11-23 1110 DD3D          599 14     OH0V          599 15     0
QSO: 21000 CW 2013-11-23 1110 DD3D          599 14     TC0A          599 20     0
QSO: 21000 CW 2013-11-23 1112 DD3D          599 14     IR9Y          599 15     0
QSO: 21000 CW 2013-11-23 1120 DD3D          599 14     9A1A          599 15     0
