START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: DL9GTB
CLAIMED-SCORE: 129181
CREATED-BY: RCKLog V3.26
OPERATORS: DL9GTB
CLUB: Bavarian Contest Club
NAME: Torsten Ernst
SOAPBOX: IC-7400, ME1200-H   Ant: G5RV, Vertical f. 80m, Vertcal Delta Loop f.
SOAPBOX: 40m
SOAPBOX:
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
QSO: 14028 CW 2013-11-23 0949 DL9GTB        599 14     JT5DX         599 23     0
QSO: 14028 CW 2013-11-23 0955 DL9GTB        599 14     LY9Y          599 15     0
QSO: 14044 CW 2013-11-23 1006 DL9GTB        599 14     D4C           599 35     0
QSO: 14016 CW 2013-11-23 1012 DL9GTB        599 14     SE0X          599 14     0
QSO: 14065 CW 2013-11-23 1025 DL9GTB        599 14     PJ4A          599 09     0
QSO: 14056 CW 2013-11-23 1027 DL9GTB        599 14     NP4Z          599 08     0
QSO: 21013 CW 2013-11-23 1045 DL9GTB        599 14     A71BX         599 21     0
QSO: 21024 CW 2013-11-23 1047 DL9GTB        599 14     4L8A          599 21     0
QSO: 21031 CW 2013-11-23 1049 DL9GTB        599 14     JT5DX         599 23     0
QSO: 28054 CW 2013-11-23 1100 DL9GTB        599 14     CR3E          599 33     0
QSO: 28069 CW 2013-11-23 1102 DL9GTB        599 14     EA1YG         599 14     0
QSO: 28098 CW 2013-11-23 1110 DL9GTB        599 14     ZD8X          599 36     0
QSO: 28072 CW 2013-11-23 1115 DL9GTB        599 14     4L0A          599 21     0
QSO: 28115 CW 2013-11-23 1116 DL9GTB        599 14     UA1OMS        599 16     0
QSO: 28090 CW 2013-11-23 1118 DL9GTB        599 14     A45XR         599 21     0
QSO: 28052 CW 2013-11-23 1133 DL9GTB        599 14     4Z5ML         599 20     0
QSO: 28023 CW 2013-11-23 1136 DL9GTB        599 14     4Z5LA         599 20     0
QSO: 28013 CW 2013-11-23 1137 DL9GTB        599 14     UA6XDX        599 16     0
QSO: 28009 CW 2013-11-23 1139 DL9GTB        599 14     R4RT          599 16     0
QSO: 28000 CW 2013-11-23 1141 DL9GTB        599 14     A65BP         599 21     0
QSO: 21030 CW 2013-11-23 1202 DL9GTB        599 14     EF8U          599 33     0
QSO: 21057 CW 2013-11-23 1206 DL9GTB        599 14     ED5O          599 14     0
QSO: 21102 CW 2013-11-23 1209 DL9GTB        599 14     JY9FC         599 20     0
QSO: 21088 CW 2013-11-23 1212 DL9GTB        599 14     EF7R          599 14     0
QSO: 21080 CW 2013-11-23 1213 DL9GTB        599 14     UN7LAN        599 17     0
QSO: 21091 CW 2013-11-23 1238 DL9GTB        599 14     4L0A          599 21     0
QSO: 21028 CW 2013-11-23 1242 DL9GTB        599 14     P3F           599 20     0
QSO: 21027 CW 2013-11-23 1245 DL9GTB        599 14     SJ2W          599 14     0
QSO: 21004 CW 2013-11-23 1250 DL9GTB        599 14     K5ZD          599 05     0
QSO: 21004 CW 2013-11-23 1252 DL9GTB        599 14     C4W           599 20     0
QSO: 21007 CW 2013-11-23 1253 DL9GTB        599 14     W3LPL         599 05     0
QSO: 21035 CW 2013-11-23 1257 DL9GTB        599 14     IR9Y          599 15     0
QSO: 21035 CW 2013-11-23 1258 DL9GTB        599 14     OH8L          599 15     0
QSO: 21041 CW 2013-11-23 1259 DL9GTB        599 14     EA6FO         599 14     0
QSO: 21028 CW 2013-11-23 1302 DL9GTB        599 14     D4C           599 35     0
QSO: 21014 CW 2013-11-23 1303 DL9GTB        599 14     EI/W5GN       599 14     0
QSO: 21054 CW 2013-11-23 1305 DL9GTB        599 14     EA4KD         599 14     0
QSO: 21068 CW 2013-11-23 1308 DL9GTB        599 14     KP2M          599 08     0
QSO: 21116 CW 2013-11-23 1310 DL9GTB        599 14     SU9AF         599 34     0
QSO: 21035 CW 2013-11-23 1626 DL9GTB        599 14     EF5T          599 14     0
QSO: 21016 CW 2013-11-23 1628 DL9GTB        599 14     SK3W          599 14     0
QSO: 21042 CW 2013-11-23 1636 DL9GTB        599 14     ZD8W          599 36     0
QSO: 21057 CW 2013-11-23 1642 DL9GTB        599 14     V26K          599 08     0
QSO: 21075 CW 2013-11-23 1644 DL9GTB        599 14     NP4Z          599 08     0
QSO: 21116 CW 2013-11-23 1648 DL9GTB        599 14     P40W          599 09     0
QSO: 21097 CW 2013-11-23 1707 DL9GTB        599 14     8P5A          599 08     0
QSO: 21085 CW 2013-11-23 1712 DL9GTB        599 14     HD2T          599 10     0
QSO: 14087 CW 2013-11-23 1723 DL9GTB        599 14     OK5T          599 15     0
QSO: 14040 CW 2013-11-23 1834 DL9GTB        599 14     V25A          599 08     0
QSO: 14032 CW 2013-11-23 1836 DL9GTB        599 14     PJ2T          599 09     0
QSO:  7000 CW 2013-11-23 2018 DL9GTB        599 14     P3N           599 20     0
QSO:  7000 CW 2013-11-23 2019 DL9GTB        599 14     UP2L          599 17     0
QSO:  7006 CW 2013-11-23 2021 DL9GTB        599 14     OM0M          599 15     0
QSO:  7080 CW 2013-11-23 2034 DL9GTB        599 14     ZD8M          599 36     0
QSO:  7070 CW 2013-11-23 2035 DL9GTB        599 14     IS0AFM        599 15     0
QSO:  7035 CW 2013-11-23 2043 DL9GTB        599 14     D4C           599 35     0
QSO:  7012 CW 2013-11-23 2045 DL9GTB        599 14     4O3A          599 15     0
QSO:  7015 CW 2013-11-23 2047 DL9GTB        599 14     BY5CD         599 24     0
QSO:  7061 CW 2013-11-23 2054 DL9GTB        599 14     9H3TX         599 15     0
QSO:  7065 CW 2013-11-23 2058 DL9GTB        599 14     LX7I          599 14     0
QSO:  7017 CW 2013-11-23 2104 DL9GTB        599 14     EI5IX         599 14     0
QSO:  7002 CW 2013-11-23 2106 DL9GTB        599 14     ED6A          599 14     0
QSO:  7000 CW 2013-11-23 2107 DL9GTB        599 14     Z33A          599 15     0
QSO:  7064 CW 2013-11-23 2113 DL9GTB        599 14     EA4KD         599 14     0
QSO:  7070 CW 2013-11-23 2114 DL9GTB        599 14     Z37M          599 15     0
QSO:  7058 CW 2013-11-23 2120 DL9GTB        599 14     VP9I          599 05     0
QSO:  7055 CW 2013-11-23 2122 DL9GTB        599 14     CN2AA         599 33     0
