START-OF-LOG: 3.0
CALLSIGN: JH1RVN
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: CW
CATEGORY-BAND: 10M
CATEGORY-POWER: QRP
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE:
LOCATION: DX
OPERATORS: JH1RVN
CREATED-BY: CTESTWIN by JI1AQY
NAME: Shuusei EBINA
SOAPBOX: I got the license at 6th JUN 2013.
SOAPBOX: I used FT-817 (5W/QRP) & DP ant.
SOAPBOX: I'm 10 years old boy. I enjoyed the contest with QRP.
QSO: 28000 CW 2013-11-23 0110 JH1RVN        599 25     VK6LW         599 29     0
QSO: 28000 CW 2013-11-23 0112 JH1RVN        599 25     W6YA          599 03     0
QSO: 28000 CW 2013-11-23 0118 JH1RVN        599 25     KH7XX         599 31     0
QSO: 28000 CW 2013-11-23 0123 JH1RVN        599 25     CW5W          599 13     0
QSO: 28000 CW 2013-11-23 0135 JH1RVN        599 25     AH0K          599 27     0
QSO: 28000 CW 2013-11-23 0146 JH1RVN        599 25     ZM4T          599 32     0
QSO: 28000 CW 2013-11-23 0152 JH1RVN        599 25     DX1J          599 27     0
QSO: 28000 CW 2013-11-23 0153 JH1RVN        599 25     BY1CW         599 24     0
QSO: 28000 CW 2013-11-23 0218 JH1RVN        599 25     BV1EL         599 24     0
QSO: 28000 CW 2013-11-23 0221 JH1RVN        599 25     UA9UX         599 18     0
QSO: 28000 CW 2013-11-23 0233 JH1RVN        599 25     NH2T          599 27     0
QSO: 28000 CW 2013-11-23 0311 JH1RVN        599 25     BY1CQ         599 24     0
QSO: 28000 CW 2013-11-23 0403 JH1RVN        599 25     UN6P          599 17     0
QSO: 28000 CW 2013-11-23 0452 JH1RVN        599 25     JT1CD         599 23     0
QSO: 28000 CW 2013-11-23 0517 JH1RVN        599 25     LT1F          599 13     0
QSO: 28000 CW 2013-11-23 0529 JH1RVN        599 25     UA4M          599 16     0
END-OF-LOG:
