START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.7.0
CONTEST: CQ-WW-CW
LOCATION: DX
CALLSIGN: DL7JAN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 50700
OPERATORS:
CLUB: SOUTH GERMAN DX GROUP
NAME: Jan Foerderer
SOAPBOX: just giving a few points and collecting new calls...73 Jan,DL7JAN
QSO:  1825 CW 2013-11-23 0352 DL7JAN        599 14     EF8S          599 33     0
QSO:  1834 CW 2013-11-23 0355 DL7JAN        599 14     9H3TX         599 15     0
QSO:  1825 CW 2013-11-23 0357 DL7JAN        599 14     D4C           599 35     0
QSO:  1823 CW 2013-11-23 0403 DL7JAN        599 14     TC0A          599 20     0
QSO:  1836 CW 2013-11-23 0406 DL7JAN        599 14     P3F           599 20     0
QSO:  3542 CW 2013-11-23 0411 DL7JAN        599 14     EF8X          599 33     0
QSO:  3510 CW 2013-11-23 0412 DL7JAN        599 14     LX7I          599 14     0
QSO:  3500 CW 2013-11-23 0419 DL7JAN        599 14     K3LR          599 05     0
QSO:  7007 CW 2013-11-23 0429 DL7JAN        599 14     P3F           599 20     0
QSO:  7003 CW 2013-11-23 0432 DL7JAN        599 14     ED6A          599 14     0
QSO:  7044 CW 2013-11-23 0445 DL7JAN        599 14     Z81Z          599 34     0
QSO:  7027 CW 2013-11-23 0449 DL7JAN        599 14     V49J          599 08     0
QSO:  3541 CW 2013-11-23 0455 DL7JAN        599 14     ED6A          599 14     0
QSO:  7022 CW 2013-11-23 0456 DL7JAN        599 14     P40F          599 09     0
QSO:  7007 CW 2013-11-23 0457 DL7JAN        599 14     AE5RF         599 05     0
QSO:  7063 CW 2013-11-23 0500 DL7JAN        599 14     TO7A          599 08     0
QSO:  7002 CW 2013-11-23 0503 DL7JAN        599 14     CN2YM         599 33     0
