START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: OM4DN
CLAIMED-SCORE: 383328
NAME: MUDr. Vaclav KREUTZ
SOAPBOX: TRX: YAESU FT-857D PWR: 100 WATTs   ANT: LW 41 m
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
QSO:  3500 CW 2013-11-23 0449 OM4DN         599 15     OK7O          599 15
QSO:  3500 CW 2013-11-23 0451 OM4DN         599 15     S50G          599 15
QSO:  3500 CW 2013-11-23 0453 OM4DN         599 15     IR4X          599 15
QSO:  3500 CW 2013-11-23 0454 OM4DN         599 15     YR1A          599 20
QSO:  3500 CW 2013-11-23 0455 OM4DN         599 15     IR2C          599 15
QSO:  3500 CW 2013-11-23 0456 OM4DN         599 15     M3D           599 14
QSO:  3500 CW 2013-11-23 0458 OM4DN         599 15     S59ABC        599 15
QSO:  3500 CW 2013-11-23 0459 OM4DN         599 15     YT4A          599 15
QSO:  3500 CW 2013-11-23 0500 OM4DN         599 15     S57DX         599 15
QSO:  3500 CW 2013-11-23 0500 OM4DN         599 15     OK7FL         599 15
QSO:  3500 CW 2013-11-23 0502 OM4DN         599 15     HG3R          599 15
QSO:  3500 CW 2013-11-23 0502 OM4DN         599 15     DR1A          599 14
QSO:  3500 CW 2013-11-23 0505 OM4DN         599 15     9A3B          599 15
QSO:  3500 CW 2013-11-23 0506 OM4DN         599 15     UT2UB         599 16
QSO:  3500 CW 2013-11-23 0507 OM4DN         599 15     OL7M          599 15
QSO:  3500 CW 2013-11-23 0508 OM4DN         599 15     OL6P          599 15
QSO:  3500 CW 2013-11-23 0509 OM4DN         599 15     DF0HQ         599 14
QSO:  3500 CW 2013-11-23 0510 OM4DN         599 15     SN7Q          599 15
QSO:  3500 CW 2013-11-23 0511 OM4DN         599 15     9A4KJ         599 15
QSO:  3500 CW 2013-11-23 0514 OM4DN         599 15     DR5N          599 14
QSO:  3500 CW 2013-11-23 0515 OM4DN         599 15     II1A          599 15
QSO:  3500 CW 2013-11-23 0517 OM4DN         599 15     G5O           599 14
QSO:  3500 CW 2013-11-23 0517 OM4DN         599 15     OM3RRC        599 15
QSO:  3500 CW 2013-11-23 0520 OM4DN         599 15     LY7Z          599 15
QSO:  3500 CW 2013-11-23 0520 OM4DN         599 15     YL6W          599 15
QSO:  3500 CW 2013-11-23 0522 OM4DN         599 15     IT9INO        599 15
QSO:  3500 CW 2013-11-23 0524 OM4DN         599 15     OK1KUW        599 15
QSO:  3500 CW 2013-11-23 0526 OM4DN         599 15     UY2UQ         599 16
QSO:  3500 CW 2013-11-23 0527 OM4DN         599 15     LY7A          599 15
QSO:  3500 CW 2013-11-23 0529 OM4DN         599 15     9A7A          599 15
QSO:  7000 CW 2013-11-23 0531 OM4DN         599 15     P3N           599 20
QSO:  7000 CW 2013-11-23 0532 OM4DN         599 15     Z320R         599 15
QSO:  7000 CW 2013-11-23 0533 OM4DN         599 15     Z37Y          599 15
QSO:  7000 CW 2013-11-23 0535 OM4DN         599 15     W9RE          599 04
QSO:  7000 CW 2013-11-23 0536 OM4DN         599 15     LZ1AQ         599 20
QSO:  7000 CW 2013-11-23 0538 OM4DN         599 15     Z33F          599 15
QSO:  7000 CW 2013-11-23 0539 OM4DN         599 15     W1KM          599 05
QSO:  7000 CW 2013-11-23 0540 OM4DN         599 15     UA5C          599 16
QSO:  7000 CW 2013-11-23 0541 OM4DN         599 15     OH0V          599 15
QSO:  7000 CW 2013-11-23 0543 OM4DN         599 15     UT0AZA        599 16
QSO:  7000 CW 2013-11-23 0547 OM4DN         599 15     TM6X          599 14
QSO:  7000 CW 2013-11-23 0547 OM4DN         599 15     OP7B          599 14
QSO:  7000 CW 2013-11-23 0548 OM4DN         599 15     V2HA          599 08
QSO:  7000 CW 2013-11-23 0549 OM4DN         599 15     RU1A          599 16
QSO:  7000 CW 2013-11-23 0550 OM4DN         599 15     OH4A          599 15
QSO:  7000 CW 2013-11-23 0552 OM4DN         599 15     HB9ARF        599 14
QSO:  7000 CW 2013-11-23 0554 OM4DN         599 15     WE3C          599 05
QSO:  7000 CW 2013-11-23 0555 OM4DN         599 15     WW4LL         599 05
QSO:  7000 CW 2013-11-23 0558 OM4DN         599 15     IR1X          599 15
QSO: 14000 CW 2013-11-23 0608 OM4DN         599 15     4X2M          599 20
QSO: 14000 CW 2013-11-23 0609 OM4DN         599 15     RX4W          599 16
QSO: 14000 CW 2013-11-23 0610 OM4DN         599 15     UT9IO         599 16
QSO: 14000 CW 2013-11-23 0611 OM4DN         599 15     RJ3AM         599 16
