START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: SN5O
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
SOAPBOX: OPERATED BY SP5BYC RIG: TS480SAT + vertical 8,5 mh
QSO: 28000 CW 2013-11-23 1300 SN5O          599          15 UA4M            599          16
QSO: 28000 CW 2013-11-23 1358 SN5O          599          15 WK1Q            599          05
QSO: 28000 CW 2013-11-23 1408 SN5O          599          15 K1ZZ            599          05
QSO: 28000 CW 2013-11-23 1415 SN5O          599          15 G6PZ            599          14
QSO: 28000 CW 2013-11-23 1430 SN5O          599          15 WE3C            599          05
QSO: 28000 CW 2013-11-23 1432 SN5O          599          15 WW2Y            599          05
QSO: 28000 CW 2013-11-23 1434 SN5O          599          15 N4WW            599          05
QSO: 28000 CW 2013-11-23 1448 SN5O          599          15 VE3MIS          599          04
QSO: 28000 CW 2013-11-23 1457 SN5O          599          15 K5ZD            599          05
QSO: 28000 CW 2013-11-23 1507 SN5O          599          15 HD2T            599          10
QSO: 21000 CW 2013-11-23 1554 SN5O          599          15 K1ZZ            599          05
QSO: 21000 CW 2013-11-23 1557 SN5O          599          15 VE3OI           599          04
QSO: 21000 CW 2013-11-23 1600 SN5O          599          15 WA2O            599          05
QSO:  7000 CW 2013-11-23 2224 SN5O          599          15 P3F             599          20
QSO:  7000 CW 2013-11-23 2242 SN5O          599          15 4L0A            599          21
QSO:  7000 CW 2013-11-23 2243 SN5O          599          15 UA4M            599          16
QSO:  7000 CW 2013-11-23 2253 SN5O          599          15 YT9M            599          15
QSO:  7000 CW 2013-11-23 2254 SN5O          599          15 4Z4DX           599          20
QSO: 28000 CW 2013-11-24 1222 SN5O          599          15 9K2/SP4R        599          21
QSO: 28000 CW 2013-11-24 1226 SN5O          599          15 A45XR           599          21
QSO: 28000 CW 2013-11-24 1257 SN5O          599          15 N1LN            599          05
QSO: 28000 CW 2013-11-24 1259 SN5O          599          15 4L0A            599          21
QSO: 21000 CW 2013-11-24 1325 SN5O          599          15 4Z4DX           599          20
QSO: 21000 CW 2013-11-24 1326 SN5O          599          15 M7O             599          14
QSO: 21000 CW 2013-11-24 1346 SN5O          599          15 GW5R            599          14
QSO: 21000 CW 2013-11-24 1348 SN5O          599          15 K3WW            599          05
QSO: 21000 CW 2013-11-24 1349 SN5O          599          15 NR4M            599          05
QSO: 21000 CW 2013-11-24 1352 SN5O          599          15 4L8A            599          21
QSO:  1800 CW 2013-11-24 2240 SN5O          599          15 DL0AO           599          14
QSO:  1800 CW 2013-11-24 2241 SN5O          599          15 S53F            599          15
QSO:  1800 CW 2013-11-24 2243 SN5O          599          15 4L5O            599          21
QSO:  1800 CW 2013-11-24 2244 SN5O          599          15 HA8A            599          15
QSO:  1800 CW 2013-11-24 2245 SN5O          599          15 ES9C            599          15
QSO:  1800 CW 2013-11-24 2248 SN5O          599          15 S57M            599          15
QSO:  1800 CW 2013-11-24 2249 SN5O          599          15 DJ0MDR          599          14
QSO:  1800 CW 2013-11-24 2251 SN5O          599          15 LZ4TL           599          20
QSO:  1800 CW 2013-11-24 2252 SN5O          599          15 F5UTN           599          14
QSO:  1800 CW 2013-11-24 2253 SN5O          599          15 RD8D            599          17
QSO:  1800 CW 2013-11-24 2256 SN5O          599          15 DR5N            599          14
QSO:  1800 CW 2013-11-24 2257 SN5O          599          15 DJ4AX           599          14
QSO:  1800 CW 2013-11-24 2258 SN5O          599          15 UR5AS           599          16
QSO:  1800 CW 2013-11-24 2301 SN5O          599          15 S51V            599          15
QSO:  1800 CW 2013-11-24 2302 SN5O          599          15 YR8D            599          20
QSO:  1800 CW 2013-11-24 2302 SN5O          599          15 EW2M            599          16
QSO:  1800 CW 2013-11-24 2304 SN5O          599          15 OL1C            599          15
