START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
CONTEST:       CQ-WW-CW
CALLSIGN:      VE7BQO
CATEGORY-OPERATOR:  SINGLE-OP
CATEGORY-ASSISTED:  NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER:  QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER:  ONE
CATEGORY-OVERLAY:  CLASSIC
CLUB:          ORCA DX AND CONTEST CLUB
LOCATION:      BC
CLAIMED-SCORE: 27903
NAME:          Allen Wootton
OPERATORS:     VE7BQO
SOAPBOX:       Conditions for the contest were really good and it was
SOAPBOX:       great to be able to make so many QRP contacts.  I used
SOAPBOX:       SD for logging and it worked very well for me.
QSO: 14024 CW 2013-11-23 0104 VE7BQO        599 03     K0EU          599 04
QSO: 14013 CW 2013-11-23 0106 VE7BQO        599 03     K0RF          599 04
QSO: 14002 CW 2013-11-23 0108 VE7BQO        599 03     K3LR          599 05
QSO: 14012 CW 2013-11-23 0109 VE7BQO        599 03     W5RYA         599 04
QSO: 14017 CW 2013-11-23 0110 VE7BQO        599 03     CE3AA         599 12
QSO: 14037 CW 2013-11-23 0112 VE7BQO        599 03     NY4A          599 05
QSO: 14038 CW 2013-11-23 0113 VE7BQO        599 03     W9RE          599 04
QSO: 14036 CW 2013-11-23 0122 VE7BQO        599 03     7J1YAJ        599 25
QSO: 14046 CW 2013-11-23 0130 VE7BQO        599 03     JA7FTR        599 25
QSO: 14049 CW 2013-11-23 0131 VE7BQO        599 03     N1LN          599 05
QSO: 14059 CW 2013-11-23 0131 VE7BQO        599 03     W0ZA          599 04
QSO: 14045 CW 2013-11-23 0138 VE7BQO        599 03     P40F          599 09
QSO: 14043 CW 2013-11-23 0139 VE7BQO        599 03     NX6T          599 03
QSO: 14026 CW 2013-11-23 0141 VE7BQO        599 03     JA5FDJ        599 25
QSO: 14016 CW 2013-11-23 0142 VE7BQO        599 03     W0GJ          599 04
QSO: 14014 CW 2013-11-23 0144 VE7BQO        599 03     N5FO          599 04
QSO: 14021 CW 2013-11-23 0147 VE7BQO        599 03     K5GN          599 04
QSO: 7029  CW 2013-11-23 0659 VE7BQO        599 03     JA3YBK        599 25
QSO: 7016  CW 2013-11-23 0709 VE7BQO        599 03     JA5FDJ        599 25
QSO: 7018  CW 2013-11-23 0710 VE7BQO        599 03     W7VJ          599 03
QSO: 7035  CW 2013-11-23 0735 VE7BQO        599 03     VX7SV         599 03
QSO: 7004  CW 2013-11-23 0753 VE7BQO        599 03     K7RL          599 03
QSO: 7003  CW 2013-11-23 0755 VE7BQO        599 03     K0RF          599 04
QSO: 7036  CW 2013-11-23 0805 VE7BQO        599 03     AA9A          599 04
QSO: 7024  CW 2013-11-23 0806 VE7BQO        599 03     K0EU          599 04
QSO: 7019  CW 2013-11-23 0807 VE7BQO        599 03     W7WA          599 03
QSO: 7007  CW 2013-11-23 0809 VE7BQO        599 03     KL7RA         599 01
QSO: 7009  CW 2013-11-23 0823 VE7BQO        599 03     JM7OLW        599 25
QSO: 7034  CW 2013-11-23 1513 VE7BQO        599 03     N6XI          599 03
QSO: 7010  CW 2013-11-23 1524 VE7BQO        599 03     K3EST         599 03
QSO: 7009  CW 2013-11-23 1526 VE7BQO        599 03     NX1P          599 03
QSO: 7005  CW 2013-11-23 1529 VE7BQO        599 03     N6MA          599 03
QSO: 7015  CW 2013-11-23 1534 VE7BQO        599 03     NX6T          599 03
QSO: 7029  CW 2013-11-23 1547 VE7BQO        599 03     N7UA          599 03
QSO: 7012  CW 2013-11-23 1557 VE7BQO        599 03     NK7U          599 03
QSO: 7048  CW 2013-11-23 1601 VE7BQO        599 03     VE6WQ         599 04
QSO: 14030 CW 2013-11-23 1603 VE7BQO        599 03     N8A           599 32
QSO: 14035 CW 2013-11-23 2134 VE7BQO        599 03     UA9KB         599 17
QSO: 14030 CW 2013-11-23 2136 VE7BQO        599 03     JA7COI        599 25
QSO: 14028 CW 2013-11-23 2136 VE7BQO        599 03     N5NU          599 04
QSO: 14008 CW 2013-11-23 2151 VE7BQO        599 03     WE3C          599 05
