START-OF-LOG: 3.0
CONTEST: ARRL-10-GHZ
LOCATION: SJV
CALLSIGN: N9JIM
CATEGORY-BAND: ALL
OPERATORS: N9JIM
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: MIXED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: ROVER
CATEGORY-TIME: 24-HOURS
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY: CLASSIC
CLUB: THE 50MHZ AND UP GROUP OF NORTHERN CALIFORNIA
CREATED-BY: N9JIM 0.42
HQ-CATEGORY: 10 GHz and Up
QSO: 10G PH 2020-08-15 1650 N9JIM CM97JK W6QIW DM04MS
QSO: 10G PH 2020-08-15 1700 N9JIM CM97JK K6WCI DM04MS
QSO: 10G PH 2020-08-15 1702 N9JIM CM97JK W6TEB DM04MS
QSO: 10G PH 2020-08-15 1705 N9JIM CM97JK KD6W CM97MB
QSO: 10G PH 2020-08-15 1705 N9JIM CM97JK N6OLD CM97MB
QSO: 10G PH 2020-08-15 1710 N9JIM CM97JK KB6BA CM97KH
QSO: 10G PH 2020-08-15 1715 N9JIM CM97JK N5BF DM04MS
QSO: 10G PH 2020-08-15 1745 N9JIM CM97JK WA6CDR DM25GW
QSO: 24G PH 2020-08-15 1754 N9JIM CM97JK KB6BA CM97KH
QSO: 10G PH 2020-08-15 1808 N9JIM CM97JK W6SR CM98MN
QSO: 10G PH 2020-08-15 1818 N9JIM CM97JK AF6NA DM12JS
QSO: 10G PH 2020-08-15 1907 N9JIM CM97KH N6RMJ DM03TW
QSO: 10G PH 2020-08-15 1920 N9JIM CM97KH N5BF DM04MS
QSO: 10G PH 2020-08-15 1920 N9JIM CM97KH W6QIW DM04MS
QSO: 10G PH 2020-08-15 1920 N9JIM CM97KH KE6HPZ DM04MS
QSO: 10G PH 2020-08-15 1920 N9JIM CM97KH K6WCI DM04MS
QSO: 10G PH 2020-08-15 1925 N9JIM CM97KH K6MG CM97NB
QSO: 24G PH 2020-08-15 1927 N9JIM CM97KH K6MG CM97NB
QSO: 10G PH 2020-08-15 1931 N9JIM CM97KH WA6CDR DM25GW
QSO: 10G PH 2020-08-15 1933 N9JIM CM97KH N6KLD CM88WJ
QSO: 10G PH 2020-08-15 1942 N9JIM CM97KH N6CA DM03UT
QSO: 10G PH 2020-08-15 1956 N9JIM CM97KH AF6NA DM12JS
QSO: 10G PH 2020-08-15 2003 N9JIM CM97KH K6HLH DM14CP
QSO: 10G PH 2020-08-15 2008 N9JIM CM97KH WA6JBD DM13ET
QSO: 10G PH 2020-08-15 2008 N9JIM CM97KH W6DL DM13ET
QSO: 10G PH 2020-08-15 2121 N9JIM CM97MB WA6CDR DM25GW
QSO: 10G PH 2020-08-15 2124 N9JIM CM97MB W6QIW DM04MS
QSO: 10G PH 2020-08-15 2125 N9JIM CM97MB N5BF DM04MS
QSO: 10G PH 2020-08-15 2125 N9JIM CM97MB K6WCI DM04MS
QSO: 10G PH 2020-08-15 2125 N9JIM CM97MB N6TEB DM04MS
QSO: 10G PH 2020-08-15 2126 N9JIM CM97MB KE6HPZ DM04MS
QSO: 10G PH 2020-08-15 2129 N9JIM CM97MB N6CA DM03UT
QSO: 10G PH 2020-08-15 2133 N9JIM CM97MB K6MG CM97PB
QSO: 24G PH 2020-08-15 2134 N9JIM CM97MB K6MG CM97PB
QSO: 10G PH 2020-08-15 2141 N9JIM CM97MB N6KLD CM88WJ
QSO: 10G PH 2020-08-15 2147 N9JIM CM97MB WA6JBD DM13ET
QSO: 10G PH 2020-08-15 2147 N9JIM CM97MB W6DL DM13ET
QSO: 10G PH 2020-08-15 2200 N9JIM CM97MB N6RMJ DM03XQ
QSO: 10G PH 2020-08-15 2200 N9JIM CM97MB KH6WZ DM03XQ
QSO: 10G PH 2020-08-15 2208 N9JIM CM97MB KD6W CM96QW
QSO: 10G PH 2020-08-15 2208 N9JIM CM97MB N6OLD CM96QW
QSO: 10G PH 2020-08-15 2245 N9JIM CM97PB K6MG CM97RB
QSO: 24G PH 2020-08-15 2245 N9JIM CM97PB K6MG CM97RB
QSO: 10G PH 2020-08-15 2252 N9JIM CM97PB AF6NA DM12JS
QSO: 10G PH 2020-08-15 2256 N9JIM CM97PB W6QIW DM04MS
QSO: 10G PH 2020-08-15 2256 N9JIM CM97PB N5BF DM04MS
QSO: 10G PH 2020-08-15 2256 N9JIM CM97PB KE6HPZ DM04MS
QSO: 10G PH 2020-08-15 2300 N9JIM CM97PB WA6CDR DM25GW
QSO: 10G PH 2020-08-15 2306 N9JIM CM97PB N6RMJ DM03XQ
QSO: 10G PH 2020-08-15 2306 N9JIM CM97PB KH6WZ DM03XQ
QSO: 10G PH 2020-08-15 2308 N9JIM CM97PB N6OLD CM96ST
QSO: 10G PH 2020-08-15 2308 N9JIM CM97PB KD6W CM96ST
QSO: 10G PH 2020-08-15 2309 N9JIM CM97PB WA6JBD DM13ET
QSO: 10G PH 2020-08-15 2310 N9JIM CM97PB W6DL DM13ET
QSO: 10G PH 2020-08-15 2319 N9JIM CM97PB N6KLD CM88WJ
QSO: 10G PH 2020-08-15 2357 N9JIM CM97RB N6KLD CM88WJ
QSO: 10G PH 2020-08-16 0000 N9JIM CM97RB N6CA DM03UT
QSO: 10G PH 2020-08-16 0004 N9JIM CM97RB WA6JBD DM13ET
QSO: 10G PH 2020-08-16 0004 N9JIM CM97RB W6DL DM13ET
QSO: 10G PH 2020-08-16 0006 N9JIM CM97RB WA6CDR DM25GW
QSO: 10G PH 2020-08-16 0010 N9JIM CM97RB W6QIW DM04MS
QSO: 10G PH 2020-08-16 0010 N9JIM CM97RB N5BF DM04MS
QSO: 10G PH 2020-08-16 0010 N9JIM CM97RB KE6HPZ DM04MS
QSO: 10G PH 2020-08-16 0015 N9JIM CM97RB AF6NA DM12JS
QSO: 10G PH 2020-08-16 0130 N9JIM CM97TB N6KLD CM88WJ
QSO: 10G PH 2020-08-16 0131 N9JIM CM97TB AD6A CM97MB
QSO: 10G PH 2020-08-16 0135 N9JIM CM97TB WA6CDR DM25GW
QSO: 10G PH 2020-08-16 0143 N9JIM CM97TB W6QIW DM04MS
QSO: 10G PH 2020-08-16 0143 N9JIM CM97TB KE6HPZ DM04MS
QSO: 24G PH 2020-08-16 0152 N9JIM CM97TB W6QIW DM04MS
QSO: 10G PH 2020-08-16 0201 N9JIM CM97TB N6CA DM03UT
QSO: 10G PH 2020-08-16 0203 N9JIM CM97TB WA6JBD DM13ET
QSO: 10G PH 2020-08-16 0208 N9JIM CM97TB W6DL DM13ET
QSO: 10G PH 2020-08-16 1600 N9JIM CM87UK AD6IW CM87XJ
QSO: 10G PH 2020-08-16 1640 N9JIM CM87UK W6QIW DM04MS
QSO: 10G PH 2020-08-16 1700 N9JIM CM87UK K6MG CM97KH
QSO: 10G PH 2020-08-16 1912 N9JIM CM97BC W6QIW DM04MS
QSO: 10G PH 2020-08-16 1916 N9JIM CM97BC KD6W CM96XC
QSO: 10G PH 2020-08-16 1923 N9JIM CM97BC AF6NA DM12JS
QSO: 10G PH 2020-08-16 1935 N9JIM CM97BC K6MG CM97UH
QSO: 10G PH 2020-08-16 1950 N9JIM CM97BC WA6CDR DM25GW
QSO: 10G PH 2020-08-16 2017 N9JIM CM97BC K1CT DM12JU
QSO: 10G PH 2020-08-16 2022 N9JIM CM97BC W6DL DM13JM
QSO: 10G PH 2020-08-16 2030 N9JIM CM97BC K6MG CM97TF
QSO: 10G PH 2020-08-16 2032 N9JIM CM97BC KD6W CM96WD
QSO: 10G PH 2020-08-16 2106 N9JIM CM97BC K6MG CM97SA
QSO: 24G PH 2020-08-16 2107 N9JIM CM97BC K6MG CM97SA
QSO: 10G PH 2020-08-16 2123 N9JIM CM97BC N6CA DM03UT
QSO: 10G PH 2020-08-16 2209 N9JIM CM97BC K6WCI DM03WT
QSO: 10G PH 2020-08-16 2209 N9JIM CM97BC KE6HPZ DM04QB
QSO: 10G PH 2020-08-16 2239 N9JIM CM97BC KD6W CM97VG
QSO: 10G PH 2020-08-16 2254 N9JIM CM97BC N5BF DM04TI
QSO: 10G PH 2020-08-16 2315 N9JIM CM97BC AD6A CM97KH
QSO: 10G PH 2020-09-19 1640 N9JIM CM97MB K6TJ CM97AV
QSO: 10G PH 2020-09-19 1640 N9JIM CM97MB W6BY CM97KK
QSO: 10G PH 2020-09-19 1655 N9JIM CM97MB N6OLD CM97KH
QSO: 10G PH 2020-09-19 1658 N9JIM CM97MB N6RMJ CM97KH
QSO: 10G PH 2020-09-19 1659 N9JIM CM97MB KD6W CM97KH
QSO: 10G PH 2020-09-19 1704 N9JIM CM97MB W6SR CM98MP
QSO: 10G PH 2020-09-19 1709 N9JIM CM97MB W6QIW DM04MX
QSO: 10G PH 2020-09-19 1713 N9JIM CM97MB N6TEB DM05MB
QSO: 10G PH 2020-09-19 1713 N9JIM CM97MB K6WCI DM05MB
QSO: 10G PH 2020-09-19 1930 N9JIM CM97KH WA6CDR DM13CO
QSO: 10G PH 2020-09-19 1940 N9JIM CM97KH W6DL DM13CO
QSO: 10G PH 2020-09-19 1948 N9JIM CM97KH K6TJ CM97AV
QSO: 10G PH 2020-09-19 1948 N9JIM CM97KH W6BY CM97AV
QSO: 10G PH 2020-09-19 1948 N9JIM CM97KH N6KLD CM97AV
QSO: 10G PH 2020-09-19 1948 N9JIM CM97KH WA6QDP CM97AV
QSO: 10G PH 2020-09-19 2002 N9JIM CM97KH K6ML CM96WP
QSO: 24G PH 2020-09-19 2005 N9JIM CM97KH K6ML CM96WP
QSO: 10G PH 2020-09-19 2010 N9JIM CM97KH W6SR CM98MN
QSO: 10G PH 2020-09-19 2015 N9JIM CM97KH N6OLD CM96NW
QSO: 10G PH 2020-09-19 2017 N9JIM CM97KH KD6W CM96NW
QSO: 10G PH 2020-09-19 2028 N9JIM CM97KH W6QIW DM05MF
QSO: 10G PH 2020-09-19 2141 N9JIM CM97OB K6TJ CM97AV
QSO: 10G PH 2020-09-19 2141 N9JIM CM97OB W6BY CM97AV
QSO: 10G PH 2020-09-19 2141 N9JIM CM97OB N6KLD CM97AV
QSO: 10G PH 2020-09-19 2141 N9JIM CM97OB WA6QDP CM97AV
QSO: 10G PH 2020-09-19 2200 N9JIM CM97OB WB6TFC DM12MQ
QSO: 10G PH 2020-09-19 2206 N9JIM CM97OB N5BF DM12MQ
QSO: 10G PH 2020-09-19 2229 N9JIM CM97OB N6TEB DM05EO
QSO: 10G PH 2020-09-19 2229 N9JIM CM97OB K6WCI DM05EO
QSO: 10G PH 2020-09-19 2239 N9JIM CM97OB K6ML DM06AC
QSO: 24G PH 2020-09-19 2239 N9JIM CM97OB K6ML DM06AC
QSO: 10G PH 2020-09-19 2248 N9JIM CM97OB WA6CDR DM13CO
QSO: 10G PH 2020-09-19 2254 N9JIM CM97OB W6DL DM13CO
QSO: 10G PH 2020-09-19 2300 N9JIM CM97OB KD6W CM96PS
QSO: 10G PH 2020-09-19 2302 N9JIM CM97OB N6OLD CM96PS
QSO: 24G PH 2020-09-19 2302 N9JIM CM97OB KD6W CM96PS
QSO: 10G PH 2020-09-19 2304 N9JIM CM97OB W6QIW DM05JH
QSO: 10G PH 2020-09-19 2342 N9JIM CM97RB WA6CDR DM13CO
QSO: 10G PH 2020-09-20 0002 N9JIM CM97RB W6BY CM97AV
QSO: 10G PH 2020-09-20 0002 N9JIM CM97RB K6TJ CM97AV
QSO: 10G PH 2020-09-20 0003 N9JIM CM97RB N6KLD CM97AV
QSO: 10G PH 2020-09-20 0003 N9JIM CM97RB WA6QDP CM97AV
QSO: 24G PH 2020-09-20 0009 N9JIM CM97RB WA6QDP CM97AV
QSO: 10G PH 2020-09-20 0052 N9JIM CM97TB W6QIW DM05GL
QSO: 10G PH 2020-09-20 0055 N9JIM CM97TB KD6W CM96RQ
QSO: 10G PH 2020-09-20 0055 N9JIM CM97TB N6OLD CM96RQ
QSO: 24G PH 2020-09-20 0058 N9JIM CM97TB KD6W CM96RQ
QSO: 10G PH 2020-09-20 0130 N9JIM CM97TB WA6CDR DM13CO
QSO: 10G PH 2020-09-20 0148 N9JIM CM97TB W6BY CM97AV
QSO: 10G PH 2020-09-20 0148 N9JIM CM97TB K6TJ CM97AV
QSO: 10G PH 2020-09-20 0149 N9JIM CM97TB N6KLD CM97AV
QSO: 10G PH 2020-09-20 0149 N9JIM CM97TB WA6QDP CM97AV
QSO: 10G PH 2020-09-20 0153 N9JIM CM97TB N6RMJ DM06AA
QSO: 10G PH 2020-09-20 0153 N9JIM CM97TB K6WCI DM06AA
QSO: 10G PH 2020-09-20 0153 N9JIM CM97TB N6TEB DM06AA
QSO: 10G PH 2020-09-20 0155 N9JIM CM97TB K6ML DM06CK
QSO: 10G PH 2020-09-20 1705 N9JIM CM97KH N6TEB CM96WF
