START-OF-LOG: 3.0
CONTEST: EA-MAJESTAD-CW
CALLSIGN: OM3TBG
CATEGORY: SINGLE-OP ALL LOW
LOCATION: DX
CLUB: 
CLAIMED-SCORE: 4305
OPERATORS: OM3TBG
NAME: Milan DOSTAL
CREATED-BY: DQR_Log v. 3.2.5 - (c) SP7DQR
SOAPBOX: TRX DRAKE TR7  - 100W  ANT Windom 41 M
QSO: 14000 CW 2024-05-18 1433 OM3TBG        599         001 SV1ME           599         201
QSO: 14000 CW 2024-05-18 1436 OM3TBG        599         002 OZ5W            599         038
QSO: 14000 CW 2024-05-18 1438 OM3TBG        599         003 SV1FWV          599         093
QSO: 14000 CW 2024-05-18 1441 OM3TBG        599         004 PA4O            599         140
QSO: 14000 CW 2024-05-18 1445 OM3TBG        599         005 ON9TT           599         113
QSO:  7000 CW 2024-05-18 2002 OM3TBG        599         006 DL5JQ           599         035
QSO:  7000 CW 2024-05-18 2006 OM3TBG        599         007 2E0OBO          599         032
QSO:  7000 CW 2024-05-18 2007 OM3TBG        599         008 IK8UND          599         150
QSO:  7000 CW 2024-05-18 2008 OM3TBG        599         009 I1NVU           599         045
QSO:  7000 CW 2024-05-18 2009 OM3TBG        599         010 DK1TW           599         251
QSO:  7000 CW 2024-05-18 2010 OM3TBG        599         011 IV3UHL          599         167
QSO:  7000 CW 2024-05-18 2013 OM3TBG        599         012 LZ7DX           599         130
QSO:  7000 CW 2024-05-18 2015 OM3TBG        599         013 EC7R            599           H
QSO:  7000 CW 2024-05-18 2017 OM3TBG        599         014 SF6W            599         055
QSO:  7000 CW 2024-05-18 2019 OM3TBG        599         015 IT97G4BJM       599         074
QSO:  7000 CW 2024-05-18 2020 OM3TBG        599         016 EW1M            599         116
QSO:  7000 CW 2024-05-18 2022 OM3TBG        599         017 I2WIJ           599         101
QSO:  7000 CW 2024-05-18 2022 OM3TBG        599         018 SP3HRN          599         018
QSO:  7000 CW 2024-05-18 2024 OM3TBG        599         019 DL3GA           599         292
QSO:  7000 CW 2024-05-18 2025 OM3TBG        599         020 EF0F            599         SMR
QSO:  7000 CW 2024-05-18 2029 OM3TBG        599         021 HB9TSW          599         065
QSO:  7000 CW 2024-05-18 2030 OM3TBG        599         022 LZ1BP           599         211
QSO:  7000 CW 2024-05-18 2031 OM3TBG        599         023 IK5MEP          599         104
QSO:  7000 CW 2024-05-18 2033 OM3TBG        599         024 DL3KWF          599         207
QSO:  7000 CW 2024-05-18 2034 OM3TBG        599         025 EA7A            599          SE
QSO:  7000 CW 2024-05-18 2035 OM3TBG        599         026 SE5T            599         361
QSO:  7000 CW 2024-05-18 2037 OM3TBG        599         027 UA6AA           599         096
QSO:  7000 CW 2024-05-18 2038 OM3TBG        599         028 LZ1ZJ           599         361
QSO:  7000 CW 2024-05-18 2039 OM3TBG        599         029 IV3FPX          599         190
QSO:  7000 CW 2024-05-18 2125 OM3TBG        599         030 DF7TV           599         344
QSO:  7000 CW 2024-05-18 2127 OM3TBG        599         031 UI7D            599         028
QSO:  7000 CW 2024-05-18 2130 OM3TBG        599         032 OK1OA           599         201
QSO:  7000 CW 2024-05-18 2134 OM3TBG        599         033 YO6FGZ          599         120
QSO:  7000 CW 2024-05-18 2135 OM3TBG        599         034 IT9PPG          599         400
QSO:  7000 CW 2024-05-18 2136 OM3TBG        599         035 YT7X            599         017
QSO:  7000 CW 2024-05-18 2138 OM3TBG        599         036 IK8UND          599         242
QSO:  7000 CW 2024-05-18 2139 OM3TBG        599         037 HB9HTF          599         211
QSO:  7000 CW 2024-05-18 2141 OM3TBG        599         038 R1BH            599         009
QSO:  7000 CW 2024-05-18 2143 OM3TBG        599         039 CR3DX           599         598
QSO:  7000 CW 2024-05-18 2144 OM3TBG        599         040 EA3X            599           B
QSO:  7000 CW 2024-05-18 2149 OM3TBG        599         041 SP2MHC          599         047
QSO:  7000 CW 2024-05-18 2150 OM3TBG        599         042 ED7W            599          CO
QSO:  7000 CW 2024-05-19 0732 OM3TBG        599         043 SP4TKR          599         092
QSO:  7000 CW 2024-05-19 0733 OM3TBG        599         044 DR2C            599         031
QSO:  7000 CW 2024-05-19 0734 OM3TBG        599         045 DK5DQ           599         032
QSO:  7000 CW 2024-05-19 0739 OM3TBG        599         046 IK5OJB          599         029
QSO:  7000 CW 2024-05-19 0742 OM3TBG        599         047 OK5TFC          599         237
QSO: 14000 CW 2024-05-19 0748 OM3TBG        599         048 Z35W            599         280
QSO: 14000 CW 2024-05-19 0750 OM3TBG        599         049 ED8M            599          TF
QSO: 14000 CW 2024-05-19 0753 OM3TBG        599         050 M5P             599         176
QSO: 14000 CW 2024-05-19 0754 OM3TBG        599         051 G4ERW           599         013
QSO: 14000 CW 2024-05-19 0756 OM3TBG        599         052 SE5V            599         142
QSO: 14000 CW 2024-05-19 0757 OM3TBG        599         053 F5OZC           599         290
QSO: 14000 CW 2024-05-19 0758 OM3TBG        599         054 OZ1AAR          599         212
QSO: 14000 CW 2024-05-19 0759 OM3TBG        599         055 EA8A            599          TF
QSO: 14000 CW 2024-05-19 0800 OM3TBG        599         056 EW2ZC           599         186
QSO: 14000 CW 2024-05-19 0801 OM3TBG        599         057 SP1AEN          599         296
QSO: 14000 CW 2024-05-19 0802 OM3TBG        599         058 YL1ZX           599         250
QSO: 14000 CW 2024-05-19 0803 OM3TBG        599         059 YP3X            599         041
QSO: 14000 CW 2024-05-19 0806 OM3TBG        599         060 LZ1JZ           599         187
QSO: 14000 CW 2024-05-19 0807 OM3TBG        599         061 ON6PJ           599         346
QSO: 14000 CW 2024-05-19 0808 OM3TBG        599         062 G4RWD           599         090
QSO: 14000 CW 2024-05-19 0809 OM3TBG        599         063 ON6FC           599         302
QSO: 14000 CW 2024-05-19 0810 OM3TBG        599         064 ON3IJ           599         139
QSO: 14000 CW 2024-05-19 0813 OM3TBG        599         065 F5NTZ           599         161
QSO: 14000 CW 2024-05-19 0814 OM3TBG        599         066 SC6O            599         441
QSO: 14000 CW 2024-05-19 0815 OM3TBG        599         067 Z33B            599         165
QSO: 14000 CW 2024-05-19 0821 OM3TBG        599         068 F5IND           599         089
QSO: 14000 CW 2024-05-19 0834 OM3TBG        599         069 PA2W            599         140
QSO: 14000 CW 2024-05-19 0835 OM3TBG        599         070 IS0AFM          599         013
QSO: 14000 CW 2024-05-19 0857 OM3TBG        599         071 F5VKT           599         241
QSO: 14000 CW 2024-05-19 0901 OM3TBG        599         072 EA7CJN          599           J
QSO: 14000 CW 2024-05-19 0904 OM3TBG        599         073 IK6QRH          599         111
QSO: 14000 CW 2024-05-19 0907 OM3TBG        599         074 IZ5BBS          599         074
QSO: 14000 CW 2024-05-19 0909 OM3TBG        599         075 EA7Q            599           H
QSO: 14000 CW 2024-05-19 0910 OM3TBG        599         076 EA6EJ           599          IB
QSO: 14000 CW 2024-05-19 0911 OM3TBG        599         077 EA1WH           599           S
QSO: 14000 CW 2024-05-19 0912 OM3TBG        599         078 EA5GIE          599           V
QSO: 14000 CW 2024-05-19 0913 OM3TBG        599         079 SE4E            599         395
QSO: 14000 CW 2024-05-19 0914 OM3TBG        599         080 UT3EV           599         542
QSO: 14000 CW 2024-05-19 0920 OM3TBG        599         081 SM5CSS          599         315
QSO: 14000 CW 2024-05-19 0931 OM3TBG        599         082 M4T             599         322
END-OF-LOG:
