START-OF-LOG: 3.0
CREATED-BY: tlf-1.5~git
X-CREATED-ON: 19-May-24 at 12:30z
CONTEST: EA-MAJESTAD-CW
CALLSIGN: PE4KH
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 7714
LOCATION: DX
GRID-LOCATOR: JO22NC
NAME: Koos van den Hout
OPERATORS: PE4KH
SOAPBOX: Working against bad propagation, I was surprised by some DX
QSO: 14021 CW 2024-05-18 1255 PE4KH         599 0001   SM0D          599 096   
QSO: 14005 CW 2024-05-18 1257 PE4KH         599 0002   MM9I          599 102   
QSO: 14010 CW 2024-05-18 1258 PE4KH         599 0003   S51DX         599 122   
QSO: 14011 CW 2024-05-18 1300 PE4KH         599 0004   SN1T          599 089   
QSO: 14012 CW 2024-05-18 1302 PE4KH         599 0005   UT3EV         599 080   
QSO: 14012 CW 2024-05-18 1303 PE4KH         599 0006   HG6O          599 087   
QSO: 14024 CW 2024-05-18 1310 PE4KH         599 0007   YU5R          599 063   
QSO: 14027 CW 2024-05-18 1313 PE4KH         599 0008   SV1ME         599 128   
QSO: 14029 CW 2024-05-18 1315 PE4KH         599 0009   F5IN          599 103   
QSO: 14029 CW 2024-05-18 1315 PE4KH         599 0010   HG5D          599 116   
QSO: 14036 CW 2024-05-18 1327 PE4KH         599 0011   ED7W          599 CO    
QSO: 14036 CW 2024-05-18 1328 PE4KH         599 0012   EF0F          599 SMR   
QSO: 14039 CW 2024-05-18 1329 PE4KH         599 0013   9A1AA         599 128   
QSO: 14041 CW 2024-05-18 1331 PE4KH         599 0014   S53F          599 108   
QSO: 14043 CW 2024-05-18 1334 PE4KH         599 0015   IK1BPL        599 047   
QSO: 14010 CW 2024-05-18 1340 PE4KH         599 0016   LZ8R          599 155   
QSO: 14010 CW 2024-05-18 1341 PE4KH         599 0017   UT0RM         599 129   
QSO: 14011 CW 2024-05-18 1347 PE4KH         599 0018   UT5NC         599 080   
QSO: 14013 CW 2024-05-18 1349 PE4KH         599 0019   E77EA         599 104   
QSO: 14015 CW 2024-05-18 1352 PE4KH         599 0020   P3X           599 353   
QSO: 14016 CW 2024-05-18 1355 PE4KH         599 0021   UW1M          599 231   
QSO: 14019 CW 2024-05-18 1403 PE4KH         599 0022   OK2TJ         599 074   
QSO: 14020 CW 2024-05-18 1406 PE4KH         599 0023   ED1R          599 AV    
QSO: 14023 CW 2024-05-18 1410 PE4KH         599 0024   ED1B          599 O     
QSO: 14025 CW 2024-05-18 1411 PE4KH         599 0025   HA2VH         599 131   
QSO: 14025 CW 2024-05-18 1412 PE4KH         599 0026   OK2EA         599 007   
QSO: 14026 CW 2024-05-18 1413 PE4KH         599 0027   YT2ISM        599 104   
QSO: 14027 CW 2024-05-18 1414 PE4KH         599 0028   US2YW         599 020   
QSO: 14028 CW 2024-05-18 1417 PE4KH         599 0029   RW1A          599 196   
QSO: 14044 CW 2024-05-18 1428 PE4KH         599 0030   IU4FNO        599 98    
QSO: 14009 CW 2024-05-18 1437 PE4KH         599 0031   LZ5R          599 259   
QSO: 14016 CW 2024-05-18 1440 PE4KH         599 0032   OM3CW         599 123   
QSO: 14021 CW 2024-05-18 1442 PE4KH         599 0033   LZ5EE         599 157   
QSO: 14030 CW 2024-05-18 1445 PE4KH         599 0034   9A4W          599 002   
QSO: 14031 CW 2024-05-18 1448 PE4KH         599 0035   HA2KMR        599 199   
QSO: 14035 CW 2024-05-18 1451 PE4KH         599 0036   OM7LW         599 116   
QSO: 14038 CW 2024-05-18 1455 PE4KH         599 0037   EF5Y          599 A     
QSO: 14038 CW 2024-05-18 1457 PE4KH         599 0038   IZ8EPX        599 64    
QSO: 14044 CW 2024-05-18 1459 PE4KH         599 0039   IT9LKX        599 6     
QSO: 14045 CW 2024-05-18 1459 PE4KH         599 0040   SV1ENG        599 110   
QSO: 14012 CW 2024-05-18 1516 PE4KH         599 0041   HA5OV         599 011   
QSO: 14015 CW 2024-05-18 1524 PE4KH         599 0042   HG7T          599 233   
QSO: 14017 CW 2024-05-18 1526 PE4KH         599 0043   HA3DX         599 240   
QSO: 14033 CW 2024-05-18 1530 PE4KH         599 0044   EA1WH         599 S     
QSO: 14040 CW 2024-05-18 1533 PE4KH         599 0045   LZ1ZJ         599 125   
QSO: 14004 CW 2024-05-18 1548 PE4KH         599 0046   UR2Y          599 183   
QSO: 14010 CW 2024-05-18 1550 PE4KH         599 0047   EA4KA         599 M     
QSO: 14021 CW 2024-05-18 1553 PE4KH         599 0048   EA3AR         599 B     
QSO: 14031 CW 2024-05-18 1604 PE4KH         599 0049   UN4L          599 09    
QSO: 14039 CW 2024-05-18 1607 PE4KH         599 0050   EB7KA         599 AL    
QSO: 14015 CW 2024-05-18 1926 PE4KH         599 0051   E29TGW        599 181   
QSO: 14006 CW 2024-05-18 1944 PE4KH         599 0052   JA6GCE        599 278   
QSO: 14027 CW 2024-05-18 1952 PE4KH         599 0053   CR3DX         599 475   
QSO:  7005 CW 2024-05-18 1954 PE4KH         599 0054   EA7BEZ        599 H     
QSO:  7006 CW 2024-05-18 1956 PE4KH         599 0055   EW2ZC         599 127   
QSO:  7006 CW 2024-05-18 1957 PE4KH         599 0056   IK3QAR        599 059   
QSO:  7007 CW 2024-05-18 1959 PE4KH         599 0057   EA3X          599 B     
QSO:  7007 CW 2024-05-18 2001 PE4KH         599 0058   LC5P          599 55    
QSO:  7011 CW 2024-05-18 2004 PE4KH         599 0059   YU1RA         599 042   
QSO:  7012 CW 2024-05-18 2007 PE4KH         599 0060   EA1G          599 O     
QSO:  7015 CW 2024-05-18 2010 PE4KH         599 0061   OK2EA         599 243   
QSO:  7016 CW 2024-05-18 2018 PE4KH         599 0062   SM6TOL        599 217   
QSO:  7017 CW 2024-05-18 2019 PE4KH         599 0063   RK4FM         599 335   
QSO:  7018 CW 2024-05-18 2022 PE4KH         599 0064   HE5T          599 350   
QSO:  7023 CW 2024-05-18 2023 PE4KH         599 0065   EA5O          599 V     
QSO:  7022 CW 2024-05-18 2032 PE4KH         599 0066   LZ1BP         599 217   
QSO:  7024 CW 2024-05-18 2033 PE4KH         599 0067   IV3UHL        599 187   
QSO:  7026 CW 2024-05-18 2035 PE4KH         599 0068   SP3HRN        599 045   
QSO:  7027 CW 2024-05-18 2036 PE4KH         599 0069   OK5TFC        599 128   
QSO:  7030 CW 2024-05-18 2038 PE4KH         599 0070   IK4DCX        599 163   
QSO:  7031 CW 2024-05-18 2039 PE4KH         599 0071   DK1TW         599 280   
QSO:  7035 CW 2024-05-18 2040 PE4KH         599 0072   EA3AR         599 B     
QSO:  7008 CW 2024-05-18 2158 PE4KH         599 0073   HB9DCM        599 158   
QSO:  7015 CW 2024-05-18 2202 PE4KH         599 0074   DL5JQ         599 152   
QSO:  7019 CW 2024-05-18 2203 PE4KH         599 0075   YP8T          599 477   
QSO:  7025 CW 2024-05-18 2207 PE4KH         599 0076   SM0Q          599 074   
QSO: 14014 CW 2024-05-19 1033 PE4KH         599 0077   EF1A          599 C     
QSO: 14016 CW 2024-05-19 1035 PE4KH         599 0078   OH1F          599 401   
QSO: 14030 CW 2024-05-19 1043 PE4KH         599 0079   SE5V          599 207   
QSO: 28010 CW 2024-05-19 1052 PE4KH         599 0080   9A4W          599 498   
QSO: 28011 CW 2024-05-19 1053 PE4KH         599 0081   LZ5R          599 1660  
QSO: 28017 CW 2024-05-19 1059 PE4KH         599 0082   LZ5EE         599 624   
QSO: 28021 CW 2024-05-19 1100 PE4KH         599 0083   LZ4TX         599 294   
QSO: 28022 CW 2024-05-19 1102 PE4KH         599 0084   HG7T          599 1095  
QSO: 28035 CW 2024-05-19 1103 PE4KH         599 0085   ED7W          599 CO    
QSO: 28010 CW 2024-05-19 1110 PE4KH         599 0086   YQ6A          599 836   
QSO: 14013 CW 2024-05-19 1114 PE4KH         599 0087   LZ1ZF         599 187   
QSO: 14013 CW 2024-05-19 1116 PE4KH         599 0088   LZ1QN         599 021   
QSO: 14016 CW 2024-05-19 1117 PE4KH         599 0089   SE4E          599 462   
QSO: 14020 CW 2024-05-19 1120 PE4KH         599 0090   R1AT          599 209   
QSO: 14023 CW 2024-05-19 1122 PE4KH         599 0091   YL1ZX         599 306   
QSO: 14038 CW 2024-05-19 1125 PE4KH         599 0092   EC1R          599 P     
QSO: 28020 CW 2024-05-19 1128 PE4KH         599 0093   LZ6K          599 1013  
QSO: 28024 CW 2024-05-19 1131 PE4KH         599 0094   US2YW         599 553   
QSO: 14007 CW 2024-05-19 1136 PE4KH         599 0095   EA8ZS         599 GC    
QSO: 14012 CW 2024-05-19 1137 PE4KH         599 0096   HA6NL         599 430   
QSO: 14018 CW 2024-05-19 1139 PE4KH         599 0097   UR7R          599 432   
END-OF-LOG:
