START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: JR4BYH
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION:
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 1240
NAME: Toshifumi Fujiwara
OPERATORS: JR4BYH
CREATED-BY: WA7BNM Web2Cabrillo 1.14
SOAPBOX: Many Thanks for the contest, I enjoyed the QRP participation.
QSO:   21000 CW 2021-11-27 0156 JR4BYH           599 25    7A2A             599  28       
QSO:   21000 CW 2021-11-27 0333 JR4BYH           599 25    RW0A             599  18       
QSO:   21000 CW 2021-11-27 0353 JR4BYH           599 25    BY1CY            599  24       
QSO:   21000 CW 2021-11-27 0412 JR4BYH           599 25    XV1X             599  26       
QSO:   21000 CW 2021-11-27 0423 JR4BYH           599 25    NH2DX            599  27       
QSO:   21000 CW 2021-11-27 0431 JR4BYH           599 25    5W1SA            599  32       
QSO:   21000 CW 2021-11-27 0441 JR4BYH           599 25    UA6AA            599  16       
QSO:   21000 CW 2021-11-27 0450 JR4BYH           599 25    VJ3A             599  30       
QSO:   21000 CW 2021-11-27 0704 JR4BYH           599 25    ES9C             599  15       
QSO:   21000 CW 2021-11-27 0710 JR4BYH           599 25    ZM4T             599  32       
QSO:   21000 CW 2021-11-27 0715 JR4BYH           599 25    9A5E             599  15       
QSO:   21000 CW 2021-11-27 0722 JR4BYH           599 25    RU1A             599  16       
QSO:   21000 CW 2021-11-27 0737 JR4BYH           599 25    DU3T             599  27       
QSO:   21000 CW 2021-11-27 2350 JR4BYH           599 25    N6RO             599  03       
QSO:   21000 CW 2021-11-27 2359 JR4BYH           599 25    UA0C             599  19       
QSO:   21000 CW 2021-11-28 0007 JR4BYH           599 25    JM4WUZ           599  25       
QSO:   21000 CW 2021-11-28 0217 JR4BYH           599 25    KH6LC            599  31       
END-OF-LOG:
