START-OF-LOG: 3.0
CONTEST: ARRL-VHF-JUN
LOCATION: OR
CALLSIGN: K7YO
CATEGORY-MODE: MIXED
CATEGORY-BAND: ALL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CREATED-BY: VHFCONT 3.0B COPYRIGHT 6/14/2002 KEN R. MASON KC6TEU
CLUB: Pacific Northwest VHF Society
OPERATORS: K7YO
HQ-CATEGORY: Single Operator, High Power
QSO: 144 PH 2019-06-08 1823 K7YO CN85 K7BDB/R CN85
QSO: 144 PH 2019-06-08 1823 K7YO CN85 K7YDL CN85
QSO: 50 PH 2019-06-08 1827 K7YO CN85 WB8VLC CN84
QSO: 50 PH 2019-06-08 1829 K7YO CN85 K7CW CN87
QSO: 144 PH 2019-06-08 1830 K7YO CN85 W7EW CN84
QSO: 50 PH 2019-06-08 1833 K7YO CN85 K7YDL CN85
QSO: 144 PH 2019-06-08 1834 K7YO CN85 KB7W CN93
QSO: 144 PH 2019-06-08 1835 K7YO CN85 N7PJT CN85
QSO: 144 PH 2019-06-08 1837 K7YO CN85 N7TSI CN96
QSO: 144 PH 2019-06-08 1837 K7YO CN85 KE7SW CN87
QSO: 144 PH 2019-06-08 1837 K7YO CN85 N7MWV CN86
QSO: 144 PH 2019-06-08 1838 K7YO CN85 KB7MSU/R CN87
QSO: 144 PH 2019-06-08 1838 K7YO CN85 K7AYP CN85
QSO: 144 PH 2019-06-08 1841 K7YO CN85 K7ALO CN85
QSO: 50 PH 2019-06-08 1842 K7YO CN85 W7FI CN87
QSO: 144 PH 2019-06-08 1927 K7YO CN85 W7DG CN86
QSO: 144 PH 2019-06-08 1927 K7YO CN85 W7GLF CN97
QSO: 144 PH 2019-06-08 1928 K7YO CN85 W7YOZ CN87
QSO: 144 PH 2019-06-08 1948 K7YO CN85 W7PWP CN96
QSO: 144 PH 2019-06-08 1951 K7YO CN85 N7QOZ CN87
QSO: 50 PH 2019-06-08 2000 K7YO CN85 K9JF CN85
QSO: 144 PH 2019-06-09 0016 K7YO CN85 W7OTL CN85
QSO: 144 PH 2019-06-09 0017 K7YO CN85 W7PM CN85
QSO: 144 PH 2019-06-09 0018 K7YO CN85 N3EG CN86
QSO: 50 PH 2019-06-09 0019 K7YO CN85 N3EG CN86
QSO: 50 PH 2019-06-09 0019 K7YO CN85 W7OTL CN85
QSO: 50 PH 2019-06-09 0026 K7YO CN85 AC7SG/R CN95
QSO: 50 PH 2019-06-09 0027 K7YO CN85 AI9Q CN85
QSO: 50 PH 2019-06-09 0035 K7YO CN85 WZ7E CN85
QSO: 50 PH 2019-06-09 0035 K7YO CN85 K7VIT CN85
QSO: 144 FM 2019-06-09 0041 K7YO CN85 AC7NU CN85
QSO: 144 FM 2019-06-09 0041 K7YO CN85 W7RC CN85
QSO: 144 FM 2019-06-09 0044 K7YO CN85 W7BO CN85
QSO: 50 PH 2019-06-09 0051 K7YO CN85 W7MTL CN85
QSO: 50 PH 2019-06-09 0057 K7YO CN85 KD7UO CN97
QSO: 144 PH 2019-06-09 0058 K7YO CN85 KD7UO CN97
QSO: 222 PH 2019-06-09 0112 K7YO CN85 KB7W CN93
QSO: 144 PH 2019-06-09 0119 K7YO CN85 KE7ZAC CN85
QSO: 50 PH 2019-06-09 0120 K7YO CN85 WZ8T CN85
QSO: 144 PH 2019-06-09 0121 K7YO CN85 WZ8T CN85
QSO: 144 PH 2019-06-09 0122 K7YO CN85 W7MTL CN85
QSO: 222 PH 2019-06-09 0123 K7YO CN85 WZ8T CN85
QSO: 432 PH 2019-06-09 0126 K7YO CN85 WZ8T CN85
QSO: 432 PH 2019-06-09 0126 K7YO CN85 W7BO CN85
QSO: 50 PH 2019-06-09 0128 K7YO CN85 W7BO CN85
QSO: 50 PH 2019-06-09 0138 K7YO CN85 K7JX CN87
QSO: 222 PH 2019-06-09 0141 K7YO CN85 N7TSI CN86
QSO: 144 PH 2019-06-09 0143 K7YO CN85 W7FI CN87
QSO: 222 PH 2019-06-09 0145 K7YO CN85 KE7SW CN87
QSO: 144 PH 2019-06-09 0149 K7YO CN85 KE7MSU/R CN86
QSO: 50 PH 2019-06-09 0157 K7YO CN85 K7SS CN87
QSO: 144 PH 2019-06-09 0207 K7YO CN85 K7RWT CN85
QSO: 144 PH 2019-06-09 0211 K7YO CN85 K7JX CN87
QSO: 144 PH 2019-06-09 0214 K7YO CN85 WB7AEA CN85
QSO: 222 CW 2019-06-09 0219 K7YO CN85 KD7UO CN97
QSO: 222 CW 2019-06-09 0220 K7YO CN85 W7YOZ CN87
QSO: 222 CW 2019-06-09 0222 K7YO CN85 K7ND CN87
QSO: 144 PH 2019-06-09 0226 K7YO CN85 AC7SG/R CN85
QSO: 222 FM 2019-06-09 0235 K7YO CN85 K7ALO CN85
QSO: 222 FM 2019-06-09 0235 K7YO CN85 K7YDL CN85
QSO: 50 PH 2019-06-09 0239 K7YO CN85 W6ABM CN85
QSO: 50 PH 2019-06-09 0240 K7YO CN85 KE7ZAC CN85
QSO: 50 PH 2019-06-09 0240 K7YO CN85 AG7FE CN85
QSO: 144 FM 2019-06-09 0244 K7YO CN85 AG7FE CN85
QSO: 144 FM 2019-06-09 0244 K7YO CN85 AF7MD CN85
QSO: 50 PH 2019-06-09 0250 K7YO CN85 N7PJT CN85
QSO: 50 PH 2019-06-09 0250 K7YO CN85 WQ3U CN85
QSO: 50 PH 2019-06-09 0251 K7YO CN85 AF7MD CN85
QSO: 222 FM 2019-06-09 0253 K7YO CN85 WQ3U CN85
QSO: 222 FM 2019-06-09 0255 K7YO CN85 N3EG CN86
QSO: 222 FM 2019-06-09 0256 K7YO CN85 AC7SG/R CN85
QSO: 222 FM 2019-06-09 0256 K7YO CN85 K7ATN CN85
QSO: 144 PH 2019-06-09 0257 K7YO CN85 K7ATN CN85
QSO: 432 PH 2019-06-09 0259 K7YO CN85 K7ATN CN85
QSO: 144 PH 2019-06-09 0345 K7YO CN85 K7VIT CN85
QSO: 222 PH 2019-06-09 0349 K7YO CN85 W7GLF CN97
QSO: 222 PH 2019-06-09 0352 K7YO CN85 W7EW CN84
QSO: 144 PH 2019-06-09 0409 K7YO CN85 K7BDB/R CN96
QSO: 144 PH 2019-06-09 0411 K7YO CN85 KE7MSU/R CN85
QSO: 432 PH 2019-06-09 0439 K7YO CN85 WB7AEA CN85
QSO: 144 PH 2019-06-09 0515 K7YO CN85 N7BUS CN96
