START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EA PSK63 Contest
CALLSIGN: M0SHK
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: M0SHK
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EA PSK63 Contest URE/EAPSK63/2015.
QSO: 21071 PM 2015-03-14 1603 M0SHK         599 001 YO5NY         599 002
QSO: 21080 RY 2015-03-14 1604 M0SHK         599 002 UA3XO         599 002
QSO: 21000 PM 2015-03-14 1605 M0SHK         599 003 R2EA          599 004
QSO: 21000 PM 2015-03-14 1607 M0SHK         599 004 LY2EW         599 002
QSO: 21071 PM 2015-03-14 1607 M0SHK         599 005 RA1ALC        599 008
QSO: 21071 PM 2015-03-14 1611 M0SHK         599 006 UT6HX         599 009
QSO: 21071 PM 2015-03-14 1616 M0SHK         599 007 EU2TT         599 004
QSO: 21071 PM 2015-03-14 1616 M0SHK         599 008 UR5FBM        599 011
QSO: 21072 PS 2015-03-14 1625 M0SHK         599 010 EA7TB         599 MA
QSO: 21071 RY 2015-03-14 1627 M0SHK         599 011 EA4EQD        599 M
QSO: 21073 PS 2015-03-14 1638 M0SHK         599 0012 OH3FM         599 0021
QSO: 21072 PS 2015-03-14 1640 M0SHK         599 013 EC5JC         599 A
QSO: 21073 PM 2015-03-14 1641 M0SHK         599 014 OM7OM         599 008
QSO: 21073 PM 2015-03-14 1643 M0SHK         599 015 SP8QC         599 033
QSO: 21074 PS 2015-03-14 1645 M0SHK         599 0016 OH3OJ         599 0018
QSO: 21073 PM 2015-03-14 1646 M0SHK         599 017 YO4CVV        599 018
QSO: 21071 PS 2015-03-14 1653 M0SHK         599 0019 UT5UDX        599 0009
QSO: 21073 RY 2015-03-14 1653 M0SHK         599 020 SQ7B          599 032
QSO: 21073 PM 2015-03-14 1654 M0SHK         599 021 RA3GZ         599 030
QSO: 21073 PM 2015-03-14 1655 M0SHK         599 022 OH2MQ         599 041
QSO: 21073 PM 2015-03-14 1656 M0SHK         599 023 EA5JC         599 V
QSO: 21073 PS 2015-03-14 1826 M0SHK         599 0025 R7AB          599 0130
QSO: 14072 PS 2015-03-14 1840 M0SHK         599 0026 EA3EZD        599 B
QSO: 14070 PS 2015-03-14 1841 M0SHK         599 0027 EA2GR         599 Z
QSO:  3582 PS 2015-03-14 2249 M0SHK         599 0027 GI4JTF        599 0088
QSO:  3582 RY 2015-03-14 2251 M0SHK         599 028 DX SP1F          599 223 DX
QSO:  3500 PS 2015-03-14 2252 M0SHK         599 030 OK1FHI        599 133
QSO:  3583 PS 2015-03-14 2252 M0SHK         599 0029 ON6NL         599 0352
QSO:  3581 RY 2015-03-14 2254 M0SHK         599 032 YO5BYV        599 181
QSO:  3582 PM 2015-03-14 2254 M0SHK         599 031 F5RD          599 218
QSO:  3583 PS 2015-03-14 2257 M0SHK         599 0034 SK6QA         599 0001
QSO:  3500 PK 2015-03-14 2305 M0SHK         599 035 RD3ZQ         599 224
QSO: 21000 PS 2015-03-15 0749 M0SHK         599 036 EA7IZZ        599 CA
END-OF-LOG:
