START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EA PSK63 Contest
CALLSIGN: IZ7XIB
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: IZ7XIB
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EA PSK63 Contest URE/EAPSK63/2015.
QSO: 28122 PS 2015-03-14 1718 IZ7XIB        599 0001 EA1BAF        599 OU
QSO: 28123 PS 2015-03-14 1720 IZ7XIB        599 0002 GI4JTF        599 0013
QSO: 28124 PS 2015-03-14 1721 IZ7XIB        599 0002 ED1B          599 O
QSO: 28123 PS 2015-03-14 1722 IZ7XIB        599 0002 KD2HXI        599 0015
QSO: 21072 PM 2015-03-14 1728 IZ7XIB        599 003 SP4CJA        599 064
QSO: 21070 PS 2015-03-14 1730 IZ7XIB        599 001 EB1CAR        599 O
QSO: 21072 PM 2015-03-14 1731 IZ7XIB        599 002 SQ1EIC        599 022
QSO: 21071 PS 2015-03-14 1734 IZ7XIB        599 0002 G4OGB         599 0042
QSO: 21069 RY 2015-03-14 1740 IZ7XIB        599 005 EA5RW         599 V
QSO: 21070 PS 2015-03-14 1741 IZ7XIB        599 0006 ON6NL         599 0080
QSO: 21069 PS 2015-03-14 1742 IZ7XIB        599 0007 EA2ASB        599 BI
QSO:  7000 PS 2015-03-14 2258 IZ7XIB        599 010 EA1AOH        599 LO
QSO:  7039 PM 2015-03-14 2258 IZ7XIB        599 009 DL7UXG        599 229
QSO:  7040 PM 2015-03-14 2258 IZ7XIB        599 008 UR5FBM        599 204
QSO:  7051 PS 2015-03-14 2300 IZ7XIB        599 0011 LY2PAD        599 0131
QSO:  7000 PM 2015-03-14 2303 IZ7XIB        599 013 DK3PM         599 056
QSO:  7040 PS 2015-03-14 2303 IZ7XIB        599 0012 UT5UDX        599 0324
QSO:  7041 PM 2015-03-14 2305 IZ7XIB        599 014 SQ1EIC        599 091
QSO:  7041 RY 2015-03-14 2307 IZ7XIB        599 015 EA2XR         599 BI
QSO:  7041 RY 2015-03-14 2307 IZ7XIB        599 016 DX SP1F          599 230 DX
QSO:  7000 PS 2015-03-14 2308 IZ7XIB        599 017 EA4FYX        599 M
QSO:  7000 PS 2015-03-14 2309 IZ7XIB        599 018 EA6ZS         599 IB
QSO:  7041 RY 2015-03-14 2310 IZ7XIB        599 024 EA5RW         599 V
QSO:  7040 RY 2015-03-14 2312 IZ7XIB        599 025 EA3HKA        599 B
QSO:  7049 RY 2015-03-14 2347 IZ7XIB        599 028 LA5LJA        599 207
QSO:  7038 PM 2015-03-14 2348 IZ7XIB        599 027 RU6CH         599 227
QSO:  7045 RY 2015-03-14 2349 IZ7XIB        599 031 CT2FPE        599 055
QSO:  7044 PS 2015-03-14 2350 IZ7XIB        599 0029 OK1SI         599 0109
QSO:  7000 PS 2015-03-14 2351 IZ7XIB        599 030 EA7ITM        599 J
QSO:  7000 PM 2015-03-14 2354 IZ7XIB        599 032 EW8OF         599 164
QSO:  7044 RY 2015-03-14 2355 IZ7XIB        599 033 EA1SB         599 LE
QSO:  7000 PK 2015-03-14 2356 IZ7XIB        599 034 RD3ZQ         599 241
QSO: 21071 PS 2015-03-15 1215 IZ7XIB        599 035 UT3RS         599 098
QSO: 21071 RY 2015-03-15 1217 IZ7XIB        599 036 EA1GHH        599 112
QSO: 21071 PS 2015-03-15 1218 IZ7XIB        599 0037 F5RPN         599 0098
QSO: 21071 PM 2015-03-15 1221 IZ7XIB        599 039 UR5FBM        599 436
QSO: 21070 RY 2015-03-15 1225 IZ7XIB        599 041 UT3QD         599 158
QSO: 21080 RY 2015-03-15 1227 IZ7XIB        599 042 US5LO         599 084
QSO: 21071 PM 2015-03-15 1229 IZ7XIB        599 043 RA1ALC        599 625
QSO: 21083 RY 2015-03-15 1231 IZ7XIB        599 045 LA5LJA        599 388
QSO: 21000 PS 2015-03-15 1232 IZ7XIB        599 044 EA4CQX        599 M
QSO: 21071 PS 2015-03-15 1236 IZ7XIB        599 0046 EB5CUZ        599 CS
QSO: 21068 PS 2015-03-15 1240 IZ7XIB        599 049 SP3NYR        599 072
QSO: 21080 PS 2015-03-15 1329 IZ7XIB        599 050 US6CQ         599 353
QSO: 21071 PM 2015-03-15 1340 IZ7XIB        599 051 UN7GDQ        599 248
QSO: 21071 PS 2015-03-15 1341 IZ7XIB        599 0052 PC4H          599 0116
QSO: 21070 PM 2015-03-15 1344 IZ7XIB        599 053 EW8OM         599 313
END-OF-LOG:
