START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EA PSK63 Contest
CALLSIGN: OU1E
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OU1E
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EA PSK63 Contest URE/EAPSK63/2015.
QSO: 28000 PS 2015-03-14 1639 OU1E          599 001 EA5DCL        599 MU
QSO: 28122 PS 2015-03-14 1640 OU1E          599 002 EC5JC         599 A
QSO: 28122 PM 2015-03-14 1642 OU1E          599 003 EA8TC         599 TF
QSO: 21075 PM 2015-03-14 1643 OU1E          599 004 UX7QV         599 024
QSO: 21076 PS 2015-03-14 1644 OU1E          599 0005 R7AB          599 0043
QSO: 21072 PS 2015-03-14 1646 OU1E          599 0006 EA3XP         599 B
QSO: 21072 PS 2015-03-14 1647 OU1E          599 008 EC5JC         599 A
QSO: 21072 PS 2015-03-14 1647 OU1E          599 009 RA9AU         599 027
QSO: 21075 PS 2015-03-14 1647 OU1E          599 0007 UA6CE         599 0023
QSO: 21075 PM 2015-03-14 1851 OU1E          599 010 EA8TC         599 TF
QSO: 21000 PS 2015-03-14 1857 OU1E          599 0011 EA8CSG        599 TF
QSO: 21070 PS 2015-03-14 1901 OU1E          599 0012 CO2WL         599 0054
QSO: 21072 PM 2015-03-14 1903 OU1E          599 0013 CO2QM         599 093
QSO: 14076 PM 2015-03-14 1907 OU1E          599 014 RT3P          599 158
QSO: 14071 PS 2015-03-14 1909 OU1E          599 015 EA1AUS        599 SA
QSO: 14073 RY 2015-03-14 1910 OU1E          599 016 EB3EFU        599 GI
QSO: 14072 RY 2015-03-14 1913 OU1E          599 0017 EA3EJJ        599 B
QSO: 14073 PK 2015-03-14 1913 OU1E          599 001 EA4URE        599 HQ
QSO: 14072 PS 2015-03-14 1914 OU1E          599 0018 EA3KU         599 T
QSO: 14076 RY 2015-03-14 1915 OU1E          599 0019 US0MS         599 091
QSO: 14073 PM 2015-03-14 1916 OU1E          599 020 EA2KK         599 BI
QSO: 14075 PM 2015-03-14 1917 OU1E          599 0021 EA3NN         599 T
QSO: 14075 PS 2015-03-14 1919 OU1E          599 0022 EB1BCG        599 SO
QSO: 14073 PS 2015-03-14 1940 OU1E          599 0023 EA7ZY         599 H
QSO: 14072 PS 2015-03-14 1941 OU1E          599 0023 EA5HUS        599 V
QSO: 14072 PS 2015-03-14 1942 OU1E          599 0024 EA1BAF        599 OU
QSO: 14074 PS 2015-03-14 1944 OU1E          599 0026 ED1B          599 O
QSO: 14076 PM 2015-03-14 1944 OU1E          599 025 EA8TC         599 TF
QSO: 14070 PS 2015-03-14 1946 OU1E          599 0027 EB5CUZ        599 CS
QSO: 14072 PM 2015-03-14 1946 OU1E          599 0028 EA1IPH        599 BU
QSO: 14073 PS 2015-03-14 1947 OU1E          599 0029 EC7AT         599 AL
QSO: 14000 PS 2015-03-14 1948 OU1E          599 0030 ED4R          599 M
QSO: 14071 PS 2015-03-14 1948 OU1E          599 031 EC5JC         599 A
QSO: 14072 PM 2015-03-14 2105 OU1E          599 032 EA7HY         599 CA
QSO: 14000 PS 2015-03-14 2108 OU1E          599 0033 EA4CRP        599 BA
QSO: 14072 RY 2015-03-14 2111 OU1E          599 034 NO4Y          599 083
QSO: 14000 P63 2015-03-14 2113 OU1E          599 0035 KD5J          599 0059
QSO: 14070 PS 2015-03-14 2119 OU1E          599 001 KA1YQC        599 003
QSO: 14070 PS 2015-03-14 2119 OU1E          599 0037 N3UA          599 0124
QSO:  7046 PM 2015-03-14 2122 OU1E          599 040 UA3PI         599 182
QSO:  7047 PM 2015-03-14 2122 OU1E          599 0039 EA2BER        599 BI
QSO:  7039 RY 2015-03-14 2124 OU1E          599 041 EA7AZA        599 CA
QSO:  7045 PM 2015-03-14 2125 OU1E          599 041 RT3P          599 275
QSO:  7042 PS 2015-03-14 2127 OU1E          599 0042 UT5UDX        599 0259
QSO:  7046 PS 2015-03-14 2136 OU1E          599 0043 ED3D          599 GI
QSO:  7040 RY 2015-03-14 2137 OU1E          599 044 EA3HKA        599 B
QSO:  7048 RY 2015-03-14 2139 OU1E          599 045 EF3C          599 B
QSO:  7040 PM 2015-03-14 2141 OU1E          599 046 RU6CH         599 164
QSO:  7048 PM 2015-03-14 2142 OU1E          599 047 IQ2CU         599 175
QSO:  7000 PS 2015-03-14 2143 OU1E          599 048 EA1SI         599 O
QSO:  7049 PS 2015-03-14 2143 OU1E          599 0049 EE5H          599 V
QSO:  7050 RY 2015-03-14 2144 OU1E          599 050 F1RCH         599 192
QSO:  7000 PS 2015-03-14 2146 OU1E          599 051 EC5AEZ        599 V
QSO:  7038 PS 2015-03-14 2147 OU1E          599 052 EA7IXG        599 MA
QSO:  7040 RY 2015-03-14 2153 OU1E          599 054 YT5W          599 164
QSO:  7041 RY 2015-03-14 2154 OU1E          599 055 EA3GBA        599 B
QSO:  7044 PS 2015-03-14 2155 OU1E          599 056 EA1AR         599 AV
QSO: 21074 PM 2015-03-15 0711 OU1E          599 057 UN7GDQ        599 102
QSO: 21074 RY 2015-03-15 0715 OU1E          599 058 EA4EQD        599 M
QSO: 14073 PM 2015-03-15 0720 OU1E          599 059 R3PV          599 208
QSO: 14072 PS 2015-03-15 0721 OU1E          599 060 EA4GJJ        599 GU
QSO: 14075 PS 2015-03-15 0722 OU1E          599 0061 9A/R3FC       599 0077
QSO: 14074 PK 2015-03-15 0723 OU1E          599 063 HG8C          599 027
QSO: 14074 PM 2015-03-15 0723 OU1E          599 062 UY5IC         599 163
