START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EA PSK63 Contest
CALLSIGN: EA2EA
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: EA2EA
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EA PSK63 Contest URE/EAPSK63/2015.
QSO:  7038 RY 2015-03-14 1601 EA2EA         599 SS EA3GBA        599 B
QSO:  7000 PS 2015-03-14 1619 EA2EA         599 SS EC5AEZ        599 V
QSO:  7040 PS 2015-03-14 1622 EA2EA         599 SS ED1B          599 O
QSO:  7000 PS 2015-03-14 1629 EA2EA         599 SS EA5DLP        599 CS
QSO:  7039 PS 2015-03-14 1630 EA2EA         599 SS EA3JW         599 B
QSO:  7042 PM 2015-03-14 1633 EA2EA         599 SS EA2KK         599 BI
QSO:  7000 PS 2015-03-14 1635 EA2EA         599 SS EB4ERS        599 M
QSO:  7036 PS 2015-03-14 1639 EA2EA         599 SS EC1CTV        599 LU
QSO:  7041 RY 2015-03-14 1645 EA2EA         599 SS EA1MI         599 SG
QSO: 14070 RY 2015-03-14 1659 EA2EA         599 SS SP4TXI        599 048
QSO: 14069 PM 2015-03-14 1705 EA2EA         599 SS YU7AU         599 040
QSO: 14073 PS 2015-03-14 1709 EA2EA         599 SS IW3GST        599 0026
QSO: 21079 PM 2015-03-14 1714 EA2EA         599 SS SP3SLO        599 029
QSO: 21073 PM 2015-03-14 1719 EA2EA         599 SS OM7OM         599 029
QSO: 28071 PS 2015-03-14 1723 EA2EA         599 SS US6IQ         599 0025
QSO:  7039 RY 2015-03-14 1731 EA2EA         599 SS EA1LN         599 O
QSO:  7000 PS 2015-03-14 1734 EA2EA         599 SS EA4CRP        599 BA
QSO:  7040 RY 2015-03-14 1739 EA2EA         599 SS EA5GA         599 V
QSO:  7000 PS 2015-03-14 1742 EA2EA         599 SS EA5ERA        599 V
QSO:  7000 PM 2015-03-14 2312 EA2EA         599 BI YU7AOP        599 163
QSO: 14072 PM 2015-03-14 2321 EA2EA         599 SS A61DJ         599 181
QSO: 14000 PS 2015-03-14 2327 EA2EA         599 M YV5AAX        599 0134
QSO:  7040 PM 2015-03-14 2337 EA2EA         599 SS IQ2CJ         599 0183
QSO:  7040 RY 2015-03-14 2339 EA2EA         599 SN YT5W          599 212
QSO:  7041 PS 2015-03-14 2340 EA2EA         599 SS SV1JG         599 0037
QSO:  7041 PS 2015-03-14 2342 EA2EA         599 SS UA6CE         599 0337
QSO:  7042 PS 2015-03-14 2344 EA2EA         599 SS EA8AQV        599 GC
QSO:  7044 PS 2015-03-14 2349 EA2EA         599 SS PI4CG         599 0343
QSO:  7045 RY 2015-03-14 2349 EA2EA         599 SS DG7EKJ        599 171
END-OF-LOG:
