START-OF-LOG: 3.0
LOCATION: CT
CALLSIGN: WW1MM
CLUB: YANKEE CLIPPER CONTEST CLUB
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 80M
CATEGORY-MODE: RTTY
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 167000
OPERATORS: N1EN
SOAPBOX: There is a reason you don't find many 80m single-band low power
SOAPBOX: entries in a RTTY contest.  It's a lesson in humility!     (Records
SOAPBOX: from playing around on other bands included for completeness sake.
SOAPBOX: Count only the 80m lines.)
NAME: Michael Adams
CREATED-BY: N1MM Logger V13.9.1
QSO:  3583 RY 2013-09-28 0005 WW1MM         599 05 CT  W4PK          599 05 VA
QSO:  3585 RY 2013-09-28 0006 WW1MM         599 05 CT  KA4RRU        599 05 VA
QSO: 14076 RY 2013-09-28 0015 WW1MM         599 05 CT  AY8A          599 13 DX
QSO: 14078 RY 2013-09-28 0016 WW1MM         599 05 CT  W7PU          599 03 WA
QSO: 14121 RY 2013-09-28 0025 WW1MM         599 05 CT  WG0M          599 04 MN
QSO: 14118 RY 2013-09-28 0026 WW1MM         599 05 CT  ZZ2T          599 11 DX
QSO: 14117 RY 2013-09-28 0027 WW1MM         599 05 CT  VK6IR         599 29 DX
QSO: 14115 RY 2013-09-28 0029 WW1MM         599 05 CT  VE6BMX        599 04 AB
QSO: 14114 RY 2013-09-28 0030 WW1MM         599 05 CT  N6AR          599 05 FL
QSO: 14112 RY 2013-09-28 0036 WW1MM         599 05 CT  RD0A          599 18 DX
QSO: 14111 RY 2013-09-28 0037 WW1MM         599 05 CT  WO4D          599 05 FL
QSO: 14108 RY 2013-09-28 0040 WW1MM         599 05 CT  PY2NY         599 11 DX
QSO: 14108 RY 2013-09-28 0040 WW1MM         599 05 CT  FG5LA         599 08 DX
QSO:  7033 RY 2013-09-28 0041 WW1MM         599 05 CT  W1UE          599 05 MA
QSO:  7035 RY 2013-09-28 0051 WW1MM         599 05 CT  HA30S         599 15 DX
QSO: 14106 RY 2013-09-28 0054 WW1MM         599 05 CT  N0BK          599 04 MN
QSO: 14105 RY 2013-09-28 0055 WW1MM         599 05 CT  VE6WQ         599 04 AB
QSO:  7036 RY 2013-09-28 0058 WW1MM         599 05 CT  LZ5R          599 20 DX
QSO: 14104 RY 2013-09-28 0100 WW1MM         599 05 CT  YW2LV         599 09 DX
QSO:  7036 RY 2013-09-28 0101 WW1MM         599 05 CT  HG7T          599 15 DX
QSO: 14104 RY 2013-09-28 0102 WW1MM         599 05 CT  EA9LZ         599 33 DX
QSO:  7038 RY 2013-09-28 0107 WW1MM         599 05 CT  9A1A          599 15 DX
QSO: 14101 RY 2013-09-28 0109 WW1MM         599 05 CT  AL9A          599 01 DX
QSO:  7040 RY 2013-09-28 0110 WW1MM         599 05 CT  W4GKM         599 04 TN
QSO:  7042 RY 2013-09-28 0112 WW1MM         599 05 CT  9A5V          599 15 DX
QSO:  7042 RY 2013-09-28 0115 WW1MM         599 05 CT  UW0K          599 16 DX
QSO:  7043 RY 2013-09-28 0117 WW1MM         599 05 CT  ED1R          599 14 DX
QSO:  7043 RY 2013-09-28 0118 WW1MM         599 05 CT  UT2II         599 16 DX
QSO:  7044 RY 2013-09-28 0121 WW1MM         599 05 CT  LX7I          599 14 DX
QSO: 14100 RY 2013-09-28 0122 WW1MM         599 05 CT  VE7ACN        599 03 BC
QSO: 14100 RY 2013-09-28 0123 WW1MM         599 05 CT  ED1R          599 14 DX
QSO:  7045 RY 2013-09-28 0124 WW1MM         599 05 CT  DR5N          599 14 DX
QSO: 14099 RY 2013-09-28 0126 WW1MM         599 05 CT  HK1NA         599 09 DX
QSO: 14099 RY 2013-09-28 0128 WW1MM         599 05 CT  VE7CC         599 03 BC
QSO:  7045 RY 2013-09-28 0129 WW1MM         599 05 CT  NR4M          599 05 VA
QSO:  3596 RY 2013-09-28 0132 WW1MM         599 05 CT  OL9A          599 15 DX
QSO:  3595 RY 2013-09-28 0133 WW1MM         599 05 CT  OK1KSL        599 15 DX
QSO:  7049 RY 2013-09-28 0143 WW1MM         599 05 CT  IN3QBR        599 15 DX
QSO:  7054 RY 2013-09-28 0153 WW1MM         599 05 CT  3Z2X          599 15 DX
QSO:  7057 RY 2013-09-28 0156 WW1MM         599 05 CT  WA7NB         599 03 AZ
QSO: 14096 RY 2013-09-28 0202 WW1MM         599 05 CT  IQ1RY         599 15 DX
QSO:  7060 RY 2013-09-28 0204 WW1MM         599 05 CT  DJ6QT         599 14 DX
QSO:  3598 RY 2013-09-28 0209 WW1MM         599 05 CT  F5VKT         599 14 DX
QSO:  3599 RY 2013-09-28 0211 WW1MM         599 05 CT  W1UE          599 05 MA
QSO:  3595 RY 2013-09-28 0214 WW1MM         599 05 CT  DQ4W          599 14 DX
QSO:  3589 RY 2013-09-28 0215 WW1MM         599 05 CT  F8KGH         599 14 DX
QSO:  3588 RY 2013-09-28 0216 WW1MM         599 05 CT  NR4M          599 05 VA
QSO:  3587 RY 2013-09-28 0217 WW1MM         599 05 CT  EA8MT         599 33 DX
QSO:  3586 RY 2013-09-28 0218 WW1MM         599 05 CT  HK1NA         599 09 DX
QSO:  3583 RY 2013-09-28 0221 WW1MM         599 05 CT  K4VV          599 05 VA
QSO:  3580 RY 2013-09-28 0224 WW1MM         599 05 CT  9A1A          599 15 DX
QSO: 14080 RY 2013-09-28 0227 WW1MM         599 05 CT  RK9UC         599 18 DX
QSO: 14088 RY 2013-09-28 0231 WW1MM         599 05 CT  W6SX          599 03 CA
QSO: 14090 RY 2013-09-28 0232 WW1MM         599 05 CT  RW0A          599 18 DX
QSO: 14097 RY 2013-09-28 0238 WW1MM         599 05 CT  R7DX          599 16 DX
QSO: 14108 RY 2013-09-28 0247 WW1MM         599 05 CT  UC0A          599 18 DX
QSO: 14111 RY 2013-09-28 0248 WW1MM         599 05 CT  TF2R          599 40 DX
QSO: 14112 RY 2013-09-28 0250 WW1MM         599 05 CT  UN7JX         599 17 DX
QSO: 14111 RY 2013-09-28 0321 WW1MM         599 05 CT  ZL1G          599 32 DX
QSO: 14101 RY 2013-09-28 0326 WW1MM         599 05 CT  ZL3X          599 32 DX
QSO: 14085 RY 2013-09-28 0338 WW1MM         599 05 CT  VE5RI         599 04 SK
