START-OF-LOG: 3.0
LOCATION: WMA
CALLSIGN: K5ZD
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 2376150
CLUB: Yankee Clipper Contest Club
CONTEST: CQ-WW-RTTY
CREATED-BY: WriteLog V11.13J
NAME: Randy Thompson
OPERATORS: K5ZD
SOAPBOX: Best 60 minutes - 178 QSOs while running on 10 and 15m at same time.
SOAPBOX: Great conditions on all bands. Wish I could have spent more time.
QSO: 14093 RY 2013-09-28 0612 K5ZD          599     05 MA     IQ0EF         599 15     DX
QSO:  7030 RY 2013-09-28 0615 K5ZD          599     05 MA     KI1G          599 5      RI
QSO:  7031 RY 2013-09-28 0615 K5ZD          599     05 MA     VE5MX         599 4      SK
QSO:  7032 RY 2013-09-28 0617 K5ZD          599     05 MA     OH2K          599 15     DX
QSO:  7032 RY 2013-09-28 0618 K5ZD          599     05 MA     EF8U          599 33     DX
QSO:  7033 RY 2013-09-28 0618 K5ZD          599     05 MA     IK4QJF        599 15     DX
QSO:  7033 RY 2013-09-28 0620 K5ZD          599     05 MA     SN5E          599 15     DX
QSO:  7033 RY 2013-09-28 0621 K5ZD          599     05 MA     OK1WCF        599 15     DX
QSO:  7033 RY 2013-09-28 0621 K5ZD          599     05 MA     IT9KCD        599 15     DX
QSO:  3594 RY 2013-09-28 0622 K5ZD          599     05 MA     PI4CG         599 14     DX
QSO:  7033 RY 2013-09-28 0623 K5ZD          599     05 MA     DP7D          599 14     DX
QSO:  7033 RY 2013-09-28 0624 K5ZD          599     05 MA     N8BJQ         599 04     OH
QSO:  3591 RY 2013-09-28 0624 K5ZD          599     05 MA     CR3A          599 33     DX
QSO:  7033 RY 2013-09-28 0624 K5ZD          599     05 MA     DH0GHU        599 14     DX
QSO:  7033 RY 2013-09-28 0625 K5ZD          599     05 MA     RZ3AV         599 16     DX
