START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.243 [ESP]
CALLSIGN: EA5/YO9FXD
CONTEST: CQ-WW-RTTY
CLAIMED-SCORE: 4800
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-MODE: RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TIME: 24-HOURS
LOCATION: IM99WV
NAME: ANTAL, TIMAR  (Andy)
SOAPBOX:  TS130S,magnetic loop.   Thanks to all,it was funny, a new experience for me.
QSO: 21000 RY 2013-09-29 1031 EA5/YO9FXD    599 14 DX  EC8CQ         599 33 DX
QSO: 21000 RY 2013-09-29 1037 EA5/YO9FXD    599 14 DX  SQ1OD         599 15 DX
QSO: 21000 RY 2013-09-29 1039 EA5/YO9FXD    599 14 DX  UA5C          599 16 DX
QSO: 21000 RY 2013-09-29 1042 EA5/YO9FXD    599 14 DX  DL2OE         599 14 DX
QSO: 21000 RY 2013-09-29 1049 EA5/YO9FXD    599 14 DX  RN6BN         599 16 DX
QSO: 21000 RY 2013-09-29 1055 EA5/YO9FXD    599 14 DX  DL3KVR        599 14 DX
QSO: 21000 RY 2013-09-29 1059 EA5/YO9FXD    599 14 DX  SX2AG         599 20 DX
QSO: 21000 RY 2013-09-29 1106 EA5/YO9FXD    599 14 DX  SP8CUR        599 15 DX
QSO: 21000 RY 2013-09-29 1116 EA5/YO9FXD    599 14 DX  YR1A          599 20 DX
QSO: 21000 RY 2013-09-29 1131 EA5/YO9FXD    599 14 DX  SN8N          599 15 DX
QSO: 21000 RY 2013-09-29 1138 EA5/YO9FXD    599 14 DX  MM0AMW        599 14 DX
QSO: 21000 RY 2013-09-29 1147 EA5/YO9FXD    599 14 DX  SV2FLQ/A      599 20 DX
QSO: 21000 RY 2013-09-29 1152 EA5/YO9FXD    599 14 DX  W1UE          599 05 MA
