START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.10.0
CONTEST: CQ-WW-RTTY
LOCATION: DX
CALLSIGN: LZ2FQ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 488180
OPERATORS:
NAME: Tsvetomir Tishevishki
SOAPBOX: A lot of fun. I worked US and Canada all night at 20m.
QSO:  7000 RY 2013-09-28 0129 LZ2FQ         599 20 DX  DP9A          599 14 DX  0
QSO:  7000 RY 2013-09-28 0141 LZ2FQ         599 20 DX  RM4I          599 16 DX  0
QSO: 14000 RY 2013-09-28 0201 LZ2FQ         599 20 DX  HK1NA         599 09 DX  0
QSO: 14000 RY 2013-09-28 0201 LZ2FQ         599 20 DX  RT9S          599 16 DX  0
QSO: 14000 RY 2013-09-28 0208 LZ2FQ         599 20 DX  UN6P          599 17 DX  0
QSO: 14000 RY 2013-09-28 0214 LZ2FQ         599 20 DX  RM4I          599 16 DX  0
QSO: 14000 RY 2013-09-28 0216 LZ2FQ         599 20 DX  RD9SA         599 16 DX  0
QSO: 14000 RY 2013-09-28 0218 LZ2FQ         599 20 DX  R4WAA         599 16 DX  0
QSO:  3500 RY 2013-09-28 0221 LZ2FQ         599 20 DX  SV1JG         599 20 DX  0
QSO:  3500 RY 2013-09-28 0226 LZ2FQ         599 20 DX  SP8K          599 15 DX  0
QSO:  3500 RY 2013-09-28 0227 LZ2FQ         599 20 DX  HG8C          599 15 DX  0
QSO:  3500 RY 2013-09-28 0234 LZ2FQ         599 20 DX  OK2SAR        599 15 DX  0
QSO:  3500 RY 2013-09-28 0240 LZ2FQ         599 20 DX  IZ6TSA        599 15 DX  0
QSO:  3500 RY 2013-09-28 0241 LZ2FQ         599 20 DX  OM3RRC        599 15 DX  0
QSO:  3500 RY 2013-09-28 0244 LZ2FQ         599 20 DX  OE6MDF        599 15 DX  0
QSO:  3500 RY 2013-09-28 0245 LZ2FQ         599 20 DX  SZ1A          599 20 DX  0
QSO:  3500 RY 2013-09-28 0246 LZ2FQ         599 20 DX  UX5IO         599 16 DX  0
QSO:  7000 RY 2013-09-28 0251 LZ2FQ         599 20 DX  OH8A          599 15 DX  0
QSO:  7000 RY 2013-09-28 0256 LZ2FQ         599 20 DX  PI4CG         599 14 DX  0
QSO:  7000 RY 2013-09-28 0259 LZ2FQ         599 20 DX  NR4M          599 05 VA  0
QSO:  7000 RY 2013-09-28 0300 LZ2FQ         599 20 DX  SE2I          599 14 DX  0
QSO:  7000 RY 2013-09-28 0301 LZ2FQ         599 20 DX  PI4Z          599 14 DX  0
QSO:  7000 RY 2013-09-28 0302 LZ2FQ         599 20 DX  AB0RX         599 04 MO  0
QSO:  7000 RY 2013-09-28 0306 LZ2FQ         599 20 DX  YL5T          599 15 DX  0
