START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.5.0
CONTEST: CQ-WW-RTTY
LOCATION: DX
CALLSIGN: EA9CD
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
CLAIMED-SCORE: 80325
OPERATORS:
NAME: Jose Antonio Mendez Rios
SOAPBOX: Of new working QRP, I really enjoyed the limitations of 10W, but well,
SOAPBOX: next year more .. 73 EA9CD
QSO: 21000 RY 2013-09-28 1756 EA9CD         599 33 DX  DF2TT         599 14 DX  0
QSO: 21090 RY 2013-09-28 1233 EA9CD         599 33 DX  UZ2M          599 16 DX  0
QSO: 21090 RY 2013-09-28 1234 EA9CD         599 33 DX  UX1LW         599 16 DX  0
QSO: 21090 RY 2013-09-28 1236 EA9CD         599 33 DX  IN3JI         599 15 DX  0
QSO: 21090 RY 2013-09-28 1238 EA9CD         599 33 DX  I4DZ          599 15 DX  0
QSO: 21090 RY 2013-09-28 1240 EA9CD         599 33 DX  DF2RG         599 14 DX  0
QSO: 21090 RY 2013-09-28 1241 EA9CD         599 33 DX  DK3FO         599 14 DX  0
QSO: 21090 RY 2013-09-28 1242 EA9CD         599 33 DX  HB9CYV        599 14 DX  0
QSO: 21090 RY 2013-09-28 1242 EA9CD         599 33 DX  EW7EW         599 16 DX  0
QSO: 21090 RY 2013-09-28 1245 EA9CD         599 33 DX  OE6MMF        599 15 DX  0
QSO: 21090 RY 2013-09-28 1246 EA9CD         599 33 DX  DF9GH         599 14 DX  0
QSO: 21090 RY 2013-09-28 1246 EA9CD         599 33 DX  S50XX         599 15 DX  0
QSO: 21090 RY 2013-09-28 1249 EA9CD         599 33 DX  S58AA         599 15 DX  0
QSO: 21090 RY 2013-09-28 1250 EA9CD         599 33 DX  A92GE         599 21 DX  0
QSO: 21090 RY 2013-09-28 1252 EA9CD         599 33 DX  9A1A          599 15 DX  0
QSO: 21090 RY 2013-09-28 1252 EA9CD         599 33 DX  PA3HGF        599 14 DX  0
QSO: 21090 RY 2013-09-28 1255 EA9CD         599 33 DX  DF5LR         599 14 DX  0
QSO: 21090 RY 2013-09-28 1255 EA9CD         599 33 DX  UR7IKJ        599 16 DX  0
QSO: 21090 RY 2013-09-28 1257 EA9CD         599 33 DX  ON3DI         599 14 DX  0
QSO: 21090 RY 2013-09-28 2206 EA9CD         599 33 DX  XR1Z          599 12 DX  0
QSO:  7040 RY 2013-09-28 2212 EA9CD         599 33 DX  DF8AE         599 14 DX  0
QSO:  7040 RY 2013-09-28 2214 EA9CD         599 33 DX  UZ2M          599 16 DX  0
QSO:  7040 RY 2013-09-28 2216 EA9CD         599 33 DX  UA9MA         599 17 DX  0
QSO:  7040 RY 2013-09-28 2219 EA9CD         599 33 DX  F5TVG/P       599 14 DX  0
QSO:  7040 RY 2013-09-28 2222 EA9CD         599 33 DX  K4FJ          599 05 VA  0
QSO:  7040 RY 2013-09-28 2223 EA9CD         599 33 DX  DF2SD         599 14 DX  0
QSO:  7040 RY 2013-09-28 2224 EA9CD         599 33 DX  G4DBW         599 14 DX  0
QSO:  7040 RY 2013-09-28 2225 EA9CD         599 33 DX  W4PK          599 05 VA  0
QSO:  7040 RY 2013-09-28 2229 EA9CD         599 33 DX  IK2REA        599 15 DX  0
QSO:  7040 RY 2013-09-28 2230 EA9CD         599 33 DX  GW4MVA        599 14 DX  0
QSO:  7040 RY 2013-09-28 2232 EA9CD         599 33 DX  HA2OS         599 15 DX  0
QSO:  7040 RY 2013-09-28 2237 EA9CD         599 33 DX  9A1A          599 15 DX  0
QSO:  7040 RY 2013-09-28 2238 EA9CD         599 33 DX  UY7MM         599 16 DX  0
QSO:  7040 RY 2013-09-28 2244 EA9CD         599 33 DX  VY2SS         599 05 PE  0
QSO:  7040 RY 2013-09-28 2246 EA9CD         599 33 DX  UT7E          599 16 DX  0
QSO:  7040 RY 2013-09-28 2251 EA9CD         599 33 DX  IW2MZX        599 15 DX  0
QSO:  7040 RY 2013-09-28 2253 EA9CD         599 33 DX  DF1LX         599 14 DX  0
QSO:  7040 RY 2013-09-28 2253 EA9CD         599 33 DX  DJ9KG         599 14 DX  0
QSO:  7040 RY 2013-09-28 2254 EA9CD         599 33 DX  OM5ZW         599 15 DX  0
QSO:  7040 RY 2013-09-28 2255 EA9CD         599 33 DX  DL7AU         599 14 DX  0
QSO:  7040 RY 2013-09-28 2255 EA9CD         599 33 DX  RG9A          599 17 DX  0
QSO:  7040 RY 2013-09-28 2256 EA9CD         599 33 DX  SV5DKL        599 20 DX  0
QSO:  7040 RY 2013-09-28 2256 EA9CD         599 33 DX  A65BP         599 21 DX  0
QSO:  7040 RY 2013-09-28 2257 EA9CD         599 33 DX  YR1A          599 20 DX  0
QSO:  7040 RY 2013-09-28 2259 EA9CD         599 33 DX  HA30S         599 15 DX  0
QSO:  7040 RY 2013-09-28 2259 EA9CD         599 33 DX  EM0I          599 16 DX  0
QSO:  7040 RY 2013-09-28 2300 EA9CD         599 33 DX  EA7MK         599 14 DX  0
QSO:  7040 RY 2013-09-28 2301 EA9CD         599 33 DX  LX7I          599 14 DX  0
QSO:  7040 RY 2013-09-28 2302 EA9CD         599 33 DX  SM7BHM        599 14 DX  0
QSO:  7040 RY 2013-09-28 2305 EA9CD         599 33 DX  CR3A          599 33 DX  0
QSO:  7040 RY 2013-09-28 2305 EA9CD         599 33 DX  SP3GXH        599 15 DX  0
QSO:  7040 RY 2013-09-28 2306 EA9CD         599 33 DX  IK4TVP        599 15 DX  0
QSO:  7040 RY 2013-09-28 2307 EA9CD         599 33 DX  SJ2W          599 14 DX  0
QSO:  7040 RY 2013-09-28 2307 EA9CD         599 33 DX  G3P           599 14 DX  0
QSO:  7040 RY 2013-09-28 2308 EA9CD         599 33 DX  S50W          599 15 DX  0
QSO:  7040 RY 2013-09-28 2311 EA9CD         599 33 DX  SP5T          599 15 DX  0
QSO:  7040 RY 2013-09-28 2312 EA9CD         599 33 DX  IK2YSJ        599 15 DX  0
QSO:  7040 RY 2013-09-28 2313 EA9CD         599 33 DX  DK5DC         599 14 DX  0
QSO:  7040 RY 2013-09-28 2315 EA9CD         599 33 DX  IQ0EF         599 15 DX  0
QSO:  7040 RY 2013-09-28 2317 EA9CD         599 33 DX  DL2NOM        599 14 DX  0
QSO:  7040 RY 2013-09-28 2317 EA9CD         599 33 DX  UN6P          599 17 DX  0
QSO:  7040 RY 2013-09-28 2318 EA9CD         599 33 DX  DJ2RG         599 14 DX  0
QSO:  7040 RY 2013-09-28 2319 EA9CD         599 33 DX  IZ1PKV        599 15 DX  0
QSO:  7040 RY 2013-09-28 2320 EA9CD         599 33 DX  IW1PNJ        599 15 DX  0
QSO:  7040 RY 2013-09-28 2321 EA9CD         599 33 DX  RV1CC         599 16 DX  0
QSO:  7040 RY 2013-09-28 2324 EA9CD         599 33 DX  YO7CVL        599 20 DX  0
QSO:  7040 RY 2013-09-28 2324 EA9CD         599 33 DX  HA8BEH        599 15 DX  0
