START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.10.0
CONTEST: CQ-WW-RTTY
LOCATION: DX
CALLSIGN: G4IRN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 80M
CATEGORY-MODE: RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 2328
OPERATORS: G4IRN
CLUB: CHILTERN DX CLUB
NAME: John Warburton
SOAPBOX: I thought I'd have crack at th 80m QRP section to see what I could work.
SOAPBOX: Although it was hard going at times, it was actually a lot of fun! Thanks
SOAPBOX: to all those stations who persevered to get my call-sign. Running 5 watts
SOAPBOX: into a Butternut HF2V from a suburban QTH.
QSO:  7081 RY 2013-09-28 0740 G4IRN         599 14 DX  PJ4/G3TXF     599 09 DX  0
QSO:  7038 RY 2013-09-28 0752 G4IRN         599 14 DX  PI4ETL/P      599 14 DX  0
QSO:  7038 RY 2013-09-28 0753 G4IRN         599 14 DX  9A1A          599 15 DX  0
QSO:  7036 RY 2013-09-28 0754 G4IRN         599 14 DX  ES9C          599 15 DX  0
QSO:  7044 RY 2013-09-28 0755 G4IRN         599 14 DX  IZ3SQW        599 15 DX  0
QSO:  7054 RY 2013-09-28 0759 G4IRN         599 14 DX  W0LSD         599 04 CO  0
QSO:  7044 RY 2013-09-28 0822 G4IRN         599 14 DX  K1SFA         599 05 MA  0
QSO: 14091 RY 2013-09-28 0827 G4IRN         599 14 DX  RA9JB         599 17 DX  0
QSO: 14078 RY 2013-09-28 0830 G4IRN         599 14 DX  OH0V          599 15 DX  0
QSO: 14075 RY 2013-09-28 0832 G4IRN         599 14 DX  OM8LA         599 15 DX  0
QSO: 14076 RY 2013-09-28 0833 G4IRN         599 14 DX  IZ6TSA        599 15 DX  0
QSO: 21109 RY 2013-09-28 0837 G4IRN         599 14 DX  JA8KSF        599 25 DX  0
QSO: 21096 RY 2013-09-28 0840 G4IRN         599 14 DX  CT3FQ         599 33 DX  0
QSO: 21106 RY 2013-09-28 0841 G4IRN         599 14 DX  HZ1HN         599 21 DX  0
QSO: 21104 RY 2013-09-28 0843 G4IRN         599 14 DX  YO2RR         599 20 DX  0
QSO: 21103 RY 2013-09-28 0844 G4IRN         599 14 DX  RK3AW         599 16 DX  0
QSO: 14100 RY 2013-09-28 0846 G4IRN         599 14 DX  YL9T          599 15 DX  0
QSO: 28089 RY 2013-09-28 0850 G4IRN         599 14 DX  UX7QV         599 16 DX  0
QSO: 21108 RY 2013-09-28 0858 G4IRN         599 14 DX  ZL1BYZ        599 32 DX  0
QSO: 14090 RY 2013-09-28 0914 G4IRN         599 14 DX  RW0A          599 18 DX  0
QSO: 14086 RY 2013-09-28 0915 G4IRN         599 14 DX  IT9ZMX        599 15 DX  0
QSO: 14091 RY 2013-09-28 1125 G4IRN         599 14 DX  HK1NA         599 09 DX  0
QSO: 14075 RY 2013-09-28 1126 G4IRN         599 14 DX  P49X          599 09 DX  0
