START-OF-LOG: 3.0
LOCATION: ON
CALLSIGN: VA3SB
CLUB: Contest Club Ontario
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 69204
OPERATORS: VA3SB
SOAPBOX: Thanks for another great contest. Too bad I was not able to operate
SOAPBOX: longer. Conditions seemed very good on Saturday and Sunday afternoon.
SOAPBOX: I'll be back next year. Keep up the great work. Serge VA3SB
NAME: Serge
CREATED-BY: N1MM Logger V13.8.3
QSO: 14076 RY 2013-09-28 0021 VA3SB         599 04 ON  WN1G          599 04 AL
QSO: 14077 RY 2013-09-28 0023 VA3SB         599 04 ON  K5WP          599 04 AL
QSO: 14072 RY 2013-09-28 0026 VA3SB         599 04 ON  VE2GSO        599 02 QC
QSO: 14074 RY 2013-09-28 0027 VA3SB         599 04 ON  VE7ACN        599 03 BC
QSO: 14075 RY 2013-09-28 0027 VA3SB         599 04 ON  P49X          599 09 DX
QSO: 14079 RY 2013-09-28 0028 VA3SB         599 04 ON  W7RN          599 03 NV
QSO: 14083 RY 2013-09-28 0034 VA3SB         599 04 ON  W5LKB         599 04 TX
QSO: 14084 RY 2013-09-28 0035 VA3SB         599 04 ON  K7BTW         599 03 WA
QSO: 14089 RY 2013-09-28 0036 VA3SB         599 04 ON  W4BQF         599 05 GA
QSO: 14090 RY 2013-09-28 0037 VA3SB         599 04 ON  I4DZ          599 15 DX
QSO: 14091 RY 2013-09-28 0037 VA3SB         599 04 ON  AB5K          599 04 TX
QSO: 14091 RY 2013-09-28 0038 VA3SB         599 04 ON  W6SFK         599 03 CA
QSO: 14092 RY 2013-09-28 0041 VA3SB         599 04 ON  CR3A          599 33 DX
QSO: 14093 RY 2013-09-28 0045 VA3SB         599 04 ON  WA7NB         599 03 AZ
QSO: 21094 RY 2013-09-28 0057 VA3SB         599 04 ON  WA5ZUP        599 04 NM
QSO: 21089 RY 2013-09-28 0059 VA3SB         599 04 ON  R0FA          599 19 DX
QSO: 21117 RY 2013-09-28 0103 VA3SB         599 04 ON  W6AEA         599 03 WA
QSO: 14085 RY 2013-09-28 0108 VA3SB         599 04 ON  W7PU          599 03 WA
QSO: 14085 RY 2013-09-28 0109 VA3SB         599 04 ON  F4DXW         599 14 DX
QSO: 14093 RY 2013-09-28 0113 VA3SB         599 04 ON  9A1A          599 15 DX
QSO: 14094 RY 2013-09-28 0113 VA3SB         599 04 ON  CR2T          599 14 DX
