START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.243 [ESP]
CALLSIGN: EA5IIK
CONTEST: EA-CNCW
CLAIMED-SCORE: 0
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY: CHECKLOG
CATEGORY-POWER: 
NAME: ANTAL, TIMAR
SOAPBOX:  FT 757GX , 100w , Inv.Vee para 40m con acoplador.CHECK-LOG.
QSO:  7000 CW 2016-07-17 1137 EA5IIK        599 CS     EA5HM         599 V            
QSO:  7000 CW 2016-07-17 1139 EA5IIK        599 CS     EA5DIF        599 V            
QSO:  7000 CW 2016-07-17 1141 EA5IIK        599 CS     EA5QX         599 MU           
QSO:  7000 CW 2016-07-17 1142 EA5IIK        599 CS     EA5GIE        599 V            
QSO:  7000 CW 2016-07-17 1142 EA5IIK        599 CS     EA7CJN        599 J            
QSO:  7000 CW 2016-07-17 1143 EA5IIK        599 CS     EB5CS         599 CS           
QSO:  7000 CW 2016-07-17 1144 EA5IIK        599 CS     EA5SW         599 AB           
QSO:  7000 CW 2016-07-17 1145 EA5IIK        599 CS     EA3ERD        599 T            
QSO:  7000 CW 2016-07-17 1147 EA5IIK        599 CS     EA5FQF        599 A            
QSO:  7000 CW 2016-07-17 1148 EA5IIK        599 CS     EA3CV         599 B            
QSO:  7000 CW 2016-07-17 1151 EA5IIK        599 CS     EA2AAE        599 VI           
QSO:  7000 CW 2016-07-17 1152 EA5IIK        599 CS     EB3EKQ        599 B            
QSO:  7000 CW 2016-07-17 1154 EA5IIK        599 CS     EA1JK         599 S            
QSO:  7000 CW 2016-07-17 1155 EA5IIK        599 CS     EB5YF         599 A            
QSO:  7000 CW 2016-07-17 1155 EA5IIK        599 CS     EB1TR         599 O            
QSO:  7000 CW 2016-07-17 1156 EA5IIK        599 CS     EC7DTQ        599 MA           
QSO:  7000 CW 2016-07-17 1157 EA5IIK        599 CS     EA3KU         599 T            
QSO:  7000 CW 2016-07-17 1158 EA5IIK        599 CS     EA3PP         599 B            
QSO:  7000 CW 2016-07-17 1158 EA5IIK        599 CS     EA4UV         599 M            
QSO:  7000 CW 2016-07-17 1159 EA5IIK        599 CS     EA4AAK        599 M            
QSO:  7000 CW 2016-07-17 1159 EA5IIK        599 CS     EA5WU         599 CS           
QSO: 14000 CW 2016-07-17 1159 EA5IIK        599 CS     EA5WU         599 CS           
QSO: 21000 CW 2016-07-17 1200 EA5IIK        599 CS     EA5WU         599 CS           
QSO: 28000 CW 2016-07-17 1200 EA5IIK        599 CS     EA5WU         599 CS           
QSO:  3500 CW 2016-07-17 1247 EA5IIK        599 CS     EA5WU         599 CS           
QSO: 14000 CW 2016-07-17 1255 EA5IIK        599 CS     EA5FR         599 A            
QSO: 28000 CW 2016-07-17 1259 EA5IIK        599 CS     EA5FR         599 A            
QSO: 14000 CW 2016-07-17 1301 EA5IIK        599 CS     EA1FBU        599 PO           
QSO: 14000 CW 2016-07-17 1304 EA5IIK        599 CS     EA4WD         599 BA           
QSO: 14000 CW 2016-07-17 1307 EA5IIK        599 CS     EA7PP         599 SE           
QSO: 14000 CW 2016-07-17 1309 EA5IIK        599 CS     EC1KR         599 AV           
QSO: 14000 CW 2016-07-17 1309 EA5IIK        599 CS     EA7PP         599 SE           
QSO: 14000 CW 2016-07-17 1309 EA5IIK        599 CS     EA3NN         599 T            
QSO: 14000 CW 2016-07-17 1311 EA5IIK        599 CS     EA8AVK        599 GC           
QSO: 14000 CW 2016-07-17 1312 EA5IIK        599 CS     EA5KY         599 V            
QSO: 14000 CW 2016-07-17 1312 EA5IIK        599 CS     EC7ABV        599 CA           
QSO: 14000 CW 2016-07-17 1312 EA5IIK        599 CS     EA7BUU        599 SE           
QSO:  7000 CW 2016-07-17 1321 EA5IIK        599 CS     EA3AKA        599 T            
QSO:  7000 CW 2016-07-17 1322 EA5IIK        599 CS     EA1ARW        599 ZA           
QSO:  7000 CW 2016-07-17 1323 EA5IIK        599 CS     EA1FA         599 O            
QSO:  7000 CW 2016-07-17 1326 EA5IIK        599 CS     EA5FR         599 A            
QSO: 14000 CW 2016-07-17 1327 EA5IIK        599 CS     EA5FR         599 A            
QSO:  7000 CW 2016-07-17 1330 EA5IIK        599 CS     EA5VN         599 MU           
QSO:  7000 CW 2016-07-17 1331 EA5IIK        599 CS     EA3FZT        599 B            
QSO:  7000 CW 2016-07-17 1331 EA5IIK        599 CS     EA5AFP        599 V            
QSO:  7000 CW 2016-07-17 1333 EA5IIK        599 CS     EA5YU         599 MU           
QSO:  7000 CW 2016-07-17 1337 EA5IIK        599 CS     EC7AT         599 AL           
QSO:  7000 CW 2016-07-17 1337 EA5IIK        599 CS     EA2KV         599 Z            
QSO:  7000 CW 2016-07-17 1343 EA5IIK        599 CS     EA1FBN        599 PO           
QSO:  7000 CW 2016-07-17 1344 EA5IIK        599 CS     EA7CHO        599 J            
QSO:  7000 CW 2016-07-17 1346 EA5IIK        599 CS     EA4BL         599 BA           
QSO:  7000 CW 2016-07-17 1346 EA5IIK        599 CS     EA5BY         599 A            
QSO:  7000 CW 2016-07-17 1348 EA5IIK        599 CS     EA5FIV        599 A            
QSO:  7000 CW 2016-07-17 1349 EA5IIK        599 CS     EA7PP         599 SE           
QSO:  7000 CW 2016-07-17 1350 EA5IIK        599 CS     EC1KR         599 AV           
QSO:  7000 CW 2016-07-17 1351 EA5IIK        599 CS     EA5DNO        599 CS           
QSO:  7000 CW 2016-07-17 1351 EA5IIK        599 CS     EA5HT         599 MU           
QSO:  7000 CW 2016-07-17 1352 EA5IIK        599 CS     EA2DT         599 NA           
QSO:  7000 CW 2016-07-17 1352 EA5IIK        599 CS     EA5AE         599 AB           
QSO:  7000 CW 2016-07-17 1352 EA5IIK        599 CS     EA5BWR        599 A            
QSO:  7000 CW 2016-07-17 1353 EA5IIK        599 CS     EA5DM         599 A            
QSO:  7000 CW 2016-07-17 1353 EA5IIK        599 CS     EA5YI         599 V            
QSO:  7000 CW 2016-07-17 1353 EA5IIK        599 CS     EA5HM         599 V            
QSO:  7000 CW 2016-07-17 1355 EA5IIK        599 CS     EA4WD         599 BA           
QSO:  7000 CW 2016-07-17 1355 EA5IIK        599 CS     EA5KV         599 V            
QSO:  7000 CW 2016-07-17 1356 EA5IIK        599 CS     EA7BT         599 AL           
QSO:  7000 CW 2016-07-17 1356 EA5IIK        599 CS     EB7KA         599 AL           
QSO:  7000 CW 2016-07-17 1357 EA5IIK        599 CS     EA5GNR        599 V            
QSO:  7000 CW 2016-07-17 1359 EA5IIK        599 CS     EA5KY         599 V            
QSO:  7000 CW 2016-07-17 1150 EA5IIK        599 CS     EA2BVX        599 NA           
QSO:  7000 CW 2016-07-17 1150 EA5IIK        599 CS     EA3IN         599 B            
QSO:  7000 CW 2016-07-17 1149 EA5IIK        599 CS     EA7MT         599 GR           
QSO:  7000 CW 2016-07-17 1149 EA5IIK        599 CS     EA6SK         599 IB           
END-OF-LOG: 
