START-OF-LOG: 3.0
LOCATION: WI
CALLSIGN: W9VQ
CLUB: Society of Midwest Contesters
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: LOW
CATEGORY-STATION: PORTABLE
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 43092
OPERATORS: W9VQ
NAME: Norman Wald
CREATED-BY: N1MM Logger V14.3.1
SOAPBOX: portable in Lake Geneva, WI where there's no line noise!
QSO: 28352 PH 2014-03-29 1931 W9VQ          59  0001   WN6K          59  0611
QSO: 21285 PH 2014-03-29 1935 W9VQ          59  0002   CR6T          59  2097
QSO: 21214 PH 2014-03-29 1943 W9VQ          59  0003   VC6R          59  1403
QSO: 14169 PH 2014-03-29 1947 W9VQ          59  0004   KD4D          59  0414
QSO: 21427 PH 2014-03-29 1950 W9VQ          59  0005   N9TGR         59  0439
QSO:  7177 PH 2014-03-29 1952 W9VQ          59  0006   VY2MGY/3      59  0033
QSO:  7200 PH 2014-03-29 1956 W9VQ          59  0007   VA3ROC        59  0080
QSO:  7153 PH 2014-03-29 1958 W9VQ          59  0008   NN8UU         59  0108
QSO: 21428 PH 2014-03-29 2041 W9VQ          59  0009   IO5O          59  2279
QSO: 21436 PH 2014-03-29 2042 W9VQ          59  0010   OT5A          59  0864
QSO: 21442 PH 2014-03-29 2044 W9VQ          59  0011   RL3A          59  1527
QSO: 21444 PH 2014-03-29 2048 W9VQ          59  0012   SK3W          59  0767
QSO: 21441 PH 2014-03-29 2049 W9VQ          59  0013   LY7A          59  0826
QSO: 21430 PH 2014-03-29 2050 W9VQ          59  0014   E73M          59  1162
QSO: 21417 PH 2014-03-29 2051 W9VQ          59  0015   YL2BJ         59  0972
QSO: 21395 PH 2014-03-29 2055 W9VQ          59  0016   YU5R          59  1309
QSO: 21379 PH 2014-03-29 2055 W9VQ          59  0017   OM2VL         59  1675
QSO: 21377 PH 2014-03-29 2056 W9VQ          59  0018   SO2O          59  1510
QSO: 21374 PH 2014-03-29 2057 W9VQ          59  0019   DL0UM         59  1195
QSO: 21364 PH 2014-03-29 2058 W9VQ          59  0020   SP8R          59  2179
QSO: 21347 PH 2014-03-29 2058 W9VQ          59  0021   DL5AXX        59  0765
QSO: 21328 PH 2014-03-29 2100 W9VQ          59  0022   S54ZZ         59  1572
QSO: 21312 PH 2014-03-29 2101 W9VQ          59  0023   CR3A          59  1350
QSO: 21213 PH 2014-03-29 2105 W9VQ          59  0024   YU5A          59  1452
QSO: 21220 PH 2014-03-29 2107 W9VQ          59  0025   S55T          59  1767
QSO: 21225 PH 2014-03-29 2108 W9VQ          59  0026   IB9T          59  1205
QSO: 21222 PH 2014-03-29 2109 W9VQ          59  0027   OP4K          59  0464
QSO: 21407 PH 2014-03-29 2117 W9VQ          59  0028   KA3DRR        59  0221
QSO: 21404 PH 2014-03-29 2119 W9VQ          59  0029   SN8W          59  1076
QSO: 21425 PH 2014-03-29 2143 W9VQ          59  0030   DM0Y          59  1666
QSO: 21449 PH 2014-03-29 2144 W9VQ          59  0031   EC7DBO        59  1704
QSO: 21446 PH 2014-03-29 2146 W9VQ          59  0032   SN7O          59  0508
QSO: 21409 PH 2014-03-29 2148 W9VQ          59  0033   KL7RA         59  1933
QSO: 21405 PH 2014-03-29 2150 W9VQ          59  0034   CQ8X          59  2815
QSO: 21400 PH 2014-03-29 2151 W9VQ          59  0035   EB2AM         59  0959
QSO: 21398 PH 2014-03-29 2151 W9VQ          59  0036   9A5Y          59  2269
QSO: 21368 PH 2014-03-29 2155 W9VQ          59  0037   IR4M          59  2414
QSO: 21363 PH 2014-03-29 2155 W9VQ          59  0038   TM6M          59  3086
QSO: 21345 PH 2014-03-29 2157 W9VQ          59  0039   G6MC          59  0494
QSO: 21340 PH 2014-03-29 2158 W9VQ          59  0040   OL4A          59  1722
QSO: 21334 PH 2014-03-29 2201 W9VQ          59  0041   ES9C          59  2602
QSO: 21326 PH 2014-03-29 2202 W9VQ          59  0042   CT9DX         59  2941
QSO: 21315 PH 2014-03-29 2203 W9VQ          59  0043   VE7GL         59  1671
QSO: 21311 PH 2014-03-29 2204 W9VQ          59  0044   EE7Y          59  1188
QSO: 21304 PH 2014-03-29 2206 W9VQ          59  0045   E7A           59  2985
QSO: 21269 PH 2014-03-29 2208 W9VQ          59  0046   OQ5M          59  0783
QSO: 21266 PH 2014-03-29 2209 W9VQ          59  0047   DK1MM         59  1776
QSO: 21245 PH 2014-03-29 2212 W9VQ          59  0048   S56M          59  1478
QSO: 21239 PH 2014-03-29 2215 W9VQ          59  0049   IO4W          59  0931
QSO: 21224 PH 2014-03-29 2224 W9VQ          59  0050   YT8WW         59  0011
QSO: 21219 PH 2014-03-29 2225 W9VQ          59  0051   AK6W          59  1084
QSO: 21214 PH 2014-03-29 2227 W9VQ          59  0052   EB3CW         59  1252
QSO:  7227 PH 2014-03-29 2237 W9VQ          59  0053   KW3A          59  0144
QSO: 14178 PH 2014-03-29 2239 W9VQ          59  0054   LY7A          59  1559
QSO: 14215 PH 2014-03-29 2240 W9VQ          59  0055   C4A           59  0924
QSO: 14212 PH 2014-03-29 2352 W9VQ          59  0056   EC6AAE        59  1041
QSO: 21404 PH 2014-03-29 2354 W9VQ          59  0057   LP1H          59  1533
QSO: 21378 PH 2014-03-29 2355 W9VQ          59  0058   LT1F          59  2267
QSO: 21350 PH 2014-03-29 2357 W9VQ          59  0059   8P5A          59  3798
QSO: 21293 PH 2014-03-29 2359 W9VQ          59  0060   KM5VI         59  1152
QSO: 21246 PH 2014-03-30 0001 W9VQ          59  0061   WA7LT         59  0524
QSO: 21240 PH 2014-03-30 0002 W9VQ          59  0062   PX2F          59  1325
QSO: 21237 PH 2014-03-30 0002 W9VQ          59  0063   NR7ON         59  0479
QSO: 21411 PH 2014-03-30 0005 W9VQ          59  0064   WC6H          59  0781
QSO: 21418 PH 2014-03-30 0006 W9VQ          59  0065   SB3W          59  0964
QSO: 21440 PH 2014-03-30 0007 W9VQ          59  0066   9L1A          59  0431
QSO: 21439 PH 2014-03-30 0010 W9VQ          59  0067   RT0F          59  1616
QSO: 21393 PH 2014-03-30 0011 W9VQ          59  0068   NE5D          59  1389
QSO: 21375 PH 2014-03-30 0012 W9VQ          59  0069   AL1G          59  0765
QSO: 21330 PH 2014-03-30 0016 W9VQ          59  0070   P43A          59  1751
QSO: 21310 PH 2014-03-30 0017 W9VQ          59  0071   PJ2T          59  1615
QSO: 21305 PH 2014-03-30 0018 W9VQ          59  0072   XE2ST         59  0153
QSO: 21295 PH 2014-03-30 0020 W9VQ          59  0073   KA4SFD        59  0668
QSO: 28385 PH 2014-03-30 0024 W9VQ          59  0074   VB7R          59  1842
QSO: 28312 PH 2014-03-30 0026 W9VQ          59  0075   CO6LC         59  1112
QSO: 28401 PH 2014-03-30 0029 W9VQ          59  0076   KQ7W          59  1654
QSO: 28481 PH 2014-03-30 0032 W9VQ          59  0077   KV7DX         59  0202
QSO: 14166 PH 2014-03-30 0034 W9VQ          59  0078   YU5R          59  1121
QSO: 14175 PH 2014-03-30 0035 W9VQ          59  0079   DJ5MW         59  1959
QSO: 14180 PH 2014-03-30 0036 W9VQ          59  0080   CQ7A          59  1408
QSO: 14183 PH 2014-03-30 0036 W9VQ          59  0081   G2F           59  1329
QSO: 14185 PH 2014-03-30 0038 W9VQ          59  0082   5E5E          59  3980
QSO: 14192 PH 2014-03-30 0040 W9VQ          59  0083   IR6T          59  1893
QSO:  3804 PH 2014-03-30 0045 W9VQ          59  0084   W1AW/1        59  0136
QSO:  7210 PH 2014-03-30 0049 W9VQ          59  0085   VE3DZ         59  1961
QSO:  7171 PH 2014-03-30 0147 W9VQ          59  0086   KT5J          59  2186
QSO:  7166 PH 2014-03-30 0148 W9VQ          59  0087   KB3WD         59  2359
QSO:  3756 PH 2014-03-30 0151 W9VQ          59  0088   VA3SWG        59  0906
QSO:  3768 PH 2014-03-30 0152 W9VQ          59  0089   W3BGN         59  0356
QSO:  7231 PH 2014-03-30 0156 W9VQ          59  0090   W1AW/1        59  1465
QSO: 14215 PH 2014-03-30 0158 W9VQ          59  0091   EA7ATX        59  1186
QSO: 14227 PH 2014-03-30 0159 W9VQ          59  0092   DR1A          59  3065
QSO: 21256 PH 2014-03-30 0207 W9VQ          59  0093   RA9Y          59  1038
QSO: 21272 PH 2014-03-30 0208 W9VQ          59  0094   AE6YB         59  0261
QSO: 21367 PH 2014-03-30 0210 W9VQ          59  0095   NX1P          59  0798
QSO: 21448 PH 2014-03-30 1348 W9VQ          59  0096   YP0C          59  2231
QSO: 21436 PH 2014-03-30 1349 W9VQ          59  0097   PI4DX         59  1271
QSO: 21429 PH 2014-03-30 1350 W9VQ          59  0098   J42T          59  1039
QSO: 21426 PH 2014-03-30 1350 W9VQ          59  0099   EE8E          59  1560
QSO: 21423 PH 2014-03-30 1351 W9VQ          59  0100   YP8T          59  1275
QSO: 21381 PH 2014-03-30 1354 W9VQ          59  0101   EC2DX         59  2822
QSO: 28481 PH 2014-03-30 1406 W9VQ          59  0102   TM6M          59  4820
QSO: 28454 PH 2014-03-30 1408 W9VQ          59  0103   EU1A          59  2841
QSO: 21268 PH 2014-03-30 1413 W9VQ          59  0104   9A3DU         59  1790
QSO: 21246 PH 2014-03-30 1415 W9VQ          59  0105   UW1M          59  3375
QSO: 21306 PH 2014-03-30 1420 W9VQ          59  0106   LY2W          59  1186
QSO: 21323 PH 2014-03-30 1542 W9VQ          59  0107   DR1A          59  1790
QSO: 21318 PH 2014-03-30 1545 W9VQ          59  0108   N5DO          59  0608
QSO: 21311 PH 2014-03-30 1546 W9VQ          59  0109   UP2L          59  2671
QSO: 14172 PH 2014-03-30 1555 W9VQ          59  0110   K0VVX         59  0479
QSO: 14207 PH 2014-03-30 1556 W9VQ          59  0111   NX6T          59  0729
QSO: 14223 PH 2014-03-30 1557 W9VQ          59  0112   NW3H          59  0555
QSO: 14264 PH 2014-03-30 1558 W9VQ          59  0113   NF4A          59  1708
QSO: 21225 PH 2014-03-30 1756 W9VQ          59  0114   VE7JT         59  0566
QSO: 21300 PH 2014-03-30 1815 W9VQ          59  0115   YT5A          59  1415
QSO: 21272 PH 2014-03-30 1941 W9VQ          59  0116   XE2NL         59  0169
QSO: 21212 PH 2014-03-30 2301 W9VQ          59  0117   PQ5B          59  3859
QSO: 21222 PH 2014-03-30 2302 W9VQ          59  0118   LU1QAH        59  0400
QSO: 21238 PH 2014-03-30 2302 W9VQ          59  0119   YV5EAH        59  0660
QSO: 21330 PH 2014-03-30 2303 W9VQ          59  0120   N9TGR         59  0988
QSO: 21330 PH 2014-03-30 2303 W9VQ          59  0121   N9RLI         59  0001
QSO: 21247 PH 2014-03-30 2312 W9VQ          59  0122   L73D          59  0672
QSO: 21253 PH 2014-03-30 2312 W9VQ          59  0123   YV5KG         59  1221
QSO: 21254 PH 2014-03-30 2313 W9VQ          59  0124   P49Y          59  5030
QSO: 21263 PH 2014-03-30 2314 W9VQ          59  0125   PW5G          59  2279
QSO: 21290 PH 2014-03-30 2315 W9VQ          59  0126   D44AC         59  2728
QSO: 21430 PH 2014-03-30 2316 W9VQ          59  0127   KW7XX         59  2326
QSO: 21388 PH 2014-03-30 2318 W9VQ          59  0128   P40W          59  3601
QSO: 21378 PH 2014-03-30 2319 W9VQ          59  0129   L33M          59  0969
QSO: 28384 PH 2014-03-30 2324 W9VQ          59  0130   K6SCA         59  0605
QSO: 21318 PH 2014-03-30 2327 W9VQ          59  0131   YV8AD         59  1198
QSO: 21335 PH 2014-03-30 2329 W9VQ          59  0132   VP2VAK        59  1856
QSO: 21357 PH 2014-03-30 2331 W9VQ          59  0133   9K2HN         59  2444
QSO:  7132 PH 2014-03-30 2336 W9VQ          59  0134   NV9L          59  3992
QSO:  7146 PH 2014-03-30 2337 W9VQ          59  0135   VA3WLD        59  0319
QSO:  7152 PH 2014-03-30 2337 W9VQ          59  0136   K9CT          59  1406
QSO:  7177 PH 2014-03-30 2340 W9VQ          59  0137   N8BI          59  0343
QSO:  7128 PH 2014-03-30 2341 W9VQ          59  0138   WX3B          59  1481
QSO: 21239 PH 2014-03-30 2355 W9VQ          59  0139   4V1JR         59  2841
QSO: 21224 PH 2014-03-30 2357 W9VQ          59  0140   CW5W          59  2184
QSO: 21390 PH 2014-03-30 2359 W9VQ          59  0141   KP4RV         59  1202
END-OF-LOG:
