START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: R9AE
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: R9AE
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2020.
QSO: 14019 CW 2020-07-11 1609 R9AE          599 30 ER7HQ         599 ARM
QSO: 14019 CW 2020-07-11 1611 R9AE          599 30 HB9HQ         599 USKA
QSO: 14019 CW 2020-07-11 1611 R9AE          599 30 PA3AAV        599 27
QSO: 14021 CW 2020-07-11 1612 R9AE          599 30 RK9AX         599 30
QSO: 14032 CW 2020-07-11 1614 R9AE          599 30 RC9J          599 21
QSO: 14037 CW 2020-07-11 1615 R9AE          599 30 EA3X          599 37
QSO: 14036 CW 2020-07-11 1616 R9AE          599 30 4X6FR         599 39
QSO: 14061 CW 2020-07-11 1627 R9AE          599 30 JR2PMT        599 45
QSO: 14001 CW 2020-07-11 1631 R9AE          599 30 P3AA          599 39
QSO: 14001 CW 2020-07-11 1632 R9AE          599 30 GM3A          599 27
QSO: 14002 CW 2020-07-11 1632 R9AE          599 30 RK3T          599 29
QSO: 14003 CW 2020-07-11 1632 R9AE          599 30 OG7A          599 18
QSO: 14000 CW 2020-07-11 1633 R9AE          599 30 YL4HQ         599 LRAL
QSO: 14004 CW 2020-07-11 1633 R9AE          599 30 EC2DX         599 37
QSO: 14006 CW 2020-07-11 1635 R9AE          599 30 E7HQ          599 ARABH
QSO: 14006 CW 2020-07-11 1636 R9AE          599 30 F6KOP         599 27
QSO: 14007 CW 2020-07-11 1636 R9AE          599 30 DK9IP         599 28
QSO: 14010 CW 2020-07-11 1638 R9AE          599 30 YT6W          599 28
QSO: 14012 CW 2020-07-11 1639 R9AE          599 30 GR2HQ         599 RSGB
QSO: 14011 CW 2020-07-11 1640 R9AE          599 30 HG0HQ         599 MRASZ
QSO: 14011 CW 2020-07-11 1640 R9AE          599 30 OL0HQ         599 CRC
QSO: 14015 CW 2020-07-11 1641 R9AE          599 30 P3X           599 39
QSO: 14000 CW 2020-07-11 1642 R9AE          599 30 RN6AT         599 29
QSO: 14019 CW 2020-07-11 1642 R9AE          599 30 G5W           599 AC
QSO: 14000 CW 2020-07-11 1643 R9AE          599 30 SN0HQ         599 PZK
QSO: 14022 CW 2020-07-11 1643 R9AE          599 30 YT0HQ         599 SRS
QSO: 14000 CW 2020-07-11 1646 R9AE          599 30 PW7HQ         599 LABRE
QSO: 14011 CW 2020-07-11 1646 R9AE          599 30 S50HQ         599 ZRS
QSO: 14009 CW 2020-07-11 1647 R9AE          599 30 OP0HQ         599 UBA
QSO: 14014 CW 2020-07-11 1647 R9AE          599 30 TM0HQ         599 REF
QSO: 14023 CW 2020-07-11 1649 R9AE          599 30 OK2EA         599 28
QSO: 14025 CW 2020-07-11 1649 R9AE          599 30 IR4M          599 28
QSO: 14026 CW 2020-07-11 1649 R9AE          599 30 EM5HQ         599 UARL
QSO: 14007 CW 2020-07-12 0137 R9AE          599 30 XE1CT         599 10
QSO: 14008 CW 2020-07-12 0138 R9AE          599 30 VE6SV         599 2
QSO: 14011 CW 2020-07-12 0139 R9AE          599 30 KG3V          599 08
QSO: 14013 CW 2020-07-12 0139 R9AE          599 30 K4XU          599 06
QSO: 14017 CW 2020-07-12 0140 R9AE          599 30 N6WM          599 06
QSO: 14025 CW 2020-07-12 0143 R9AE          599 30 W0EWD         599 07
QSO: 14028 CW 2020-07-12 0143 R9AE          599 30 K2TW          599 08
QSO: 14031 CW 2020-07-12 0144 R9AE          599 30 W1AW          599 ARRL
QSO: 14047 CW 2020-07-12 0148 R9AE          599 30 NK8Q          599 08
QSO: 14057 CW 2020-07-12 0148 R9AE          599 30 CO2RQ         599 11
QSO: 14030 CW 2020-07-12 0150 R9AE          599 30 N2IC          599 07
QSO: 14023 CW 2020-07-12 0151 R9AE          599 30 N7AP          599 06
QSO: 14014 CW 2020-07-12 0154 R9AE          599 30 KL2R          599 01
QSO: 14010 CW 2020-07-12 0155 R9AE          599 30 N4EEB         599 08
QSO: 14000 CW 2020-07-12 0156 R9AE          599 30 WJ9B          599 6
QSO: 14007 CW 2020-07-12 0156 R9AE          599 30 K6EZ          599 6
QSO: 14004 CW 2020-07-12 0157 R9AE          599 30 NO6T          599 06
QSO: 14002 CW 2020-07-12 0158 R9AE          599 30 K7RL          599 06
QSO: 14002 CW 2020-07-12 0158 R9AE          599 30 NR4M          599 08
QSO: 14017 CW 2020-07-12 0201 R9AE          599 30 K9JF          599 06
QSO: 14023 CW 2020-07-12 0202 R9AE          599 30 E2HQ          599 RAST
QSO: 14026 CW 2020-07-12 0203 R9AE          599 30 R0HQ          599 SRR
QSO: 14028 CW 2020-07-12 0204 R9AE          599 30 YB1TIA        599 54
QSO: 14030 CW 2020-07-12 0204 R9AE          599 30 BH4CAC        599 44
QSO: 14044 CW 2020-07-12 0204 R9AE          599 30 DU3TW         599 50
QSO: 14031 CW 2020-07-12 0205 R9AE          599 30 BU2EO         599 44
QSO: 14000 CW 2020-07-12 0206 R9AE          599 30 E21YDP        599 49
QSO: 14044 CW 2020-07-12 0209 R9AE          599 30 KT7E          599 06
QSO: 14057 CW 2020-07-12 0213 R9AE          599 30 W7YAQ         599 6
QSO: 14056 CW 2020-07-12 0214 R9AE          599 30 K5TA          599 7
QSO: 14056 CW 2020-07-12 0214 R9AE          599 30 N5VU          599 07
QSO: 14057 CW 2020-07-12 0214 R9AE          599 30 AB8OU         599 08
QSO: 14056 CW 2020-07-12 0215 R9AE          599 30 NI0C          599 07
QSO: 14056 CW 2020-07-12 0216 R9AE          599 30 AD7XG         599 06
QSO: 14056 CW 2020-07-12 0218 R9AE          599 30 WB4TDH        599 08
QSO: 14057 CW 2020-07-12 0218 R9AE          599 30 VA7RN         599 02
QSO: 14056 CW 2020-07-12 0219 R9AE          599 30 K8LS          599 07
QSO: 14056 CW 2020-07-12 0219 R9AE          599 30 W8ASA         599 08
QSO: 14056 CW 2020-07-12 0221 R9AE          599 30 N3RC          599 06
QSO: 14056 CW 2020-07-12 0221 R9AE          599 30 WA7CPA        599 06
QSO: 14056 CW 2020-07-12 0222 R9AE          599 30 K1AR          599 8
QSO: 14056 CW 2020-07-12 0222 R9AE          599 30 NF4A          599 8
QSO: 14056 CW 2020-07-12 0222 R9AE          599 30 NU7J          599 06
QSO: 14056 CW 2020-07-12 0222 R9AE          599 30 W3EP          599 8
QSO: 14056 CW 2020-07-12 0223 R9AE          599 30 AC6BW         599 06
QSO: 14057 CW 2020-07-12 0223 R9AE          599 30 KA6BIM        599 06
QSO: 14057 CW 2020-07-12 0223 R9AE          599 30 N4VV          599 08
QSO: 14000 CW 2020-07-12 0224 R9AE          599 30 AF2F          599 08
QSO: 14056 CW 2020-07-12 0224 R9AE          599 30 K4XL          599 08
QSO: 14056 CW 2020-07-12 0225 R9AE          599 30 W7RN          599 06
QSO: 14056 CW 2020-07-12 0227 R9AE          599 30 K3LU          599 08
QSO: 14000 CW 2020-07-12 0408 R9AE          599 30 FR4QT         599 53
QSO: 14018 CW 2020-07-12 0410 R9AE          599 30 KM7W          599 6
QSO: 14026 CW 2020-07-12 0410 R9AE          599 30 N5AW          599 7
