START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: UX5VK
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UX5VK
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2020.
QSO: 14042 CW 2020-07-12 1135 UX5VK         599 29 UA4M          599 29
QSO: 14042 CW 2020-07-12 1136 UX5VK         599 29 DL7ON         599 28
QSO: 14048 CW 2020-07-12 1137 UX5VK         599 29 OH8L          599 18
QSO: 14051 CW 2020-07-12 1139 UX5VK         599 29 S53MM         599 28
QSO: 14051 CW 2020-07-12 1140 UX5VK         599 29 IQ4FA         599 28
QSO: 14000 CW 2020-07-12 1141 UX5VK         599 29 DJ0IF         599 28
QSO: 14002 CW 2020-07-12 1143 UX5VK         599 29 DK9IP         599 28
QSO: 14007 CW 2020-07-12 1145 UX5VK         599 29 LZ5DB         599 28
QSO: 14011 CW 2020-07-12 1147 UX5VK         599 29 EM5HQ         599 UARL
QSO: 14015 CW 2020-07-12 1153 UX5VK         599 29 UT1DX         599 29
END-OF-LOG:
