START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: 9A3YT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: 9A3YT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2020.
QSO: 14036 CW 2020-07-11 2231 9A3YT         599 28 ZM1A          599 60
QSO: 14035 CW 2020-07-11 2234 9A3YT         599 28 VR2XAN        599 44
QSO: 14000 CW 2020-07-11 2235 9A3YT         599 28 UN1HQ         599 KFRR
QSO: 14027 CW 2020-07-11 2238 9A3YT         599 28 PJ4A          599 11
QSO: 14004 CW 2020-07-11 2240 9A3YT         599 28 YT6W          599 28
QSO: 14000 CW 2020-07-11 2246 9A3YT         599 28 YL4HQ         599 LRAL
QSO: 14038 CW 2020-07-11 2248 9A3YT         599 28 N4HB          599 08
QSO: 14015 CW 2020-07-11 2251 9A3YT         599 28 N2NT          599 08
QSO: 14020 CW 2020-07-11 2254 9A3YT         599 28 KU2M          599 08
QSO: 14068 CW 2020-07-11 2255 9A3YT         599 28 K4OAQ         599 08
QSO: 14067 CW 2020-07-11 2256 9A3YT         599 28 VE6BBP        599 02
QSO: 14067 CW 2020-07-11 2259 9A3YT         599 28 PA6HQ         599 VERON
QSO: 14064 CW 2020-07-11 2304 9A3YT         599 28 KM7W          599 6
QSO: 14064 CW 2020-07-11 2305 9A3YT         599 28 N3AD          599 08
QSO: 14052 CW 2020-07-11 2310 9A3YT         599 28 EA2W          599 37
QSO: 14044 CW 2020-07-11 2311 9A3YT         599 28 VE5MX         599 03
QSO: 14044 CW 2020-07-11 2311 9A3YT         599 28 W9RE          599 08
QSO: 14061 CW 2020-07-11 2315 9A3YT         599 28 VE6SV         599 2
QSO: 14058 CW 2020-07-11 2316 9A3YT         599 28 NA8V          599 8
QSO: 14053 CW 2020-07-11 2317 9A3YT         599 28 WI9WI         599 7
QSO: 14052 CW 2020-07-11 2318 9A3YT         599 28 N0AT          599 7
QSO: 14000 CW 2020-07-11 2321 9A3YT         599 28 UA0QN         599 23
QSO: 14002 CW 2020-07-11 2324 9A3YT         599 28 W4AQL         599 08
QSO: 14011 CW 2020-07-12 0919 9A3YT         599 28 YT0HQ         599 SRS
QSO: 14000 CW 2020-07-12 0921 9A3YT         599 28 Z30HQ         599 RSM
QSO: 14013 CW 2020-07-12 0922 9A3YT         599 28 LZ0HQ         599 BFRA
QSO: 14017 CW 2020-07-12 0925 9A3YT         599 28 EA8DHV        599 36
QSO: 14017 CW 2020-07-12 0928 9A3YT         599 28 RQ9O          599 31
QSO: 14018 CW 2020-07-12 0929 9A3YT         599 28 R8LA          599 30
QSO: 14018 CW 2020-07-12 0930 9A3YT         599 28 RK9AX         599 30
QSO: 14000 CW 2020-07-12 0931 9A3YT         599 28 DL0SOP        599 28
QSO: 14020 CW 2020-07-12 0938 9A3YT         599 28 EV6Z          599 29
QSO: 14021 CW 2020-07-12 0939 9A3YT         599 28 R0HQ          599 SRR
QSO: 14021 CW 2020-07-12 0939 9A3YT         599 28 YR0HQ         599 FRR
QSO: 14022 CW 2020-07-12 0940 9A3YT         599 28 LY5R          599 29
QSO: 14022 CW 2020-07-12 0940 9A3YT         599 28 UP5B          599 30
QSO: 14000 CW 2020-07-12 0941 9A3YT         599 28 ON5WL         599 27
QSO: 14023 CW 2020-07-12 0942 9A3YT         599 28 UA4M          599 29
QSO: 14023 CW 2020-07-12 0943 9A3YT         599 28 EF4HQ         599 URE
QSO: 14024 CW 2020-07-12 0943 9A3YT         599 28 PA7RA         599 27
QSO: 14024 CW 2020-07-12 0945 9A3YT         599 28 E2HQ          599 RAST
QSO: 14025 CW 2020-07-12 0946 9A3YT         599 28 9A0HQ         599 HRS
