START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: UX5VK
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UX5VK
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2018.
QSO: 14003 CW 2018-07-14 2120 UX5VK         599 29 OP0HQ         599 UBA
QSO: 14010 CW 2018-07-14 2124 UX5VK         599 29 S51TA/MM      599 28
QSO: 14011 CW 2018-07-14 2126 UX5VK         599 29 N2YO          599 08
QSO: 14012 CW 2018-07-14 2127 UX5VK         599 29 N3UA          599 08
QSO: 14000 CW 2018-07-14 2130 UX5VK         599 29 YL4HQ         599 LRAL
QSO: 14014 CW 2018-07-14 2132 UX5VK         599 29 EM5HQ         599 UARL
QSO: 14014 CW 2018-07-14 2132 UX5VK         599 29 TM0HQ         599 REF
QSO: 14026 CW 2018-07-14 2134 UX5VK         599 29 IO5HQ         599 ARI
QSO: 14027 CW 2018-07-14 2135 UX5VK         599 29 9A0HQ         599 HRS
QSO: 14033 CW 2018-07-14 2137 UX5VK         599 29 HB9CPS        599 28
QSO: 14034 CW 2018-07-14 2140 UX5VK         599 29 EF8U          599 36
QSO: 14037 CW 2018-07-14 2141 UX5VK         599 29 OH2HQ         599 SRAL
QSO: 14070 CW 2018-07-14 2147 UX5VK         599 29 CQ3HQ         599 REP
QSO: 14036 CW 2018-07-14 2155 UX5VK         599 29 EF4HQ         599 URE
QSO: 14004 CW 2018-07-15 0724 UX5VK         599 29 YL5X          599 29
QSO: 14003 CW 2018-07-15 0725 UX5VK         599 29 RX9AF         599 30
QSO: 14008 CW 2018-07-15 0727 UX5VK         599 29 UT1AA         599 29
QSO: 14000 CW 2018-07-15 0728 UX5VK         599 29 RM7C          599 29
QSO: 14016 CW 2018-07-15 0730 UX5VK         599 29 RN3K          599 29
QSO: 14018 CW 2018-07-15 0730 UX5VK         599 29 YR0HQ         599 FRR
QSO: 14019 CW 2018-07-15 0731 UX5VK         599 29 LZ7HQ         599 BFRA
QSO: 14020 CW 2018-07-15 0733 UX5VK         599 29 LZ5XQ         599 28
QSO: 14021 CW 2018-07-15 0734 UX5VK         599 29 LA8HGA        599 18
QSO: 14000 CW 2018-07-15 0735 UX5VK         599 29 Z30HQ         599 RSM
QSO: 14022 CW 2018-07-15 0735 UX5VK         599 29 PA6X          599 27
QSO: 14023 CW 2018-07-15 0737 UX5VK         599 29 YT0HQ         599 SRS
QSO: 14000 CW 2018-07-15 0738 UX5VK         599 29 I6FDJ         599 28
QSO: 14025 CW 2018-07-15 0739 UX5VK         599 29 LZ1GU         599 28
QSO: 14025 CW 2018-07-15 0740 UX5VK         599 29 IZ4OSH        599 28
QSO: 14031 CW 2018-07-15 0741 UX5VK         599 29 GR2HQ         599 RSGB
QSO: 14032 CW 2018-07-15 0742 UX5VK         599 29 DA0HQ         599 DARC
QSO: 14000 CW 2018-07-15 0743 UX5VK         599 29 4O1HQ         599 MARP
QSO: 14038 CW 2018-07-15 0745 UX5VK         599 29 EA5KV         599 37
QSO: 14038 CW 2018-07-15 0746 UX5VK         599 29 DK7OB         599 28
QSO: 14041 CW 2018-07-15 0746 UX5VK         599 29 OG7F          599 18
QSO: 14000 CW 2018-07-15 0751 UX5VK         599 29 SM2CEW        599 18
QSO: 14000 CW 2018-07-15 0754 UX5VK         599 29 LZ1AQ         599 28
QSO: 14048 CW 2018-07-15 0754 UX5VK         599 29 YL2QN         599 29
QSO: 14050 CW 2018-07-15 0755 UX5VK         599 29 SX0HQ         599 RAAG
QSO: 14052 CW 2018-07-15 0758 UX5VK         599 29 Y87L          599 28
QSO: 14058 CW 2018-07-15 0759 UX5VK         599 29 OH1X          599 18
QSO: 14059 CW 2018-07-15 0800 UX5VK         599 29 RW3YA         599 29
QSO: 14064 CW 2018-07-15 0801 UX5VK         599 29 S50HQ         599 ZRS
QSO: 14006 CW 2018-07-15 0804 UX5VK         599 29 Y83Z          599 28
QSO: 14016 CW 2018-07-15 0806 UX5VK         599 29 UA2FL         599 29
QSO: 14019 CW 2018-07-15 0809 UX5VK         599 29 SJ8HQ         599 SSA
QSO: 14024 CW 2018-07-15 0810 UX5VK         599 29 EU6AF         599 29
QSO: 14026 CW 2018-07-15 0811 UX5VK         599 29 Y83C          599 28
QSO: 14000 CW 2018-07-15 0813 UX5VK         599 29 LY0HQ         599 LRMD
QSO: 14000 CW 2018-07-15 0815 UX5VK         599 29 4O4A          599 28
