START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: S51B
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: S51B
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2018.
QSO: 14137 PH 2018-07-14 1451 S51B          59 28 EI0HQ         59 IRTS
QSO: 14168 PH 2018-07-14 1452 S51B          59 28 GM0V          59 27
QSO: 14000 PH 2018-07-14 1455 S51B          59 28 F6DZU         59 27
QSO: 14182 PH 2018-07-14 1455 S51B          59 28 LY5E          59 29
QSO: 14187 PH 2018-07-14 1457 S51B          59 28 SV2ESW        59 28
QSO: 14232 PH 2018-07-14 1459 S51B          59 28 EA3IBV        59 37
QSO: 14253 PH 2018-07-14 1501 S51B          59 28 EF4HQ         59 URE
QSO: 14271 PH 2018-07-14 1502 S51B          59 28 PA6HQ         59 VERON
QSO: 14000 PH 2018-07-14 1506 S51B          59 28 F8KLY         59 27
QSO: 14333 PH 2018-07-14 1507 S51B          59 28 EI7T          59 27
QSO: 14145 PH 2018-07-14 1509 S51B          59 28 F4FLQ         59 27
QSO: 14217 PH 2018-07-14 1509 S51B          59 28 GM6NX         59 27
QSO: 14164 PH 2018-07-14 1522 S51B          59 28 M0NKR         59 27
QSO: 14207 PH 2018-07-14 1524 S51B          59 28 LZ7HQ         59 BFRA
QSO: 14245 PH 2018-07-14 1526 S51B          59 28 TM0HQ         59 REF
QSO: 14277 PH 2018-07-14 1527 S51B          59 28 ED3D          59 37
QSO: 14295 PH 2018-07-14 1528 S51B          59 28 EA3CI         59 37
QSO: 14297 PH 2018-07-14 1529 S51B          59 28 OP0HQ         59 UBA
QSO: 14322 PH 2018-07-14 1530 S51B          59 28 CR6K          59 37
QSO: 14343 PH 2018-07-14 1531 S51B          59 28 NA3D          59 08
QSO: 14347 PH 2018-07-14 1532 S51B          59 28 SX0HQ         59 RAAG
QSO: 14148 PH 2018-07-14 1533 S51B          59 28 CQ3HQ         59 REP
QSO: 14002 CW 2018-07-14 1608 S51B          599 28 KO7SS         599 08
QSO: 14005 CW 2018-07-14 1610 S51B          599 28 OP0HQ         599 UBA
QSO: 14014 CW 2018-07-14 1611 S51B          599 28 TM0HQ         599 REF
QSO: 14016 CW 2018-07-14 1611 S51B          599 28 G3P           599 27
QSO: 14068 CW 2018-07-14 1617 S51B          599 28 N2PP          599 08
QSO: 14069 CW 2018-07-14 1700 S51B          599 28 NP2P          599 11
QSO: 14000 CW 2018-07-14 1701 S51B          599 28 MU0FAL        599 27
QSO: 14065 CW 2018-07-14 1702 S51B          599 28 NY4A          599 8
QSO: 14062 CW 2018-07-14 1704 S51B          599 28 N3QE          599 08
QSO: 14057 CW 2018-07-14 1706 S51B          599 28 Y89N          599 28
QSO: 14016 CW 2018-07-14 1707 S51B          599 28 YL3CW         599 29
QSO: 14053 CW 2018-07-14 1707 S51B          599 28 S50HQ         599 ZRS
QSO: 14050 CW 2018-07-14 1708 S51B          599 28 Y83O          599 28
QSO: 14049 CW 2018-07-14 1710 S51B          599 28 EA1FA         599 37
QSO: 14045 CW 2018-07-14 1712 S51B          599 28 Y89M          599 28
QSO: 14036 CW 2018-07-14 1715 S51B          599 28 EF4HQ         599 URE
QSO: 14035 CW 2018-07-14 1716 S51B          599 28 4Z4AK         599 39
QSO: 14000 CW 2018-07-14 1717 S51B          599 28 LX8HQ         599 RL
QSO: 14031 CW 2018-07-14 1719 S51B          599 28 GR2HQ         599 RSGB
QSO: 14030 CW 2018-07-14 1720 S51B          599 28 OL8HQ         599 CRC
QSO: 14008 CW 2018-07-14 1804 S51B          599 28 HG0HQ         599 MRASZ
QSO: 14000 CW 2018-07-14 1805 S51B          599 28 RU6AV         599 29
QSO: 14010 CW 2018-07-14 1805 S51B          599 28 K1XM          599 08
QSO: 14012 CW 2018-07-14 1806 S51B          599 28 S51J          599 28
QSO: 14001 CW 2018-07-14 2007 S51B          599 28 K1LT          599 8
QSO: 14002 CW 2018-07-14 2007 S51B          599 28 EA8ZS         599 36
QSO: 14004 CW 2018-07-14 2009 S51B          599 28 VE3NNT        599 04
QSO: 14005 CW 2018-07-14 2011 S51B          599 28 KP2M          599 11
QSO: 14011 CW 2018-07-14 2012 S51B          599 28 N3RS          599 08
QSO: 14013 CW 2018-07-14 2015 S51B          599 28 NU1AW/9       599 IARU
QSO: 14020 CW 2018-07-14 2030 S51B          599 28 HA8BE         599 28
QSO: 14021 CW 2018-07-14 2033 S51B          599 28 K1MK          599 08
QSO: 14021 CW 2018-07-14 2033 S51B          599 28 M8A           599 27
QSO: 14023 CW 2018-07-14 2034 S51B          599 28 DJ6GI         599 28
QSO: 14025 CW 2018-07-14 2036 S51B          599 28 K4PV          599 08
QSO: 14026 CW 2018-07-14 2037 S51B          599 28 IO5HQ         599 ARI
QSO: 14034 CW 2018-07-14 2040 S51B          599 28 DJ9DZ         599 28
QSO: 14035 CW 2018-07-14 2040 S51B          599 28 OH2HQ         599 SRAL
QSO: 14036 CW 2018-07-14 2043 S51B          599 28 EF4HQ         599 URE
QSO: 14036 CW 2018-07-14 2044 S51B          599 28 DL1QW         599 28
QSO: 14044 CW 2018-07-14 2047 S51B          599 28 W1OO          599 08
QSO: 14046 CW 2018-07-14 2048 S51B          599 28 CQ3HQ         599 REP
QSO: 14048 CW 2018-07-14 2049 S51B          599 28 EA6FO         599 37
QSO: 14057 CW 2018-07-14 2051 S51B          599 28 K0EJ          599 08
QSO: 14060 CW 2018-07-14 2052 S51B          599 28 K8AJS         599 08
QSO: 14080 CW 2018-07-14 2102 S51B          599 28 N2GM          599 08
QSO: 14000 CW 2018-07-14 2142 S51B          599 28 K9OM          599 08
QSO: 14000 CW 2018-07-14 2143 S51B          599 28 YT1A          599 28
QSO: 14006 CW 2018-07-14 2144 S51B          599 28 K3IE          599 08
QSO: 14007 CW 2018-07-14 2145 S51B          599 28 F5MUX         599 27
QSO: 14009 CW 2018-07-14 2147 S51B          599 28 W9RE          599 8
QSO: 14011 CW 2018-07-14 2147 S51B          599 28 W1KM          599 08
QSO: 14035 CW 2018-07-14 2151 S51B          599 28 ZF9DX         599 11
QSO: 14038 CW 2018-07-14 2152 S51B          599 28 KB1W          599 08
QSO: 14052 CW 2018-07-14 2156 S51B          599 28 KZ5D          599 07
QSO: 14005 CW 2018-07-14 2233 S51B          599 28 AB3CX         599 08
QSO: 14000 CW 2018-07-14 2235 S51B          599 28 W5MX          599 08
QSO: 14011 CW 2018-07-14 2235 S51B          599 28 N2YO          599 08
QSO: 14000 CW 2018-07-14 2237 S51B          599 28 N8II          599 08
QSO: 14018 CW 2018-07-14 2237 S51B          599 28 K8AZ          599 8
QSO: 14021 CW 2018-07-15 0715 S51B          599 28 G4R           599 27
QSO: 14031 CW 2018-07-15 0718 S51B          599 28 OY1CT         599 18
