START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: HA5TOP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: HA5TOP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2018.
QSO: 14189 PH 2018-07-14 1211 HA5TOP        59 28 LA2RR         59 AC
QSO: 14296 PH 2018-07-14 1220 HA5TOP        59 28 OP0HQ         59 UBA
QSO: 14292 PH 2018-07-14 1222 HA5TOP        59 28 TF3HQ         59 IRA
QSO: 14016 PH 2018-07-14 1223 HA5TOP        59 28 YL3CW         59 29
QSO: 14273 PH 2018-07-14 1223 HA5TOP        59 28 ES5RW         59 29
QSO: 14286 PH 2018-07-14 1225 HA5TOP        59 28 OH2HQ         59 SRAL
QSO: 14280 PH 2018-07-14 1226 HA5TOP        59 28 UN1HQ         59 KFRR
QSO: 14125 PH 2018-07-14 1228 HA5TOP        59 28 OH6K          59 18
QSO: 14000 PH 2018-07-14 1229 HA5TOP        59 28 LX8HQ         59 RL
QSO: 14184 PH 2018-07-14 1230 HA5TOP        59 28 PB2A          59 27
QSO: 14000 PH 2018-07-14 1232 HA5TOP        59 28 LC5K          59 18
QSO: 14193 PH 2018-07-14 1232 HA5TOP        59 28 SV2ESW        59 28
QSO: 14200 PH 2018-07-14 1234 HA5TOP        59 28 EM5HQ         59 UARL
QSO: 14216 PH 2018-07-14 1235 HA5TOP        59 28 GM5M          59 27
QSO: 14245 PH 2018-07-14 1235 HA5TOP        59 28 TM0HQ         59 REF
QSO: 14253 PH 2018-07-14 1236 HA5TOP        59 28 EF4HQ         59 URE
QSO: 14257 PH 2018-07-14 1237 HA5TOP        59 28 GR2HQ         59 RSGB
QSO: 14265 PH 2018-07-14 1238 HA5TOP        59 28 DA0HQ         59 DARC
QSO: 14000 PH 2018-07-14 1239 HA5TOP        59 28 A71HQ         59 QARS
QSO: 14177 PH 2018-07-14 1243 HA5TOP        59 28 SB6W          59 18
QSO: 28012 CW 2018-07-14 1252 HA5TOP        599 28 IT9RZU        599 28
QSO: 28025 CW 2018-07-14 1302 HA5TOP        599 28 C4W           599 39
QSO: 28018 CW 2018-07-14 1319 HA5TOP        599 28 EF8U          599 36
QSO: 28012 CW 2018-07-14 1320 HA5TOP        599 28 OH2HQ         599 SRAL
QSO: 28000 CW 2018-07-14 1327 HA5TOP        599 28 9A0HQ         599 HRS
QSO: 28030 CW 2018-07-14 1354 HA5TOP        599 28 EF4HQ         599 URE
QSO: 28015 CW 2018-07-14 1402 HA5TOP        599 28 TM0HQ         599 REF
QSO: 28016 CW 2018-07-14 1404 HA5TOP        599 28 EA4OR         599 37
QSO: 28043 CW 2018-07-14 1430 HA5TOP        599 28 CQ3HQ         599 REP
QSO: 28025 CW 2018-07-14 1434 HA5TOP        599 28 EA5BY         599 37
QSO: 28024 CW 2018-07-14 1438 HA5TOP        599 28 EA6FO         599 37
QSO: 28028 CW 2018-07-14 1444 HA5TOP        599 28 HA5X          599 28
QSO: 28000 CW 2018-07-14 1446 HA5TOP        599 28 R7KX          599 29
QSO: 28028 CW 2018-07-14 1446 HA5TOP        599 28 EA8KC         599 36
QSO: 28026 CW 2018-07-14 1448 HA5TOP        599 28 HG5A          599 28
QSO: 28033 CW 2018-07-14 1500 HA5TOP        599 28 HG0HQ         599 MRASZ
QSO: 21004 CW 2018-07-14 1512 HA5TOP        599 28 EM5HQ         599 UARL
QSO: 21017 CW 2018-07-14 1515 HA5TOP        599 28 EF4HQ         599 URE
QSO: 21000 CW 2018-07-14 1520 HA5TOP        599 28 HA5NR         599 28
QSO: 21025 CW 2018-07-14 1521 HA5TOP        599 28 TM0HQ         599 REF
QSO: 21012 CW 2018-07-14 1531 HA5TOP        599 28 EF8U          599 36
QSO: 14318 PH 2018-07-14 1535 HA5TOP        59 28 IZ2FOS        59 28
QSO: 14283 PH 2018-07-14 1538 HA5TOP        59 28 IU2IBU        59 28
QSO: 14283 PH 2018-07-14 1544 HA5TOP        59 28 RC7KY         59 29
QSO: 14283 PH 2018-07-14 1545 HA5TOP        59 28 DF5FS         59 28
QSO: 14000 PH 2018-07-14 1546 HA5TOP        59 28 R2AD          59 29
QSO: 14148 PH 2018-07-14 1547 HA5TOP        59 28 CQ3HQ         59 REP
QSO: 14159 PH 2018-07-14 1550 HA5TOP        59 28 RW0AR         59 32
QSO: 14168 PH 2018-07-14 1551 HA5TOP        59 28 GM0V          59 27
QSO: 14180 PH 2018-07-14 1558 HA5TOP        59 28 RK9AX         59 30
QSO: 14193 PH 2018-07-14 1601 HA5TOP        59 28 BG9NJY        59 43
QSO: 14000 PH 2018-07-14 1604 HA5TOP        59 28 RJ9U          59 31
QSO: 14211 PH 2018-07-14 1607 HA5TOP        59 28 EA3IBV        59 37
QSO: 14259 PH 2018-07-14 1609 HA5TOP        59 28 IW1FRU        59 28
QSO: 14000 PH 2018-07-14 1610 HA5TOP        59 28 F8KLY         59 27
QSO: 14000 PH 2018-07-14 1613 HA5TOP        59 28 JH1ACA        59 45
QSO: 14321 PH 2018-07-14 1618 HA5TOP        59 28 CR6K          59 37
QSO: 14310 PH 2018-07-14 1619 HA5TOP        59 28 EA3PT         59 37
QSO: 14245 PH 2018-07-14 1623 HA5TOP        59 28 7Z1IS         59 39
QSO: 14290 PH 2018-07-14 1626 HA5TOP        59 28 A47RS         59 ROARS
QSO: 21004 CW 2018-07-14 1924 HA5TOP        599 28 Z30HQ         599 RSM
QSO: 21005 CW 2018-07-14 1929 HA5TOP        599 28 S50HQ         599 ZRS
QSO: 21000 CW 2018-07-14 1930 HA5TOP        599 28 UN9GD         599 31
QSO: 21009 CW 2018-07-14 1932 HA5TOP        599 28 OL8HQ         599 CRC
QSO: 21045 CW 2018-07-14 1934 HA5TOP        599 28 PA6HQ         599 VERON
QSO: 21000 CW 2018-07-14 1935 HA5TOP        599 28 LX8HQ         599 RL
QSO: 21040 CW 2018-07-14 1937 HA5TOP        599 28 HB9CVQ        599 28
