START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: PA5VK
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PA5VK
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2018.
QSO: 14000 PH 2018-07-14 1536 PA5VK         59 27 SN0HQ         59 PZK
QSO: 21300 PH 2018-07-14 2112 PA5VK         59 27 IO8HQ         59 ARI
QSO: 21273 PH 2018-07-14 2114 PA5VK         59 27 9A0HQ         59 HRS
QSO: 21238 PH 2018-07-14 2116 PA5VK         59 27 YT0HQ         59 SRS
QSO: 28435 PH 2018-07-14 2118 PA5VK         59 27 IO9HQ         59 ARI
QSO: 28452 PH 2018-07-14 2120 PA5VK         59 27 YT0HQ         59 SRS
QSO: 28486 PH 2018-07-14 2123 PA5VK         59 27 EF4HQ         59 URE
QSO: 21009 CW 2018-07-14 2130 PA5VK         599 27 LZ7HQ         599 BFRA
QSO: 21018 CW 2018-07-14 2138 PA5VK         599 27 KP2M          599 11
QSO: 14135 PH 2018-07-14 2142 PA5VK         59 27 EI7T          59 27
QSO: 14148 PH 2018-07-14 2143 PA5VK         59 27 PJ4DX         59 11
QSO: 14173 PH 2018-07-14 2145 PA5VK         59 27 IK4DCX        59 28
QSO: 14000 PH 2018-07-14 2146 PA5VK         59 27 IV3JVJ        59 28
QSO: 14150 PH 2018-07-14 2149 PA5VK         59 27 K8AZ          59 8
QSO: 14000 PH 2018-07-14 2157 PA5VK         59 27 HC2GRC        59 GRC
QSO: 14000 PH 2018-07-14 2158 PA5VK         59 27 HC7AE         59 12
QSO: 14194 PH 2018-07-14 2200 PA5VK         59 27 IR4K          59 28
QSO: 14000 PH 2018-07-14 2201 PA5VK         59 27 9A0HQ         59 HRS
QSO: 14209 PH 2018-07-14 2203 PA5VK         59 27 HG0HQ         59 MRASZ
QSO: 14217 PH 2018-07-14 2203 PA5VK         59 27 YT0HQ         59 SRS
QSO: 14223 PH 2018-07-14 2205 PA5VK         59 27 CB1H          59 14
QSO: 14231 PH 2018-07-14 2209 PA5VK         59 27 NA3D          59 08
QSO: 14000 PH 2018-07-14 2212 PA5VK         59 27 W1AW/4        59 ARRL
QSO: 14245 PH 2018-07-14 2215 PA5VK         59 27 TM0HQ         59 REF
QSO: 14251 PH 2018-07-14 2217 PA5VK         59 27 IU4CHE        59 28
QSO: 14259 PH 2018-07-14 2227 PA5VK         59 27 OH2HQ         59 SRAL
QSO: 14000 PH 2018-07-14 2229 PA5VK         59 27 YL4HQ         59 LRAL
QSO: 14273 PH 2018-07-14 2229 PA5VK         59 27 S50HQ         59 ZRS
QSO: 28021 CW 2018-07-15 1012 PA5VK         599 27 OE0HQ         599 OVSV
QSO: 28024 CW 2018-07-15 1017 PA5VK         599 27 S57DX         599 28
QSO: 28028 CW 2018-07-15 1018 PA5VK         599 27 EF4HQ         599 URE
QSO: 28427 PH 2018-07-15 1028 PA5VK         59 27 OL8HQ         59 CRC
QSO: 28469 PH 2018-07-15 1032 PA5VK         59 27 OE0HQ         59 OVSV
QSO: 28495 PH 2018-07-15 1033 PA5VK         59 27 CR6K          59 37
QSO: 28497 PH 2018-07-15 1034 PA5VK         59 27 LZ7HQ         59 BFRA
QSO: 28499 PH 2018-07-15 1036 PA5VK         59 27 OH2HQ         59 SRAL
QSO: 28505 PH 2018-07-15 1037 PA5VK         59 27 HG0HQ         59 MRASZ
QSO: 21199 PH 2018-07-15 1040 PA5VK         59 27 YT7P          59 28
QSO: 21201 PH 2018-07-15 1040 PA5VK         59 27 EF8R          59 36
QSO: 21224 PH 2018-07-15 1045 PA5VK         59 27 HA3DX         59 28
QSO: 21226 PH 2018-07-15 1046 PA5VK         59 27 S50HQ         59 ZRS
QSO: 21232 PH 2018-07-15 1047 PA5VK         59 27 RJ4P          59 30
QSO: 21252 PH 2018-07-15 1049 PA5VK         59 27 E7DX          59 28
QSO: 21265 PH 2018-07-15 1050 PA5VK         59 27 RU1A          59 29
QSO: 21270 PH 2018-07-15 1051 PA5VK         59 27 YR0HQ         59 FRR
QSO: 21281 PH 2018-07-15 1054 PA5VK         59 27 DA0HQ         59 DARC
QSO: 21000 PH 2018-07-15 1055 PA5VK         59 27 IR4K          59 28
QSO: 21310 PH 2018-07-15 1100 PA5VK         59 27 UN1HQ         59 KFRR
QSO: 21000 PH 2018-07-15 1101 PA5VK         59 27 HG0HQ         59 MRASZ
QSO: 21000 PH 2018-07-15 1102 PA5VK         59 27 YL4HQ         59 LRAL
QSO: 21326 PH 2018-07-15 1103 PA5VK         59 27 EF4HQ         59 URE
QSO: 21333 PH 2018-07-15 1104 PA5VK         59 27 EA3PT         59 37
QSO: 21000 PH 2018-07-15 1105 PA5VK         59 27 EA3CI         59 37
QSO: 21343 PH 2018-07-15 1106 PA5VK         59 27 CR6K          59 37
QSO: 21000 PH 2018-07-15 1109 PA5VK         59 27 CS7AMH        59 37
QSO: 21381 PH 2018-07-15 1110 PA5VK         59 27 OH2HQ         59 SRAL
QSO: 14127 PH 2018-07-15 1120 PA5VK         59 27 Y87M          59 28
QSO: 14137 PH 2018-07-15 1122 PA5VK         59 27 F6IRA         59 27
QSO: 14141 PH 2018-07-15 1124 PA5VK         59 27 LY5E          59 29
QSO: 14000 PH 2018-07-15 1126 PA5VK         59 27 F6DZU         59 27
QSO: 14146 PH 2018-07-15 1126 PA5VK         59 27 RK9AX         59 30
QSO: 14149 PH 2018-07-15 1127 PA5VK         59 27 SN7D          59 28
QSO: 14000 PH 2018-07-15 1128 PA5VK         59 27 YT1A          59 28
QSO: 14162 PH 2018-07-15 1130 PA5VK         59 27 UA3BL         59 29
QSO: 14171 PH 2018-07-15 1132 PA5VK         59 27 RJ4P          59 30
QSO: 14173 PH 2018-07-15 1132 PA5VK         59 27 Y86Q          59 28
QSO: 14175 PH 2018-07-15 1132 PA5VK         59 27 Y84X          59 28
QSO: 14187 PH 2018-07-15 1137 PA5VK         59 27 EF1W          59 37
QSO: 14000 PH 2018-07-15 1138 PA5VK         59 27 LC5K          59 18
QSO: 14195 PH 2018-07-15 1139 PA5VK         59 27 EM5HQ         59 UARL
QSO: 14206 PH 2018-07-15 1141 PA5VK         59 27 R2AA          59 29
QSO: 14208 PH 2018-07-15 1142 PA5VK         59 27 IW1CHX        59 28
QSO: 14212 PH 2018-07-15 1143 PA5VK         59 27 Y87K          59 28
QSO: 14216 PH 2018-07-15 1148 PA5VK         59 27 UX1UA         59 29
QSO: 14218 PH 2018-07-15 1150 PA5VK         59 27 UF4M          59 29
QSO: 14000 PH 2018-07-15 1153 PA5VK         59 27 IK3UNA        59 28
QSO: 14221 PH 2018-07-15 1154 PA5VK         59 27 UN1HQ         59 KFRR
QSO: 14234 PH 2018-07-15 1154 PA5VK         59 27 ES5RW         59 29
QSO: 14237 PH 2018-07-15 1154 PA5VK         59 27 YR0HQ         59 FRR
QSO: 14240 PH 2018-07-15 1155 PA5VK         59 27 GM5M          59 27
QSO: 14252 PH 2018-07-15 1156 PA5VK         59 27 YT5A          59 28
QSO: 14256 PH 2018-07-15 1157 PA5VK         59 27 OE0HQ         59 OVSV
QSO: 14270 PH 2018-07-15 1158 PA5VK         59 27 EU1A          59 29
QSO: 14276 PH 2018-07-15 1159 PA5VK         59 27 SQ9V          59 28
END-OF-LOG:
