START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: KE1R
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-OVERLAY:
CLAIMED-SCORE: 3240
OPERATORS: KE1R
CLUB:
LOCATION: NM
NAME: THOMAS W. BROOKS
SOAPBOX: THE BATTLE OF BRASS POUNDERS IS NOW THE BATTLE OF THE KEYBOARDS.
SOAPBOX: IT IS AMAZING TO WHIZ ALONG COMFORTABLY AT 30-40 WPM.
SOAPBOX:
SOAPBOX:
CREATED-BY: Exported by LOGic version 8.0.99. LOGic Cabrillo Export version 1.2.
QSO: 21004 CW 2011-05-28 0314 KE1R          599 1      ZL1BYZ        599 270
QSO: 21009 CW 2011-05-28 0348 KE1R          599 2      6W/RK4FF      599 485
QSO: 21012 CW 2011-05-28 0353 KE1R          599 3      VK2IM         599 262
QSO: 21023 CW 2011-05-28 0404 KE1R          599 4      KG6DX         599 325
QSO: 21016 CW 2011-05-28 0412 KE1R          599 5      ZL2J          599 154
QSO: 21026 CW 2011-05-29 1537 KE1R          599 6      K4RO          599 177
QSO: 21010 CW 2011-05-29 1547 KE1R          599 7      PJ4A          599 3161
QSO: 21012 CW 2011-05-29 1551 KE1R          599 8      ED8A          599 1834
QSO: 21022 CW 2011-05-29 1610 KE1R          599 9      LU4FM         599 1234
QSO: 21026 CW 2011-05-29 1614 KE1R          599 10     WZ4F          599 1307
QSO: 21029 CW 2011-05-29 1616 KE1R          599 11     KE7X          599 1237
QSO: 21036 CW 2011-05-29 1625 KE1R          599 12     NF6A          599 1715
QSO: 21043 CW 2011-05-29 1626 KE1R          599 13     VE7XF         599 175
QSO: 21043 CW 2011-05-29 1630 KE1R          599 14     N6RO          599 461
QSO: 21046 CW 2011-05-29 1709 KE1R          599 15     NR3X          599 451
QSO: 21049 CW 2011-05-29 1714 KE1R          599 16     CS2C          599 1929
QSO: 21064 CW 2011-05-29 1719 KE1R          599 17     VA7KO         599 782
QSO: 21014 CW 2011-05-29 1748 KE1R          599 18     PW7T          599 1565
QSO: 28013 CW 2011-05-29 2006 KE1R          599 19     PY2MTS        599 392
QSO: 28017 CW 2011-05-29 2012 KE1R          599 20     PS2T          599 2877
QSO: 28036 CW 2011-05-29 2017 KE1R          599 21     VE5MX         599 246
QSO: 28025 CW 2011-05-29 2021 KE1R          599 22     LU4FM         599 671
QSO: 14026 CW 2011-05-29 2026 KE1R          599 23     NN4US         599 2092
QSO: 14026 CW 2011-05-29 2028 KE1R          599 24     K1LT          599 958
QSO: 14025 CW 2011-05-29 2032 KE1R          599 25     AA3B          599 2318
QSO: 14019 CW 2011-05-29 2035 KE1R          599 26     NW7A          599 2066
QSO: 14017 CW 2011-05-29 2040 KE1R          599 27     K9MMS         599 947
QSO: 14010 CW 2011-05-29 2045 KE1R          599 28     K1LZ          599 2486
QSO: 14006 CW 2011-05-29 2048 KE1R          599 29     NR3X          599 1424
QSO: 14006 CW 2011-05-29 2051 KE1R          599 30     NR6O          599 1385
QSO: 14005 CW 2011-05-29 2057 KE1R          599 31     KC2RG         599 133
QSO:  7025 CW 2011-05-29 2101 KE1R          599 32     NG5A          599 1067
QSO:  7027 CW 2011-05-29 2105 KE1R          599 33     NX5M          599 918
QSO: 14025 CW 2011-05-29 2114 KE1R          599 34     NY4A          599 2281
QSO: 14021 CW 2011-05-29 2121 KE1R          599 35     KC3R          599 2598
QSO: 14018 CW 2011-05-29 2126 KE1R          599 36     K4RO          599 2070
QSO: 14018 CW 2011-05-29 2128 KE1R          599 37     YT9A          599 2158
QSO: 14038 CW 2011-05-29 2214 KE1R          599 38     K4PV          599 1373
QSO: 14039 CW 2011-05-29 2218 KE1R          599 39     9A1A          599 2056
QSO: 14047 CW 2011-05-29 2225 KE1R          599 40     N2NS          599 143
QSO: 14051 CW 2011-05-29 2227 KE1R          599 41     NQ4I          599 2227
QSO: 14055 CW 2011-05-29 2231 KE1R          599 42     VE3OI         599 561
QSO: 14059 CW 2011-05-29 2237 KE1R          599 43     K3WW          599 1272
QSO: 14068 CW 2011-05-29 2241 KE1R          599 44     W7WHO         599 6555
QSO: 14069 CW 2011-05-29 2245 KE1R          599 45     LZ5R          599 2100
END-OF-LOG:
