START-OF-LOG: 3.0
CALLSIGN: KU6W
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 7590
CLUB: NORTHERN CALIFORNIA CONTEST CLUB
CREATED-BY: RUMped Ver. 3.1.1  by Tom, DL2RUM
NAME: Jeff Kinzli
OPERATORS: N6GQ
SOAPBOX: Very limited effort - first contest from home with a new Hex
SOAPBOX: beam that I finished building about 2 hours into the contest
SOAPBOX: . Started the contest with it up only 8 feet off the ground.
SOAPBOX: ..then on Sunday I pushed it up to 20 feet. Conditions seeme
SOAPBOX: d poor with the high K index...looked for NCCC friends but d
SOAPBOX: idn't hear many, and those I could hear couldn't hear me.
SOAPBOX: I ended up only putting in about 1.5 hours total into the co
SOAPBOX: ntest due to many other things going on with work and home l
SOAPBOX: ife this weekend, but any time contesting is good time.
QSO: 14000 CW 2011-05-28 0325 KU6W          599    001 K5MV          599    140 0
QSO: 14000 CW 2011-05-28 0326 KU6W          599    002 NR5M          599    352 0
QSO: 14000 CW 2011-05-28 0326 KU6W          599    003 WW4R          599    273 0
QSO: 14000 CW  2011-05-28 0327 KU6W          599    004 NA0CW         599    185 0
QSO: 14000 CW  2011-05-28 0328 KU6W          599    005 KW7Y          599    277 0
QSO: 14000 CW  2011-05-28 0328 KU6W          599    006 K8MP          599    074 0
QSO: 14000 CW  2011-05-28 0329 KU6W          599    007 NJ7N          599    139 0
QSO: 14000 CW  2011-05-28 0334 KU6W          599    008 KE0UI         599    138 0
QSO: 14000 CW  2011-05-28 0335 KU6W          599    009 K0EA          599    141 0
QSO: 14000 CW  2011-05-28 0335 KU6W          599    010 W7VJ          599    103 0
QSO: 14000 CW  2011-05-28 0336 KU6W          599    011 WA8RCN        599    146 0
QSO: 14000 CW  2011-05-28 0336 KU6W          599    012 K1GU          599    079 0
QSO: 14000 CW  2011-05-28 0337 KU6W          599    013 WB5AAR        599    341 0
QSO: 14000 CW  2011-05-28 0338 KU6W          599    014 KH7X          599    495 0
QSO: 14000 CW  2011-05-28 0339 KU6W          599    015 PX2W          599    451 0
QSO: 14000 CW  2011-05-28 0340 KU6W          599    016 N5AW          599    277 0
QSO: 14000 CW  2011-05-28 0341 KU6W          599    017 LS1D          599    313 0
QSO: 14000 CW  2011-05-28 0405 KU6W          599    018 PV8DX         599    430 0
QSO: 14000 CW  2011-05-28 0409 KU6W          599    019 WQ5L          599    164 0
QSO: 14000 CW  2011-05-28 0410 KU6W          599    020 W1UJ          599    287 0
QSO: 14000 CW  2011-05-28 0410 KU6W          599    021 NJ4I          599    225 0
QSO: 14000 CW  2011-05-28 0411 KU6W          599    022 NV2G          599    406 0
QSO: 14000 CW  2011-05-28 0411 KU6W          599    023 K7CS          599    184 0
QSO: 14000 CW  2011-05-28 0411 KU6W          599    024 N9MM          599    243 0
QSO: 14000 CW  2011-05-28 0412 KU6W          599    025 N0GOS         599    119 0
QSO: 21011 CW 2011-05-28 2358 KU6W          599    026 HK1R          599   1488 0
QSO: 21018 CW 2011-05-28 2359 KU6W          599    027 LU4FM         599   1012 0
QSO: 14034 CW 2011-05-29 0009 KU6W          599    028 N6MA          599    811 0
QSO: 14049 CW 2011-05-29 0010 KU6W          599    029 KE1B          599    575 0
QSO: 14050 CW 2011-05-29 0011 KU6W          599    030 N7DD          599    099 0
QSO: 14052 CW 2011-05-29 0012 KU6W          599    031 NA0CW         599    729 0
QSO: 14061 CW 2011-05-29 0012 KU6W          599    032 WK5T          599   1522 0
QSO: 14005 CW 2011-05-29 0015 KU6W          599    033 FM5CD         599   1543 0
QSO: 14013 CW 2011-05-29 0126 KU6W          599    034 NQ4I          599   1364 0
QSO: 14022 CW 2011-05-29 0127 KU6W          599    035 NX5M          599    952 0
QSO: 14026 CW 2011-05-29 0127 KU6W          599    036 N5AW          599   1004 0
QSO: 14027 CW 2011-05-29 0128 KU6W          599    037 NR3X          599    956 0
QSO: 14029 CW 2011-05-29 0129 KU6W          599    038 XE1MM         599    587 0
QSO: 14042 CW 2011-05-29 0132 KU6W          599    039 K7QQ          599    525 0
QSO: 14029 CW 2011-05-29 0133 KU6W          599    040 K6UW          599    489 0
QSO: 14028 CW 2011-05-29 0134 KU6W          599    041 NH7A          599   1430 0
QSO: 14025 CW 2011-05-29 0134 KU6W          599    042 KD4D          599   1163 0
QSO: 14018 CW 2011-05-29 0135 KU6W          599    043 KM6Z          599    293 0
QSO: 21030 CW 2011-05-29 0136 KU6W          599    044 NM5M          599    848 0
QSO: 21027 CW 2011-05-29 0137 KU6W          599    045 WN6K          599    422 0
QSO: 21025 CW 2011-05-29 0137 KU6W          599    046 KZ7X          599    277 0
QSO: 14063 CW 2011-05-29 0332 KU6W          599    047 N6TQ          599    013 0
QSO: 14038 CW 2011-05-29 0334 KU6W          599    048 K9NW          599    461 0
QSO: 14019 CW 2011-05-29 0340 KU6W          599    049 OL3Z          599   1147 0
QSO: 14011 CW 2011-05-29 0341 KU6W          599    050 SN3R          599   2207 0
QSO: 14015 CW 2011-05-29 0345 KU6W          599    051 NK7U          599   1800 0
QSO: 21030 CW 2011-05-29 2153 KU6W          599    052 XE1AY         599    479 0
QSO: 21031 CW 2011-05-29 2154 KU6W          599    053 K4PV          599   1350 0
QSO: 21036 CW 2011-05-29 2207 KU6W          599    054 WS2T          599   1721 0
QSO: 21021 CW 2011-05-29 2208 KU6W          599    055 NR4M          599    856 0
QSO: 14064 CW 2011-05-29 2216 KU6W          599    056 CR2X          599   3692 0
QSO: 14024 CW 2011-05-29 2316 KU6W          599    057 CQ3A          599   5457 0
QSO: 14007 CW 2011-05-29 2327 KU6W          599    058 P40W          599   3691 0
QSO: 14010 CW 2011-05-29 2327 KU6W          599    059 HK1X          599   2501 0
QSO: 14024 CW 2011-05-29 2328 KU6W          599    060 WS2T          599   1821 0
QSO: 14032 CW 2011-05-29 2329 KU6W          599    061 WZ4F          599   1687 0
QSO: 14005 CW 2011-05-29 2334 KU6W          599    062 PW7T          599   1649 0
END-OF-LOG:
