START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.34.1
CONTEST: REF-SSB
LOCATION: 68
CALLSIGN: F1TRE
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 80600
OPERATORS: F1TRE
CLUB: CLIPPERTON DX CLUB
NAME: CHELI
CERTIFICATE: NO
SOAPBOX: Petite participation de 9h de trafic pour cette partie phone,
SOAPBOX: propagation médiocre avec beaucoup de bruit, m mais toujours le
SOAPBOX: plaisir de donner des points aux copains.
RIG: IC 7400 + vertical 40m, dipole 80m et FB13 10/15/20.
QSO:  3673 PH 2021-02-27 0652 F1TRE         59  68     F6HQP         59  73    
QSO:  3664 PH 2021-02-27 0656 F1TRE         59  68     F4DNK         59  76    
QSO:  3677 PH 2021-02-27 0703 F1TRE         59  68     F8KHO/P       59  51    
QSO:  3624 PH 2021-02-27 0714 F1TRE         59  68     F6KNB         59  33    
QSO:  3628 PH 2021-02-27 0715 F1TRE         59  68     F6FTB         59  21    
QSO:  3679 PH 2021-02-27 0718 F1TRE         59  68     F5NUI         59  42    
QSO:  3639 PH 2021-02-27 0728 F1TRE         59  68     F5KMY         59  25    
QSO:  7134 PH 2021-02-27 1245 F1TRE         59  68     F4KMA         59  33    
QSO:  7098 PH 2021-02-27 1249 F1TRE         59  68     F6EPM         59  33    
QSO:  7082 PH 2021-02-27 1250 F1TRE         59  68     F4EQA         59  34    
QSO:  7088 PH 2021-02-27 1255 F1TRE         59  68     F4HRG         59  44    
QSO:  7116 PH 2021-02-27 1259 F1TRE         59  68     TK4RB         59  2B    
QSO:  7106 PH 2021-02-27 1302 F1TRE         59  68     F5AAR         59  49    
QSO:  7130 PH 2021-02-27 1303 F1TRE         59  68     F6IRA         59  40    
QSO:  7097 PH 2021-02-27 1305 F1TRE         59  68     F4CZV         59  82    
QSO:  7160 PH 2021-02-27 1308 F1TRE         59  68     F5OAM         59  47    
QSO:  7175 PH 2021-02-27 1310 F1TRE         59  68     F4HFX         59  47    
QSO:  7186 PH 2021-02-27 1313 F1TRE         59  68     F5PHK         59  40    
QSO:  7137 PH 2021-02-27 1317 F1TRE         59  68     F5CYM         59  35    
QSO:  7111 PH 2021-02-27 1318 F1TRE         59  68     OK2BLI        59  107   
QSO:  7120 PH 2021-02-27 1321 F1TRE         59  68     F4BXY         59  17    
QSO:  7133 PH 2021-02-27 1329 F1TRE         59  68     F6HRL         59  86    
QSO:  7138 PH 2021-02-27 1333 F1TRE         59  68     F4HRU         59  45    
QSO:  7141 PH 2021-02-27 1334 F1TRE         59  68     F6DZU         59  40    
QSO:  7149 PH 2021-02-27 1336 F1TRE         59  68     S51K          59  119   
QSO:  7153 PH 2021-02-27 1339 F1TRE         59  68     F1MZP         59  16    
QSO:  7156 PH 2021-02-27 1340 F1TRE         59  68     F4HWS         59  14    
QSO:  7162 PH 2021-02-27 1341 F1TRE         59  68     F5HIJ         59  33    
QSO:  7177 PH 2021-02-27 1343 F1TRE         59  68     F1RYW         59  32    
QSO:  7123 PH 2021-02-27 1347 F1TRE         59  68     F6APE         59  49    
QSO:  7167 PH 2021-02-27 1352 F1TRE         59  68     F4AYI         59  72    
QSO: 14129 PH 2021-02-27 1401 F1TRE         59  68     UC5C          59  243   
QSO: 14125 PH 2021-02-27 1404 F1TRE         59  68     CT7ANH        59  187   
QSO: 14175 PH 2021-02-27 1406 F1TRE         59  68     TA2IB         59  029   
QSO: 14221 PH 2021-02-27 1419 F1TRE         59  68     FR4QT         59  FR    
QSO: 14181 PH 2021-02-27 1426 F1TRE         59  68     VE2TFL        59  094   
QSO: 14239 PH 2021-02-27 1432 F1TRE         59  68     R3MBD         59  031   
QSO: 14191 PH 2021-02-27 1437 F1TRE         59  68     UR5VAA        59  021   
QSO: 14183 PH 2021-02-27 1455 F1TRE         59  68     RZ3Z          59  111   
QSO: 14259 PH 2021-02-27 1515 F1TRE         59  68     SV3RPQ        59  144   
QSO: 14164 PH 2021-02-27 1633 F1TRE         59  68     F4CWN         59  32    
QSO:  7150 PH 2021-02-27 1642 F1TRE         59  68     F4BEB         59  65    
QSO:  7088 PH 2021-02-27 1644 F1TRE         59  68     F6CZV/P       59  29    
QSO:  7115 PH 2021-02-27 1648 F1TRE         59  68     F4FJH         59  29    
QSO:  7188 PH 2021-02-27 1656 F1TRE         59  68     F6KNB         59  33    
QSO:  7157 PH 2021-02-27 1700 F1TRE         59  68     RK2F          59  091   
QSO:  7130 PH 2021-02-27 1702 F1TRE         59  68     F4GGQ         59  29    
QSO:  7102 PH 2021-02-27 1704 F1TRE         59  68     F8DNX         59  64    
QSO:  7125 PH 2021-02-27 1708 F1TRE         59  68     F4FWG         59  40    
QSO:  7117 PH 2021-02-27 1711 F1TRE         59  68     YP0C          59  407   
QSO:  7109 PH 2021-02-27 1716 F1TRE         59  68     IZ8HUW        59  050   
QSO:  3770 PH 2021-02-27 2116 F1TRE         59  68     YL3CW         59  764   
QSO:  3733 PH 2021-02-27 2121 F1TRE         59  68     F4ENJ         59  72    
QSO:  3725 PH 2021-02-27 2122 F1TRE         59  68     F4IFF         59  37    
QSO:  3749 PH 2021-02-27 2124 F1TRE         59  68     F4GET         59  44    
QSO:  3752 PH 2021-02-27 2138 F1TRE         59  68     F4KKF         59  13    
QSO:  3711 PH 2021-02-27 2140 F1TRE         59  68     F6DEV         59  09    
QSO:  3733 PH 2021-02-27 2142 F1TRE         59  68     F4GGQ         59  29    
QSO:  3742 PH 2021-02-27 2143 F1TRE         59  68     F6KRK         59  78    
QSO:  3701 PH 2021-02-27 2147 F1TRE         59  68     F6AXN         59  28    
QSO:  3625 PH 2021-02-27 2151 F1TRE         59  68     F6GLQ         59  35    
QSO:  3673 PH 2021-02-27 2205 F1TRE         59  68     F8ATM         59  81    
QSO:  3665 PH 2021-02-27 2206 F1TRE         59  68     F4GWO         59  66    
QSO:  3658 PH 2021-02-27 2209 F1TRE         59  68     F6DRQ         59  85    
QSO:  3682 PH 2021-02-27 2211 F1TRE         59  68     F5KHP         59  32    
QSO:  3637 PH 2021-02-27 2214 F1TRE         59  68     F4EQA         59  34    
QSO:  3672 PH 2021-02-27 2221 F1TRE         59  68     F4IIQ         59  23    
QSO:  3635 PH 2021-02-27 2225 F1TRE         59  68     F4SGU         59  35    
QSO:  3647 PH 2021-02-27 2227 F1TRE         59  68     F1TXI         59  79    
QSO:  3683 PH 2021-02-27 2243 F1TRE         59  68     F5JRC         59  02    
QSO:  3620 PH 2021-02-27 2248 F1TRE         59  68     F6KEH         59  34    
QSO:  3634 PH 2021-02-27 2251 F1TRE         59  68     F5ROW         59  50    
QSO:  3631 PH 2021-02-27 2253 F1TRE         59  68     F5PHW         59  56    
QSO:  3639 PH 2021-02-27 2254 F1TRE         59  68     F6IRA         59  40    
QSO:  3669 PH 2021-02-27 2311 F1TRE         59  68     F1PYN         59  69    
QSO:  3705 PH 2021-02-27 2315 F1TRE         59  68     F4GQP         59  18    
QSO:  3742 PH 2021-02-27 2322 F1TRE         59  68     F5DJL         59  74    
QSO:  3746 PH 2021-02-27 2323 F1TRE         59  68     F5JNX         59  68    
QSO:  3724 PH 2021-02-27 2343 F1TRE         59  68     F8BRL         59  60    
QSO:  3734 PH 2021-02-27 2346 F1TRE         59  68     DL5PIA        59  410   
QSO:  3752 PH 2021-02-27 2348 F1TRE         59  68     F4FPG         59  38    
QSO:  3686 PH 2021-02-27 2350 F1TRE         59  68     F5BSB         59  12    
QSO:  3678 PH 2021-02-27 2357 F1TRE         59  68     F4KKV         59  53    
QSO:  3693 PH 2021-02-28 0002 F1TRE         59  68     F1MKG         59  28    
QSO:  7086 PH 2021-02-28 0818 F1TRE         59  68     F5BTH         59  11    
QSO:  7087 PH 2021-02-28 0827 F1TRE         59  68     F5PSI         59  62    
QSO:  7122 PH 2021-02-28 0830 F1TRE         59  68     F1DUZ         59  49    
QSO:  7111 PH 2021-02-28 0944 F1TRE         59  68     F4HRM         59  79    
QSO:  7105 PH 2021-02-28 0945 F1TRE         59  68     F6GGX         59  32    
