START-OF-LOG: 3.0
CONTEST: ARRL-VHF-JAN
LOCATION: OR
CALLSIGN: K7YO
CATEGORY-MODE: MIXED
CATEGORY-BAND: ALL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CREATED-BY: VHFCONT 3.0B COPYRIGHT 6/14/2002 KEN R. MASON KC6TEU
CLUB: Pacific Northwest VHF Society
OPERATORS: K7YO
HQ-CATEGORY: Single Operator, Low Power
HQ-GRID-LOCATOR: CN85NS
QSO: 432 FM 2022-01-15 1906 K7YO CN85 N7ZZE CN85
QSO: 50 PH 2022-01-15 1909 K7YO CN85 AE7ZL CN85
QSO: 50 PH 2022-01-15 1910 K7YO CN85 K5DTC CN85
QSO: 50 PH 2022-01-15 1911 K7YO CN85 K7BDB/R CN85
QSO: 50 CW 2022-01-15 1913 K7YO CN85 K7CW CN87
QSO: 432 FM 2022-01-15 1914 K7YO CN85 K5DTC CN85
QSO: 50 PH 2022-01-15 1932 K7YO CN85 NL7GW CN85
QSO: 50 PH 2022-01-15 1933 K7YO CN85 WB7SDX CN85
QSO: 50 PH 2022-01-15 1933 K7YO CN85 W6OAL DM79
QSO: 1.2G PH 2022-01-15 1935 K7YO CN85 AE7ZL CN85
QSO: 1.2G PH 2022-01-15 1937 K7YO CN85 AI7NN CN85
QSO: 222 FM 2022-01-15 1942 K7YO CN85 K7ATN CN85
QSO: 222 FM 2022-01-15 1943 K7YO CN85 N7DB CN85
QSO: 222 FM 2022-01-15 1943 K7YO CN85 K7BDB/R CN85
QSO: 144 FM 2022-01-15 1944 K7YO CN85 K7ATN CN85
QSO: 432 FM 2022-01-15 1945 K7YO CN85 K7ATN CN85
QSO: 50 FM 2022-01-15 1946 K7YO CN85 K7ATN CN85
QSO: 144 PH 2022-01-15 1951 K7YO CN85 WA9BTV CN88
QSO: 144 PH 2022-01-15 1952 K7YO CN85 KD7UO CN87
QSO: 144 PH 2022-01-15 1953 K7YO CN85 KE7SW CN87
QSO: 144 PH 2022-01-15 1953 K7YO CN85 W7GLF CN87
QSO: 144 PH 2022-01-15 1953 K7YO CN85 N7QOZ CN87
QSO: 222 PH 2022-01-15 1955 K7YO CN85 KE7SW CN87
QSO: 222 PH 2022-01-15 1955 K7YO CN85 W7GLF CN87
QSO: 222 PH 2022-01-15 1955 K7YO CN85 W7BA CN87
QSO: 222 PH 2022-01-15 1957 K7YO CN85 N7EPD CN87
QSO: 50 PH 2022-01-15 2001 K7YO CN85 N7MYC CN85
QSO: 144 PH 2022-01-15 2016 K7YO CN85 N7NWP CN84
QSO: 144 PH 2022-01-15 2018 K7YO CN85 WA7ZWG CN88
QSO: 144 PH 2022-01-15 2019 K7YO CN85 AE7QT CN86
QSO: 432 PH 2022-01-15 2021 K7YO CN85 N7BDB/R CN87
QSO: 144 PH 2022-01-15 2021 K7YO CN85 N3EG CN86
QSO: 144 PH 2022-01-15 2023 K7YO CN85 K7BDB/R CN85
QSO: 50 PH 2022-01-15 2024 K7YO CN85 N3EG CN86
QSO: 144 PH 2022-01-15 2220 K7YO CN85 KJ7JYJ CN85
QSO: 144 PH 2022-01-15 2221 K7YO CN85 N7EPD CN87
QSO: 144 PH 2022-01-15 2226 K7YO CN85 NR7Y CN85
QSO: 144 PH 2022-01-15 2238 K7YO CN85 WZ8T CN85
QSO: 1.2G PH 2022-01-15 2240 K7YO CN85 WZ8T CN85
QSO: 432 PH 2022-01-15 2241 K7YO CN85 WZ8T CN85
QSO: 222 PH 2022-01-15 2242 K7YO CN85 WZ8T CN85
QSO: 50 PH 2022-01-15 2242 K7YO CN85 WZ8T CN85
QSO: 50 PH 2022-01-15 2245 K7YO CN85 KJ7JYJ CN85
QSO: 50 PH 2022-01-15 2245 K7YO CN85 NR7Y CN85
QSO: 1.2G PH 2022-01-15 2255 K7YO CN85 NL7GW CN85
QSO: 144 PH 2022-01-15 2300 K7YO CN85 W7SZ CN85
QSO: 1.2G PH 2022-01-15 2302 K7YO CN85 W7SZ CN85
QSO: 432 PH 2022-01-15 2304 K7YO CN85 W7SZ CN85
QSO: 50 PH 2022-01-15 2305 K7YO CN85 W7SZ CN85
QSO: 222 FM 2022-01-15 2310 K7YO CN85 WA6OEM/R CN85
QSO: 50 PH 2022-01-16 0017 K7YO CN85 W7OTL CN85
QSO: 432 PH 2022-01-16 0018 K7YO CN85 W7OTL CN85
QSO: 144 PH 2022-01-16 0019 K7YO CN85 W7OTL CN85
QSO: 144 PH 2022-01-16 0020 K7YO CN85 K7BDB/R CN95
QSO: 50 PH 2022-01-16 0021 K7YO CN85 K7BDB/R CN95
QSO: 50 PH 2022-01-16 0021 K7YO CN85 WA6OEM/R CN85
QSO: 50 PH 2022-01-16 0022 K7YO CN85 N7EPD CN87
QSO: 432 PH 2022-01-16 0023 K7YO CN85 WB7SDX CN85
QSO: 432 PH 2022-01-16 0025 K7YO CN85 WA6OEM/R CN85
QSO: 144 PH 2022-01-16 0027 K7YO CN85 K7CVU CN85
QSO: 1.2G PH 2022-01-16 0033 K7YO CN85 K7CVU CN85
QSO: 222 PH 2022-01-16 0033 K7YO CN85 K7CVU CN85
QSO: 50 PH 2022-01-16 0035 K7YO CN85 K7CVU CN85
QSO: 144 FM 2022-01-16 0038 K7YO CN85 K5KDT CN85
QSO: 144 FM 2022-01-16 0038 K7YO CN85 WB7SDX CN85
QSO: 144 FM 2022-01-16 0040 K7YO CN85 WB7UFJ CN85
QSO: 1.2G PH 2022-01-16 0052 K7YO CN85 KB7ME CN85
QSO: 144 PH 2022-01-16 0100 K7YO CN85 W7FI CN87
QSO: 144 PH 2022-01-16 0240 K7YO CN85 AD7MC CN85
QSO: 432 FM 2022-01-16 0243 K7YO CN85 AD7MC CN85
QSO: 50 PH 2022-01-16 0245 K7YO CN85 AD7MC CN85
QSO: 50 PH 2022-01-16 0249 K7YO CN85 WA8ZNC CN85
QSO: 50 PH 2022-01-16 0250 K7YO CN85 WB7VTY CN95
QSO: 144 PH 2022-01-16 0252 K7YO CN85 WB7VTY CN95
QSO: 144 PH 2022-01-16 0259 K7YO CN85 K7CX CN87
QSO: 144 PH 2022-01-16 0459 K7YO CN85 N7MWV CN86
QSO: 144 PH 2022-01-16 1602 K7YO CN85 W7PWP CN96
QSO: 1.2G PH 2022-01-16 1701 K7YO CN85 KE7SW CN87
QSO: 144 PH 2022-01-16 1712 K7YO CN85 AH6LE CN85
