START-OF-LOG: 2.0
CATEGORY: Multi-OP
CONTEST: WAE RTTY
ARRL-SECTION: MDC
CALLSIGN: K3MTR
CLUB: POTOMAC VALLEY RADIO CLUB
CLAIMED-SCORE: 993234
OPERATORS: AC3BU K3MTR WA3EKL K0OO KB3IKC ND3D KA6PNL KB3VQC K6ZO N3DPB
CREATED-BY: N1MM Logger+ 1.0.8006.0, modified by DXHF upload.
QSO:  3597 RY 2019-11-09 0004 K3MTR         599 0001   OK1KSL        599 0006
QSO:  7041 RY 2019-11-09 0006 K3MTR         599 0001   G4RS          599 0002
QSO:  7041 RY 2019-11-09 0007 K3MTR         599 0002   SO7T          599 0002
QSO:  3594 RY 2019-11-09 0007 K3MTR         599 0003   UZ2I          599 0010
QSO:  3592 RY 2019-11-09 0012 K3MTR         599 0004   SN7Q          599 0022
QSO:  7041 RY 2019-11-09 0013 K3MTR         599 0005   VE5MX         599 0022
QSO:  7041 RY 2019-11-09 0016 K3MTR         599 0007   N7WY          599 0007
QSO:  7041 RY 2019-11-09 0017 K3MTR         599 0008   W4HM          599 0003
QSO:  7041 RY 2019-11-09 0021 K3MTR         599 0009   DM6DX         599 0001
QSO:  3589 RY 2019-11-09 0025 K3MTR         599 0006   DJ8VH         599 0022
QSO:  3595 RY 2019-11-09 0026 K3MTR         599 0011   MN0M          599 0014
QSO:  7038 RY 2019-11-09 0027 K3MTR         599 0010   VE2FK         599 0029
QSO:  3598 RY 2019-11-09 0028 K3MTR         599 0013   ON6MX         599 0019
QSO:  7041 RY 2019-11-09 0029 K3MTR         599 0012   DP7D          599 0032
QSO:  7042 RY 2019-11-09 0035 K3MTR         599 0014   DP9A          599 0058
QSO:  7044 RY 2019-11-09 0037 K3MTR         599 0016   LX7I          599 0044
QSO:  7046 RY 2019-11-09 0038 K3MTR         599 0017   LZ5K          599 0030
QSO:  7041 RY 2019-11-09 0054 K3MTR         599 0018   IW3RUA        599 0041
QSO: 14086 RY 2019-11-09 0056 K3MTR         599 0015   PY2NY         599 0017
QSO:  7046 RY 2019-11-09 0057 K3MTR         599 0019   K5AM          599 0031
QSO:  7047 RY 2019-11-09 0101 K3MTR         599 0020   GW0A          599 0045
QSO:  7041 RY 2019-11-09 0110 K3MTR         599 0022   EA8DED        599 0057
QSO:  7041 RY 2019-11-09 0111 K3MTR         599 0023   K6MMM         599 0064
QSO: 14087 RY 2019-11-09 0114 K3MTR         599 0021   RU0LL         599 0037
QSO:  7045 RY 2019-11-09 0115 K3MTR         599 0024   DJ8VH         599 0050
QSO:  3590 RY 2019-11-09 0126 K3MTR         599 0026   VE2FK         599 0074
QSO:  7039 RY 2019-11-09 0127 K3MTR         599 0025   VE2CSM        599 0026
QSO:  3587 RY 2019-11-09 0128 K3MTR         599 0027   NS4X          599 0059
