START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: KA3MTT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KA3MTT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2015.
QSO: 21000 PH 2015-03-28 1600 KA3MTT        59 NR7DX         59 1278
QSO: 21244 PH 2015-03-28 1608 KA3MTT        59 002 G5O           59 0410
QSO: 21276 PH 2015-03-28 1614 KA3MTT        59 003 IR4M          59 1925
QSO: 21290 PH 2015-03-28 1616 KA3MTT        59 004 TM0T          59 1258
QSO: 14188 PH 2015-03-28 1618 KA3MTT        59 5 NN5Z          59 64
QSO: 28328 PH 2015-03-28 1626 KA3MTT        59 006 TM5A          59 0454
QSO: 28334 PH 2015-03-28 1627 KA3MTT        59 007 P40L          59 2066
QSO: 28413 PH 2015-03-28 1630 KA3MTT        59 008 6Y4W          59 1600
QSO: 28439 PH 2015-03-28 1650 KA3MTT        59 009 9A73A         59 1646
QSO: 28482 PH 2015-03-28 1651 KA3MTT        59 0101 NP2P          59 1093
QSO: 28486 PH 2015-03-28 1651 KA3MTT        59 0011 E7DX          59 2377
QSO: 28495 PH 2015-03-28 1652 KA3MTT        59 012 CN3A          59 1518
QSO: 28498 PH 2015-03-28 1653 KA3MTT        59 0013 D4C           59 1677
QSO: 28519 PH 2015-03-28 1656 KA3MTT        59 014 IW2HAJ        59 1331
QSO: 28000 PH 2015-03-28 1704 KA3MTT        59 015 CT2IVH        59 0258
QSO: 28363 PH 2015-03-28 1706 KA3MTT        59 0016 S55T          59 1324
QSO: 21219 PH 2015-03-28 1715 KA3MTT        59 0017 K0DU          59 1583
QSO: 21000 PH 2015-03-28 1718 KA3MTT        59 019 IZ8EPX        59 1618
QSO: 28334 PH 2015-03-28 1751 KA3MTT        59 0020 W6SX          59 0192
QSO: 28392 PH 2015-03-28 1754 KA3MTT        59 021 PJ2T          59 1159
QSO: 28407 PH 2015-03-28 1754 KA3MTT        59 0022 AD7JP         59 0813
QSO: 28417 PH 2015-03-28 1755 KA3MTT        59 0023 KE2VB         59 0969
QSO: 28436 PH 2015-03-28 1756 KA3MTT        59 024 EB3CW         59 1929
QSO: 28451 PH 2015-03-28 1758 KA3MTT        59 025 F6FYA         59 0432
QSO: 28356 PH 2015-03-28 1912 KA3MTT        59 026 DQ8N          59 0823
QSO: 28389 PH 2015-03-28 1913 KA3MTT        59 0027 KR7X          59 0141
QSO: 28404 PH 2015-03-28 1914 KA3MTT        59 028 WC6H          59 0428
QSO: 28423 PH 2015-03-28 1915 KA3MTT        59 0029 XE2B          59 0746
QSO: 21227 PH 2015-03-28 1917 KA3MTT        59 030 UW1M          59 2344
QSO: 21299 PH 2015-03-28 1927 KA3MTT        59 031 9A1A          59 1533
QSO: 21320 PH 2015-03-28 1940 KA3MTT        59 32 IT9XTP        59 1057
QSO: 14200 PH 2015-03-28 2035 KA3MTT        59 033 9A1A          59 1880
QSO: 21000 PH 2015-03-28 2041 KA3MTT        59 035 KI7M          59 377
QSO: 21382 PH 2015-03-28 2042 KA3MTT        59 0037 DP9Z          59 0185
QSO: 21349 PH 2015-03-28 2049 KA3MTT        59 0038 K5RZA         59 0106
QSO: 21279 PH 2015-03-28 2054 KA3MTT        59 0039 KO7X          59 0185
QSO: 28417 PH 2015-03-28 2057 KA3MTT        59 0040 KX7YT         59 0174
QSO: 14166 PH 2015-03-28 2103 KA3MTT        59 0042 WU2X          59 1290
QSO: 14180 PH 2015-03-28 2104 KA3MTT        59 043 LZ9W          59 1961
QSO: 14218 PH 2015-03-28 2105 KA3MTT        59 044 NR5M          59 1648
QSO: 14224 PH 2015-03-28 2106 KA3MTT        59 0045 IO2X          59 1901
QSO: 21239 PH 2015-03-28 2111 KA3MTT        59 47 W0OVM         59 205
QSO: 21238 PH 2015-03-28 2114 KA3MTT        59 0049 AF0E          59 0289
QSO: 21238 PH 2015-03-28 2117 KA3MTT        59 0050 VA7QLT        59 0057
QSO: 21000 PH 2015-03-28 2120 KA3MTT        59 052 JA7QVI        59 450
QSO: 21222 PH 2015-03-29 1451 KA3MTT        59 053 KX7M          59 2501
QSO: 21245 PH 2015-03-29 1453 KA3MTT        59 054 WC6H          59 0922
QSO: 21278 PH 2015-03-29 1454 KA3MTT        59 055 NX6T          59 0693
