START-OF-LOG: 3.0
CALLSIGN: IZ0IRH
CATEGORY-OPERATOR: SINGLE-OP ALL LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: LOW
CLAIMED-SCORE:
CONTEST: REF-SSB
CREATED-BY: Contest LogChecker v2.6 [www.contestlogchecker.com]
LOCATION: DX
NAME: Mario Greco
SOAPBOX: FT-2000 100W WINDOM auto-rendu merci à tous les amis de
SOAPBOX: votre patience parce que je ne sais pas la langue française
QSO:  7124 PH 2013-02-23 1840 IZ0IRH        59  001    F4GGQ         59  29
QSO:  7140 PH 2013-02-23 1847 IZ0IRH        59  002    TM5E          59  29
QSO:  7148 PH 2013-02-23 1848 IZ0IRH        59  003    TM2B          59  03
QSO:  7175 PH 2013-02-23 1851 IZ0IRH        59  004    F5AMH         59  41
QSO:  7090 PH 2013-02-23 1856 IZ0IRH        59  005    F4FFH         59  40
QSO:  7096 PH 2013-02-23 1858 IZ0IRH        59  006    F5KEQ         59  44
QSO:  7084 PH 2013-02-23 1900 IZ0IRH        59  007    F6KNB         59  33
QSO:  7053 PH 2013-02-23 1902 IZ0IRH        59  008    F8KCF         59  74
QSO:  7114 PH 2013-02-23 1907 IZ0IRH        59  009    F6KFV         59  78
QSO:  7120 PH 2013-02-23 1914 IZ0IRH        59  010    F5OWT         59  45
QSO:  7105 PH 2013-02-23 1915 IZ0IRH        59  011    TM6D          59  29
QSO:  7112 PH 2013-02-23 1925 IZ0IRH        59  012    F1PYN         59  69
QSO:  3683 PH 2013-02-23 2048 IZ0IRH        59  013    F5KDK/P       59  24
QSO:  3712 PH 2013-02-23 2051 IZ0IRH        59  014    F6GDO         59  73
QSO:  3777 PH 2013-02-23 2115 IZ0IRH        59  015    F1NZC         59  63
QSO: 14160 PH 2013-02-24 0948 IZ0IRH        59  016    F6KNB         59  33
QSO: 14215 PH 2013-02-24 0951 IZ0IRH        59  017    TM55M         59  55
QSO: 14218 PH 2013-02-24 0953 IZ0IRH        59  018    F5ADE         59  36
QSO: 14237 PH 2013-02-24 0954 IZ0IRH        59  019    F5VNB         59  47
QSO: 14189 PH 2013-02-24 0957 IZ0IRH        59  020    F6GNG         59  27
QSO: 14182 PH 2013-02-24 0959 IZ0IRH        59  021    TM5OTT        59  37
QSO: 14179 PH 2013-02-24 1001 IZ0IRH        59  022    TM5E          59  59
END-OF-LOG:
