START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.10.0
CONTEST: REF-SSB
LOCATION: DX
CALLSIGN: DF8XC
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 4424
OFFTIME: 2013-02-23 1752 2013-02-23 2219
OFFTIME: 2013-02-23 2234 2013-02-24 1303
OFFTIME: 2013-02-24 1336 2013-02-24 1548
OPERATORS: 
CLUB: Rhein Ruhr DX Association
NAME: Burkhard Berenbrink
SOAPBOX: 
RIG: Station :Icom 761;  Antennen: GP and Dipol; Power 100 Watt
QSO:  7088 PH 2013-02-23 1648 DF8XC         59  001    F5KKD         59  93    
QSO:  7106 PH 2013-02-23 1652 DF8XC         59  002    TM10WAP       59  42    
QSO: 21257 PH 2013-02-23 1706 DF8XC         59  003    FY5KE         59  FY    
QSO: 21264 PH 2013-02-23 1707 DF8XC         59  004    FM5AN         59  FM    
QSO: 14139 PH 2013-02-23 1716 DF8XC         59  005    TK5KP         59  2A    
QSO: 14149 PH 2013-02-23 1724 DF8XC         59  006    F6REF         59  00    
QSO: 14185 PH 2013-02-23 1728 DF8XC         59  007    TM2T          59  13    
QSO:  7097 PH 2013-02-23 1752 DF8XC         59  008    F5KOK         59  86    
QSO:  3605 PH 2013-02-23 2219 DF8XC         59  009    F6KJG         59  10    
QSO:  3767 PH 2013-02-23 2220 DF8XC         59  010    TM2T          59  13    
QSO:  3720 PH 2013-02-23 2222 DF8XC         59  011    F5KCC         59  89    
QSO:  3686 PH 2013-02-23 2223 DF8XC         59  012    F6GOX         59  75    
QSO:  3702 PH 2013-02-23 2224 DF8XC         59  013    F5OWT         59  45    
QSO:  3729 PH 2013-02-23 2225 DF8XC         59  014    F6KBF         59  78    
QSO:  3683 PH 2013-02-23 2227 DF8XC         59  015    F5KDK/P       59  24    
QSO:  3635 PH 2013-02-23 2228 DF8XC         59  016    F5KEQ         59  44    
QSO:  3708 PH 2013-02-23 2229 DF8XC         59  017    TM57M         59  57    
QSO:  3674 PH 2013-02-23 2230 DF8XC         59  018    TM5E          59  59    
QSO:  3793 PH 2013-02-23 2231 DF8XC         59  019    F4BYB         59  02    
QSO:  3748 PH 2013-02-23 2234 DF8XC         59  020    F8KKH         59  59    
QSO:  7133 PH 2013-02-24 1303 DF8XC         59  021    F4GVZ         59  14    
QSO: 28480 PH 2013-02-24 1309 DF8XC         59  022    FM5AN         59  FM    
QSO: 28498 PH 2013-02-24 1310 DF8XC         59  023    FM5WD         59  FM    
QSO: 28470 PH 2013-02-24 1312 DF8XC         59  024    FY5KE         59  FY    
QSO: 28486 PH 2013-02-24 1336 DF8XC         59  025    FG4KH         59  FG    
QSO:  7054 PH 2013-02-24 1548 DF8XC         59  026    TM5TT         59  21    
QSO:  7194 PH 2013-02-24 1550 DF8XC         59  027    F8BUI         59  45    
