START-OF-LOG: 3.0
CONTEST: IARU-HF
LOCATION: DX
CALLSIGN: Z30HQ
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CREATED-BY: DXLOG.NET V2.4.27
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-STATION: HQ
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
OPERATORS: Z30A Z31NA Z31RM Z31RQ Z32ID Z32U Z33RW Z35F Z35T Z35W Z39Z
HQ-CATEGORY: IARU Headquarters Stations
HQ-GRID-LOCATOR: KN11bs
QSO: 14000 CW 2020-07-11 1201 Z30HQ 599 RSM HA5BA 599 28 0
QSO: 14000 CW 2020-07-11 1202 Z30HQ 599 RSM UR7MZ 599 29 0
QSO: 14000 CW 2020-07-11 1202 Z30HQ 599 RSM UA6LCN 599 29 0
QSO: 14000 CW 2020-07-11 1203 Z30HQ 599 RSM RT4M 599 29 0
QSO: 14000 CW 2020-07-11 1203 Z30HQ 599 RSM HG6N 599 28 0
QSO: 14000 CW 2020-07-11 1204 Z30HQ 599 RSM OK2OP 599 28 0
QSO: 14000 CW 2020-07-11 1204 Z30HQ 599 RSM SO0N 599 28 0
QSO: 14000 CW 2020-07-11 1205 Z30HQ 599 RSM DL8UUF 599 28 0
QSO: 14000 CW 2020-07-11 1205 Z30HQ 599 RSM HA7I 599 28 0
QSO: 14000 CW 2020-07-11 1205 Z30HQ 599 RSM OK1PFM 599 28 0
QSO: 14000 CW 2020-07-11 1206 Z30HQ 599 RSM UR7HN 599 29 0
QSO: 14000 CW 2020-07-11 1206 Z30HQ 599 RSM UR5KO 599 29 0
QSO: 14000 CW 2020-07-11 1207 Z30HQ 599 RSM R1ZM 599 19 0
QSO: 14000 CW 2020-07-11 1208 Z30HQ 599 RSM K1LT 599 08 0
QSO: 14000 CW 2020-07-11 1208 Z30HQ 599 RSM LY4G 599 29 0
QSO: 14000 CW 2020-07-11 1209 Z30HQ 599 RSM DM6WAN 599 28 0
QSO: 14000 CW 2020-07-11 1209 Z30HQ 599 RSM OK6OK 599 28 0
QSO: 14000 CW 2020-07-11 1210 Z30HQ 599 RSM SM0N 599 18 0
QSO: 14000 CW 2020-07-11 1211 Z30HQ 599 RSM WJ2D 599 08 0
QSO: 14000 CW 2020-07-11 1212 Z30HQ 599 RSM UR7QM 599 29 0
QSO: 14000 CW 2020-07-11 1212 Z30HQ 599 RSM OM5NU 599 28 0
QSO: 14000 CW 2020-07-11 1212 Z30HQ 599 RSM OK1HFM 599 28 0
QSO: 28000 CW 2020-07-11 1213 Z30HQ 599 RSM SK9HQ 599 SSA 1
QSO: 14000 CW 2020-07-11 1213 Z30HQ 599 RSM DL4SDW 599 28 0
QSO: 14000 CW 2020-07-11 1213 Z30HQ 599 RSM HA6NL 599 28 0
QSO: 14000 CW 2020-07-11 1213 Z30HQ 599 RSM UT3QU 599 29 0
QSO: 14000 CW 2020-07-11 1214 Z30HQ 599 RSM R3QA 599 29 0
QSO: 14000 CW 2020-07-11 1214 Z30HQ 599 RSM YO4AAC 599 28 0
QSO: 28000 CW 2020-07-11 1215 Z30HQ 599 RSM LY0HQ 599 LRMD 1
QSO: 14000 CW 2020-07-11 1215 Z30HQ 599 RSM DL3JAN 599 28 0
QSO: 14000 CW 2020-07-11 1215 Z30HQ 599 RSM US1VM 599 29 0
QSO: 14000 CW 2020-07-11 1216 Z30HQ 599 RSM UA3KW 599 29 0
QSO: 14000 CW 2020-07-11 1216 Z30HQ 599 RSM US3IZ 599 29 0
QSO: 14000 CW 2020-07-11 1216 Z30HQ 599 RSM EW2A 599 29 0
QSO: 14000 CW 2020-07-11 1217 Z30HQ 599 RSM UG4A 599 29 0
QSO: 14000 CW 2020-07-11 1217 Z30HQ 599 RSM DL8AWK 599 28 0
QSO: 14000 CW 2020-07-11 1217 Z30HQ 599 RSM UT3IZ 599 29 0
QSO: 14000 CW 2020-07-11 1218 Z30HQ 599 RSM LY3CY 599 29 0
QSO: 14000 CW 2020-07-11 1219 Z30HQ 599 RSM DL1SL 599 28 0
QSO: 14000 CW 2020-07-11 1219 Z30HQ 599 RSM DM7AA 599 28 0
QSO: 14000 CW 2020-07-11 1220 Z30HQ 599 RSM EW8DX 599 29 0
QSO: 14000 CW 2020-07-11 1220 Z30HQ 599 RSM HB9EXR 599 28 0
QSO: 14000 CW 2020-07-11 1221 Z30HQ 599 RSM YO4FHU 599 28 0
QSO: 14000 CW 2020-07-11 1221 Z30HQ 599 RSM OM3CPF 599 28 0
QSO: 21029 CW 2020-07-11 1222 Z30HQ 599 RSM YL2CV 599 29 0
QSO: 14000 CW 2020-07-11 1222 Z30HQ 599 RSM RX3N 599 29 0
QSO: 21029 CW 2020-07-11 1222 Z30HQ 599 RSM SO50WD 599 28 0
QSO: 14000 CW 2020-07-11 1222 Z30HQ 599 RSM SN0HQ 599 PZK 0
QSO: 14000 CW 2020-07-11 1223 Z30HQ 599 RSM DL7UDA 599 28 0
QSO: 21029 CW 2020-07-11 1224 Z30HQ 599 RSM DK3WE 599 28 0
QSO: 21029 CW 2020-07-11 1224 Z30HQ 599 RSM OL8M 599 28 0
QSO: 14000 CW 2020-07-11 1225 Z30HQ 599 RSM IU1LCU 599 28 0
QSO: 14000 CW 2020-07-11 1225 Z30HQ 599 RSM UA4M 599 29 0
QSO: 14000 CW 2020-07-11 1226 Z30HQ 599 RSM UT3N 599 29 0
QSO: 14000 CW 2020-07-11 1226 Z30HQ 599 RSM HA1SN 599 28 0
QSO: 21029 CW 2020-07-11 1227 Z30HQ 599 RSM SP7CF 599 28 0
QSO: 14000 CW 2020-07-11 1227 Z30HQ 599 RSM YL2QN 599 29 0
QSO: 14000 CW 2020-07-11 1227 Z30HQ 599 RSM DL4ZBY 599 28 0
QSO: 14000 CW 2020-07-11 1228 Z30HQ 599 RSM YR0HQ 599 FRR 0
QSO: 14000 CW 2020-07-11 1228 Z30HQ 599 RSM SP1NY 599 28 0
