START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: YE1GD
CLUB:
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 75330
OPERATORS: YE1GD
SOAPBOX: Radio: Kenwood TS-570D, Power: 100 watt, Antenna: Vertical (7 Band)
NAME: Gatot TOD Dewanto
CREATED-BY: N1MM Logger+ 1.0.4786.0
QSO: 21000 PH 2015-03-28 0005 YE1GD         59  0001   BD4FFM        59  0003
QSO: 21000 PH 2015-03-28 0008 YE1GD         59  0002   BD7LMD        59  0008
QSO: 28000 PH 2015-03-28 0015 YE1GD         59  0003   AK5DX         59  0017
QSO: 28000 PH 2015-03-28 0016 YE1GD         59  0004   VK6NC         59  0012
QSO: 28000 PH 2015-03-28 0019 YE1GD         59  0005   WC6H          59  0054
QSO: 28000 PH 2015-03-28 0022 YE1GD         59  0006   4D1R          59  0053
QSO: 21000 PH 2015-03-28 0030 YE1GD         59  0007   9M2M          59  0032
QSO: 21000 PH 2015-03-28 0032 YE1GD         59  0008   9M6SDX        59  0024
QSO: 21000 PH 2015-03-28 0037 YE1GD         59  0009   JA3YBK        59  0098
QSO: 21000 PH 2015-03-28 0039 YE1GD         59  0010   BV9AYA        59  0022
QSO: 21000 PH 2015-03-28 0042 YE1GD         59  0011   E20QVD/5      59  0008
QSO: 21000 PH 2015-03-28 0047 YE1GD         59  0012   BA7IO         59  0006
QSO: 21000 PH 2015-03-28 0051 YE1GD         59  0013   BD7OB         59  0029
QSO: 21000 PH 2015-03-28 0053 YE1GD         59  0014   BA7JA         59  0121
QSO: 28000 PH 2015-03-28 0138 YE1GD         59  0015   UA0IDZ        59  0204
QSO: 21000 PH 2015-03-28 0151 YE1GD         59  0016   JH4UYB        59  0165
QSO: 21000 PH 2015-03-28 0939 YE1GD         59  0017   JR3RIY        59  0233
QSO: 21000 PH 2015-03-28 0940 YE1GD         59  0018   HS0AC         59  0160
QSO: 21000 PH 2015-03-28 0947 YE1GD         59  0019   HS0ZCW        59  0567
QSO: 21000 PH 2015-03-28 0949 YE1GD         59  0020   VK4KW         59  0606
QSO: 28000 PH 2015-03-28 0958 YE1GD         59  0021   JH4UYB        59  0818
QSO: 28000 PH 2015-03-28 1000 YE1GD         59  0022   HS5AC         59  0153
QSO: 28000 PH 2015-03-28 1004 YE1GD         59  0023   JA3YBK        59  0401
QSO: 28000 PH 2015-03-28 1011 YE1GD         59  0024   EI7M          59  1470
QSO: 28000 PH 2015-03-28 1013 YE1GD         59  0025   DK5QN         59  0181
QSO: 28000 PH 2015-03-28 1016 YE1GD         59  0026   DH8BQA        59  0233
QSO: 28000 PH 2015-03-28 1017 YE1GD         59  0027   HG7T          59  0121
QSO: 28000 PH 2015-03-28 1019 YE1GD         59  0028   HS5SRH        59  0397
QSO: 28000 PH 2015-03-28 1023 YE1GD         59  0029   DX9M          59  0058
QSO: 28000 PH 2015-03-28 1033 YE1GD         59  0030   LZ4TX         59  0357
QSO: 28000 PH 2015-03-28 1046 YE1GD         59  0031   VK4QH         59  0419
QSO: 28000 PH 2015-03-28 1047 YE1GD         59  0032   HS0ZHC        59  0599
QSO: 28000 PH 2015-03-28 1123 YE1GD         59  0033   OK4PA         59  0352
QSO: 28000 PH 2015-03-28 1129 YE1GD         59  0034   YQ6A          59  0369
QSO: 28000 PH 2015-03-28 1131 YE1GD         59  0035   A65BP         59  1302
QSO:  7000 PH 2015-03-28 1140 YE1GD         59  0036   NF6A          59  0955
QSO:  7000 PH 2015-03-28 1146 YE1GD         59  0037   KX7M          59  1043
QSO:  7000 PH 2015-03-28 1239 YE1GD         59  0038   K0DU          59  1194
QSO:  7000 PH 2015-03-28 1241 YE1GD         59  0039   HS0ZCW        59  0697
QSO:  7000 PH 2015-03-28 1244 YE1GD         59  0040   KG0F          59  0975
QSO:  7000 PH 2015-03-28 1251 YE1GD         59  0041   JI0ZJS        59  0048
QSO:  7000 PH 2015-03-28 1253 YE1GD         59  0042   9M4CC         59  0380
QSO: 14000 PH 2015-03-28 1302 YE1GD         59  0043   W8TA          59  0045
QSO: 14000 PH 2015-03-28 1303 YE1GD         59  0044   VC6K          59  1192
QSO: 14000 PH 2015-03-28 1307 YE1GD         59  0045   UV5U          59  0351
QSO: 14000 PH 2015-03-28 1311 YE1GD         59  0046   YE2C          59  0065
QSO: 14000 PH 2015-03-28 1330 YE1GD         59  0047   RA4LO         59  0027
QSO: 14000 PH 2015-03-28 1331 YE1GD         59  0048   VK4KW         59  0400
QSO:  7000 PH 2015-03-28 1335 YE1GD         59  0049   WC6H          59  0612
QSO:  7000 PH 2015-03-28 1338 YE1GD         59  0050   9V1YC         59  0026
QSO:  7000 PH 2015-03-28 1343 YE1GD         59  0051   BI4SSB        59  0943
QSO:  7000 PH 2015-03-28 1348 YE1GD         59  0052   9M2M          59  0022
QSO:  7000 PH 2015-03-28 1359 YE1GD         59  0053   YE2C          59  0250
QSO:  7000 PH 2015-03-28 1401 YE1GD         59  0054   A71BX         59  0243
QSO:  7000 PH 2015-03-28 1406 YE1GD         59  0055   HS4ROI        59  0138
QSO:  7000 PH 2015-03-28 1408 YE1GD         59  0056   HS0ZHC        59  0762
QSO: 14000 PH 2015-03-28 1432 YE1GD         59  0057   9M2M          59  0225
QSO: 14000 PH 2015-03-28 1434 YE1GD         59  0058   OH1F          59  1358
QSO: 14000 PH 2015-03-28 1438 YE1GD         59  0059   S56M          59  0720
QSO: 14000 PH 2015-03-28 1441 YE1GD         59  0060   SO4M          59  0835
QSO: 14000 PH 2015-03-28 1444 YE1GD         59  0061   SK3W          59  1010
QSO: 14000 PH 2015-03-28 1446 YE1GD         59  0062   HA3JV         59  0825
QSO: 14000 PH 2015-03-28 1447 YE1GD         59  0063   DU1JM         59  0098
QSO: 14000 PH 2015-03-28 1455 YE1GD         59  0064   BV0J          59  1023
QSO: 14000 PH 2015-03-28 1500 YE1GD         59  0065   9K9Z          59  0869
QSO: 14000 PH 2015-03-28 1504 YE1GD         59  0066   BA7JA         59  1383
QSO: 14000 PH 2015-03-28 1509 YE1GD         59  0067   BI4SSB        59  1032
