START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.16.0
CONTEST: CQ-WPX-SSB
LOCATION: DX
CALLSIGN: I2WIJ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 49140
CLUB: ITALIAN CONTEST CLUB
OPERATORS:
NAME: Roberto SORO
SOAPBOX: As usual, no time for this contest. 73. Bob, I2WIJ
QSO: 21335 PH 2015-03-28 2001 I2WIJ         59  0001   D4C           59  1899
QSO: 21397 PH 2015-03-28 2008 I2WIJ         59  0002   CN2AA         59  2457
QSO: 21417 PH 2015-03-28 2010 I2WIJ         59  0003   XL3A          59  2125
QSO: 21441 PH 2015-03-28 2011 I2WIJ         59  0004   PJ2T          59  1298
QSO: 21445 PH 2015-03-28 2013 I2WIJ         59  0005   NV1N          59  1889
QSO: 21415 PH 2015-03-28 2013 I2WIJ         59  0006   N3RR          59  556
QSO: 21410 PH 2015-03-28 2013 I2WIJ         59  0007   EA8/RA1A      59  2000
QSO: 21401 PH 2015-03-28 2015 I2WIJ         59  0008   TO4C          59  1865
QSO: 21394 PH 2015-03-28 2017 I2WIJ         59  0009   CT9/R9DX      59  2361
QSO: 21374 PH 2015-03-28 2019 I2WIJ         59  0010   KP4RV         59  465
QSO: 21362 PH 2015-03-28 2020 I2WIJ         59  0011   OK8NM         59  1445
QSO: 21297 PH 2015-03-28 2023 I2WIJ         59  0012   IZ1RYS        59  753
QSO: 21283 PH 2015-03-28 2026 I2WIJ         59  0013   KX7M          59  1426
QSO: 21281 PH 2015-03-28 2027 I2WIJ         59  0014   7QAA          59  1618
QSO: 21275 PH 2015-03-28 2028 I2WIJ         59  0015   CN3A          59  2017
QSO: 21260 PH 2015-03-28 2030 I2WIJ         59  0016   YV4KW         59  757
QSO: 21264 PH 2015-03-28 2031 I2WIJ         59  0017   WU3A          59  1456
QSO: 21251 PH 2015-03-28 2032 I2WIJ         59  0018   WW0WWW        59  652
QSO: 21239 PH 2015-03-28 2033 I2WIJ         59  0019   K1AR          59  299
QSO: 21237 PH 2015-03-28 2033 I2WIJ         59  0020   CE3WW         59  659
QSO: 21227 PH 2015-03-28 2034 I2WIJ         59  0021   TG9IIN        59  380
QSO: 21209 PH 2015-03-28 2035 I2WIJ         59  0022   WW2Y          59  1979
QSO: 21203 PH 2015-03-28 2041 I2WIJ         59  0023   WX3B          59  1026
QSO: 21194 PH 2015-03-28 2044 I2WIJ         59  0024   VC6K          59  1946
