START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: OE2IJL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: HALLEIN
CLAIMED-SCORE: 3268
CREATED-BY: UcxLog 7.49
OPERATORS: OE2IJL
NAME: Eberhard ILLMER
SOAPBOX: Nice Contest, lot of stations there, but less time SRI oe2ijl
QSO: 14000 PH 2015-03-28 0602 OE2IJL        59  001    SZ3P          59  498    0
QSO: 14000 PH 2015-03-28 0607 OE2IJL        59  002    TC2C          59  433    0
QSO: 14000 PH 2015-03-28 0609 OE2IJL        59  003    D4C           59  1215   0
QSO: 14000 PH 2015-03-28 0612 OE2IJL        59  004    LZ3ZZ         59  496    0
QSO: 14000 PH 2015-03-28 0618 OE2IJL        59  005    SX9C          59  525    0
QSO: 14000 PH 2015-03-28 0621 OE2IJL        59  006    OH1F          59  648    0
QSO: 14000 PH 2015-03-28 0630 OE2IJL        59  007    UW1M          59  720    0
QSO: 14000 PH 2015-03-28 0635 OE2IJL        59  008    C4A           59  917    0
QSO: 14000 PH 2015-03-28 0637 OE2IJL        59  009    YP0C          59  592    0
QSO: 14000 PH 2015-03-28 0639 OE2IJL        59  010    EA4TD         59  167    0
QSO: 21000 PH 2015-03-28 0641 OE2IJL        59  011    9K2HN         59  251    0
QSO: 21000 PH 2015-03-28 0642 OE2IJL        59  012    5E5E          59  107    0
QSO: 21000 PH 2015-03-28 0643 OE2IJL        59  013    UW5Q          59  227    0
QSO: 21000 PH 2015-03-28 0934 OE2IJL        59  014    D4C           59  395    0
QSO: 21000 PH 2015-03-28 1213 OE2IJL        59  015    UW7LL         59  0168   0
QSO: 28000 PH 2015-03-28 1228 OE2IJL        59  016    TA5FA         59  109    0
QSO: 28000 PH 2015-03-28 1230 OE2IJL        59  017    HI3TEJ        59  737    0
QSO: 28000 PH 2015-03-28 1635 OE2IJL        59  018    YV1KK         59  874    0
QSO: 28000 PH 2015-03-28 1649 OE2IJL        59  019    PJ4DX         59  1758   0
QSO: 28000 PH 2015-03-28 1719 OE2IJL        59  020    WP4X          59  1742   0
QSO:  3500 PH 2015-03-29 0537 OE2IJL        59  021    EI7M          59  3960   0
QSO: 21000 PH 2015-03-29 1501 OE2IJL        59  022    KP4BD         59  1481   0
QSO:  7000 PH 2015-03-29 1517 OE2IJL        59  023    SN3A          59  1389   0
QSO:  7000 PH 2015-03-29 1519 OE2IJL        59  024    OE2MON        59  1065   0
QSO: 21000 PH 2015-03-29 1533 OE2IJL        59  025    7Q2A          59  1963   0
QSO: 21000 PH 2015-03-29 1538 OE2IJL        59  026    A21BX         59  1880   0
QSO: 21000 PH 2015-03-29 1539 OE2IJL        59  027    WP2Z          59  2957   0
QSO: 21000 PH 2015-03-29 1540 OE2IJL        59  028    OM2VL         59  2356   0
QSO: 21000 PH 2015-03-29 1542 OE2IJL        59  029    9M4DX         59  1335   0
QSO: 21000 PH 2015-03-29 1546 OE2IJL        59  030    J79MM         59  1284   0
QSO: 21000 PH 2015-03-29 1551 OE2IJL        59  031    HS3ANP        59  419    0
QSO: 21000 PH 2015-03-29 1553 OE2IJL        59  032    EE7Y          59  1814   0
QSO: 21000 PH 2015-03-29 1607 OE2IJL        59  033    9Y4W          59  4994   0
QSO:  7000 PH 2015-03-29 1625 OE2IJL        59  034    IT9STX        59  894    0
QSO:  3500 PH 2015-03-29 1626 OE2IJL        59  035    DL8AKA        59  258    0
QSO: 28000 PH 2015-03-29 1633 OE2IJL        59  036    TO4C          59  3202   0
QSO: 28000 PH 2015-03-29 1637 OE2IJL        59  037    SP8K          59  1283   0
QSO:  3500 PH 2015-03-29 1645 OE2IJL        59  038    LZ9W          59  828    0
QSO: 28000 PH 2015-03-29 1648 OE2IJL        59  039    TO6D          59  505    0
END-OF-LOG:
