START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.14.0
CONTEST: CQ-WPX-SSB
LOCATION: DX
CALLSIGN: TM1A
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: TWO
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 9104522
OPERATORS: F6DZS, F8ATS, F4GLQ, F4BDG, F4GTD, 9V1RM, F4HFD, F4GYM, F5NQL
CLUB:
NAME: RC de Provins F6KOP, BP 50, Route de Chalautre, F77160, PROVINS
SOAPBOX:
QSO: 14146 PH 2015-03-28 0000 TM1A          59  0001   ZF2DX         59  003    0
QSO: 14137 PH 2015-03-28 0001 TM1A          59  0002   DL1NKS        59  002    0
QSO: 14137 PH 2015-03-28 0002 TM1A          59  0003   VE3FCT        59  002    0
QSO: 14137 PH 2015-03-28 0003 TM1A          59  0004   NQ1C          59  003    0
QSO: 14215 PH 2015-03-28 0006 TM1A          59  0005   KN5TX         59  012    0
QSO: 14150 PH 2015-03-28 0008 TM1A          59  0006   WX3B          59  024    0
QSO: 14141 PH 2015-03-28 0009 TM1A          59  0007   VA3UG         59  007    0
QSO: 14141 PH 2015-03-28 0009 TM1A          59  0008   VE6MRV        59  023    0
QSO: 14141 PH 2015-03-28 0010 TM1A          59  0009   VO1SO         59  007    0
QSO: 14141 PH 2015-03-28 0010 TM1A          59  0010   W5GDX         59  003    0
QSO: 14141 PH 2015-03-28 0011 TM1A          59  0011   VE7CV         59  009    0
QSO: 14141 PH 2015-03-28 0013 TM1A          59  0012   YV6BXN        59  003    0
QSO: 14141 PH 2015-03-28 0014 TM1A          59  0013   AC9EM         59  002    0
QSO: 14141 PH 2015-03-28 0014 TM1A          59  0014   VA3SZ         59  008    0
QSO: 14141 PH 2015-03-28 0015 TM1A          59  0015   VA6UK         59  007    0
QSO: 14141 PH 2015-03-28 0016 TM1A          59  0016   VE6SMI        59  005    0
QSO: 14141 PH 2015-03-28 0017 TM1A          59  0017   VA2HZ         59  001    0
