START-OF-LOG: 3.0
CREATED-BY: N3FJP's CQ WPX Contest Log 3.6
CONTEST: CQ-WPX-SSB
CALLSIGN: KD3HN
LOCATION: EPA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-OVERLAY: TB-WIRES
CLUB: Hilltop Transmitting Assn
CLAIMED-SCORE: 408408
OPERATORS: KD3HN
NAME: Mike Hoffman
SOAPBOX: Winter antenna damage, snow Saturday, minor geo storm Sunday...it happens!
QSO: 28000 PH 2015-03-28 0009 KD3HN         59  001    AK7AR         59  024    0
QSO: 28000 PH 2015-03-28 0012 KD3HN         59  002    LU7HN         59  037    0
QSO: 28000 PH 2015-03-28 0013 KD3HN         59  003    HC0E          59  006    0
QSO: 28000 PH 2015-03-28 0019 KD3HN         59  004    PX5E          59  073    0
QSO: 28000 PH 2015-03-28 0020 KD3HN         59  005    LU6ETB        59  019    0
QSO: 28000 PH 2015-03-28 0021 KD3HN         59  006    KQ7W          59  038    0
QSO: 28000 PH 2015-03-28 0022 KD3HN         59  007    ZM2IO         59  069    0
QSO: 28000 PH 2015-03-28 0023 KD3HN         59  008    KP2M          59  087    0
QSO: 28000 PH 2015-03-28 0025 KD3HN         59  009    XE2AA         59  029    0
QSO: 28000 PH 2015-03-28 0027 KD3HN         59  010    PY2RF         59  059    0
QSO: 28000 PH 2015-03-28 0028 KD3HN         59  011    NH6WZ         59  051    0
QSO: 28000 PH 2015-03-28 0029 KD3HN         59  012    PY2KJ         59  015    0
QSO: 28000 PH 2015-03-28 0030 KD3HN         59  013    YV1KK         59  077    0
QSO: 28000 PH 2015-03-28 0031 KD3HN         59  014    CB3F          59  005    0
QSO: 28000 PH 2015-03-28 0032 KD3HN         59  015    ZX2B          59  099    0
QSO: 28000 PH 2015-03-28 0034 KD3HN         59  016    PY2MC         59  056    0
QSO: 28000 PH 2015-03-28 0035 KD3HN         59  017    LU1FAM        59  064    0
QSO: 28000 PH 2015-03-28 0036 KD3HN         59  018    ZY2B          59  106    0
QSO: 28000 PH 2015-03-28 0038 KD3HN         59  019    PU5FJR        59  051    0
QSO: 28000 PH 2015-03-28 0041 KD3HN         59  020    PJ2T          59  064    0
QSO: 28000 PH 2015-03-28 0042 KD3HN         59  021    V21ZG         59  051    0
QSO: 28000 PH 2015-03-28 0044 KD3HN         59  022    PY2EJ         59  013    0
QSO: 28000 PH 2015-03-28 0048 KD3HN         59  023    XE3/K5ENS     59  090    0
QSO: 28000 PH 2015-03-28 0051 KD3HN         59  024    LU5FF         59  154    0
QSO: 28000 PH 2015-03-28 0053 KD3HN         59  025    ZW5B          59  173    0
QSO: 28000 PH 2015-03-28 0109 KD3HN         59  026    VK2AU         59  106    0
QSO: 21000 PH 2015-03-28 0116 KD3HN         59  027    ZW5B          59  214    0
QSO: 21000 PH 2015-03-28 0120 KD3HN         59  028    HS0ZCW        59  135    0
QSO: 21000 PH 2015-03-28 0123 KD3HN         59  029    CE3CT         59  268    0
QSO: 21000 PH 2015-03-28 0125 KD3HN         59  030    KH7XX         59  236    0
QSO: 21000 PH 2015-03-28 0125 KD3HN         59  031    KG0F          59  198    0
QSO: 21000 PH 2015-03-28 0128 KD3HN         59  032    KA7PNH        59  041    0
QSO: 21000 PH 2015-03-28 0131 KD3HN         59  033    PY2NY         59  120    0
QSO: 21000 PH 2015-03-28 0137 KD3HN         59  034    PY1ZV         59  036    0
QSO: 21000 PH 2015-03-28 0138 KD3HN         59  035    LU5FF         59  230    0
QSO: 21000 PH 2015-03-28 0139 KD3HN         59  036    PX5E          59  337    0
QSO: 21000 PH 2015-03-28 0141 KD3HN         59  037    KP4BD         59  213    0
QSO: 21000 PH 2015-03-28 0142 KD3HN         59  038    NR7DX         59  248    0
QSO: 21000 PH 2015-03-28 0143 KD3HN         59  039    PY5ARP        59  137    0
QSO: 21000 PH 2015-03-28 0144 KD3HN         59  040    HK1R          59  302    0
QSO: 21000 PH 2015-03-28 0147 KD3HN         59  041    WP3C          59  235    0
QSO: 21000 PH 2015-03-28 0149 KD3HN         59  042    CB2S          59  004    0
QSO: 21000 PH 2015-03-28 0150 KD3HN         59  043    PX2F          59  234    0
QSO: 21000 PH 2015-03-28 0154 KD3HN         59  044    8P5A          59  507    0
QSO: 21000 PH 2015-03-28 0157 KD3HN         59  045    WP4X          59  269    0
QSO: 21000 PH 2015-03-28 0159 KD3HN         59  046    JA3YBK        59  280    0
QSO: 21000 PH 2015-03-28 0200 KD3HN         59  047    CE3WW         59  192    0
QSO: 21000 PH 2015-03-28 0201 KD3HN         59  048    RT0F          59  452    0
QSO: 21000 PH 2015-03-28 0206 KD3HN         59  049    PS5A          59  173    0
QSO: 21000 PH 2015-03-28 0208 KD3HN         59  050    CN2AA         59  168    0
QSO: 21000 PH 2015-03-28 0213 KD3HN         59  051    PY2KJ         59  105    0
QSO:  3500 PH 2015-03-28 0238 KD3HN         59  052    AB8M          59  188    0
QSO:  3500 PH 2015-03-28 0243 KD3HN         59  053    K4PV          59  239    0
QSO:  3500 PH 2015-03-28 0248 KD3HN         59  054    CN2AA         59  150    0
QSO:  3500 PH 2015-03-28 0322 KD3HN         59  055    NE1C          59  073    0
QSO:  3500 PH 2015-03-28 0326 KD3HN         59  056    WV1K          59  156    0
QSO:  3500 PH 2015-03-28 0331 KD3HN         59  057    CN3A          59  183    0
QSO:  3500 PH 2015-03-28 0340 KD3HN         59  058    D4C           59  124    0
QSO:  3500 PH 2015-03-28 0354 KD3HN         59  059    NR3X          59  316    0
QSO:  3500 PH 2015-03-28 0357 KD3HN         59  060    VE3MGY        59  176    0
QSO:  1800 PH 2015-03-28 0418 KD3HN         59  061    WA2CP         59  012    0
QSO:  1800 PH 2015-03-28 0423 KD3HN         59  062    AC3U          59  003    0
QSO:  7000 PH 2015-03-28 0427 KD3HN         59  063    YT3M          59  460    0
QSO:  7000 PH 2015-03-28 0428 KD3HN         59  064    YT3A          59  554    0
QSO:  7000 PH 2015-03-28 0429 KD3HN         59  065    OT5A          59  355    0
QSO:  7000 PH 2015-03-28 0431 KD3HN         59  066    VE6FI         59  068    0
QSO:  7000 PH 2015-03-28 0432 KD3HN         59  067    I2VRN         59  132    0
QSO:  7000 PH 2015-03-28 0435 KD3HN         59  068    K0DU          59  558    0
QSO:  7000 PH 2015-03-28 0436 KD3HN         59  069    ED1R          59  513    0
QSO:  7000 PH 2015-03-28 0438 KD3HN         59  070    LX7I          59  534    0
QSO:  7000 PH 2015-03-28 0439 KD3HN         59  071    EI7M          59  815    0
QSO:  7000 PH 2015-03-28 0441 KD3HN         59  072    PI4DX         59  356    0
QSO:  7000 PH 2015-03-28 0442 KD3HN         59  073    AK5X          59  396    0
QSO:  7000 PH 2015-03-28 0443 KD3HN         59  074    9A8M          59  460    0
QSO:  7000 PH 2015-03-28 0444 KD3HN         59  075    OM7M          59  410    0
QSO:  7000 PH 2015-03-28 0447 KD3HN         59  076    IO2X          59  520    0
QSO:  7000 PH 2015-03-28 0450 KD3HN         59  077    9A9R          59  253    0
QSO:  7000 PH 2015-03-28 0457 KD3HN         59  078    F4KIR         59  334    0
QSO:  7000 PH 2015-03-28 0459 KD3HN         59  079    LZ9W          59  493    0
QSO:  7000 PH 2015-03-28 0500 KD3HN         59  080    IW2HAJ        59  452    0
QSO:  7000 PH 2015-03-28 0502 KD3HN         59  081    DM9K          59  333    0
QSO:  7000 PH 2015-03-28 0503 KD3HN         59  082    NR6Q          59  329    0
QSO:  7000 PH 2015-03-28 0504 KD3HN         59  083    DJ5MW         59  740    0
QSO:  7000 PH 2015-03-28 0507 KD3HN         59  084    NZ5I          59  557    0
QSO:  7000 PH 2015-03-28 0516 KD3HN         59  085    S55T          59  672    0
QSO:  7000 PH 2015-03-28 0520 KD3HN         59  086    VC6K          59  693    0
QSO:  7000 PH 2015-03-28 0520 KD3HN         59  087    DR5N          59  250    0
QSO:  7000 PH 2015-03-28 0522 KD3HN         59  088    SE5E          59  412    0
QSO:  7000 PH 2015-03-28 0523 KD3HN         59  089    TM6M          59  971    0
QSO:  7000 PH 2015-03-28 0528 KD3HN         59  090    VE7SV         59  362    0
QSO:  7000 PH 2015-03-28 0529 KD3HN         59  091    NQ2F          59  382    0
QSO:  7000 PH 2015-03-28 0530 KD3HN         59  092    6Y4W          59  871    0
QSO:  7000 PH 2015-03-28 0532 KD3HN         59  093    PJ4DX         59  785    0
QSO:  7000 PH 2015-03-28 0532 KD3HN         59  094    WP4X          59  767    0
QSO:  7000 PH 2015-03-28 0533 KD3HN         59  095    AD7JP         59  450    0
QSO:  7000 PH 2015-03-28 0534 KD3HN         59  096    VE4VT         59  424    0
QSO:  7000 PH 2015-03-28 0535 KD3HN         59  097    NP3OT         59  024    0
QSO:  7000 PH 2015-03-28 0540 KD3HN         59  098    AG4W          59  401    0
QSO:  7000 PH 2015-03-28 0541 KD3HN         59  099    AJ7G          59  180    0
QSO:  7000 PH 2015-03-28 0542 KD3HN         59  100    P40L          59  907    0
QSO:  7000 PH 2015-03-28 0543 KD3HN         59  101    PJ4Z          59  758    0
QSO:  7000 PH 2015-03-28 0547 KD3HN         59  102    PJ2T          59  308    0
QSO:  7000 PH 2015-03-28 0547 KD3HN         59  103    KG2A          59  382    0
QSO:  7000 PH 2015-03-28 0548 KD3HN         59  104    KM0DX         59  064    0
QSO:  7000 PH 2015-03-28 0550 KD3HN         59  105    EB3CW         59  691    0
QSO:  7000 PH 2015-03-28 0553 KD3HN         59  106    F5GTN         59  462    0
QSO:  3500 PH 2015-03-28 0557 KD3HN         59  107    NP2P          59  586    0
QSO:  3500 PH 2015-03-28 0558 KD3HN         59  108    NA5NN         59  017    0
QSO:  3500 PH 2015-03-28 0559 KD3HN         59  109    WX3B          59  166    0
QSO:  3500 PH 2015-03-28 0601 KD3HN         59  110    EA1GA         59  222    0
QSO:  3500 PH 2015-03-28 0603 KD3HN         59  111    WC6H          59  009    0
QSO:  3500 PH 2015-03-28 0604 KD3HN         59  112    K4JPD         59  407    0
QSO:  3500 PH 2015-03-28 0605 KD3HN         59  113    KC0MO         59  299    0
QSO:  3500 PH 2015-03-28 0606 KD3HN         59  114    KD4D          59  156    0
QSO:  3500 PH 2015-03-28 0609 KD3HN         59  115    KR7X          59  020    0
QSO: 14000 PH 2015-03-28 1256 KD3HN         59  116    SK3W          59  882    0
QSO: 14000 PH 2015-03-28 1257 KD3HN         59  117    W5WMU         59  484    0
QSO: 14000 PH 2015-03-28 1257 KD3HN         59  118    VE3CX         59  463    0
QSO: 14000 PH 2015-03-28 1300 KD3HN         59  119    NU5B          59  325    0
QSO: 14000 PH 2015-03-28 1307 KD3HN         59  120    PA3S          59  272    0
QSO: 14000 PH 2015-03-28 1309 KD3HN         59  121    AD5XD         59  465    0
QSO: 14000 PH 2015-03-28 1313 KD3HN         59  122    K3EST         59  554    0
QSO: 14000 PH 2015-03-28 1318 KD3HN         59  123    W3RMS         59  118    0
QSO: 14000 PH 2015-03-28 1319 KD3HN         59  124    K8AO          59  313    0
QSO: 14000 PH 2015-03-28 1320 KD3HN         59  125    KD9ST         59  563    0
QSO: 14000 PH 2015-03-28 1321 KD3HN         59  126    AD0H          59  208    0
QSO: 14000 PH 2015-03-28 1323 KD3HN         59  127    OT5A          59  723    0
QSO: 14000 PH 2015-03-28 1327 KD3HN         59  128    AC5O          59  237    0
QSO: 14000 PH 2015-03-28 1328 KD3HN         59  129    NE5LL         59  273    0
QSO: 14000 PH 2015-03-28 1331 KD3HN         59  130    KE4BZJ        59  046    0
QSO: 14000 PH 2015-03-28 1333 KD3HN         59  131    PJ2T          59  858    0
QSO: 14000 PH 2015-03-28 1335 KD3HN         59  132    DR7B          59  009    0
QSO: 14000 PH 2015-03-28 1336 KD3HN         59  133    ED2C          59  890    0
QSO: 14000 PH 2015-03-28 1338 KD3HN         59  134    PI4DX         59  489    0
QSO: 14000 PH 2015-03-28 1339 KD3HN         59  135    G9V           59  902    0
QSO: 28000 PH 2015-03-28 1452 KD3HN         59  136    P40L          59  1775   0
QSO: 28000 PH 2015-03-28 1454 KD3HN         59  137    HG0R          59  394    0
QSO: 28000 PH 2015-03-28 1455 KD3HN         59  138    S50O          59  344    0
QSO: 28000 PH 2015-03-28 1456 KD3HN         59  139    YT8A          59  432    0
QSO: 28000 PH 2015-03-28 1457 KD3HN         59  140    YT9W          59  235    0
QSO: 28000 PH 2015-03-28 1502 KD3HN         59  141    SO9Q          59  181    0
QSO: 28000 PH 2015-03-28 1504 KD3HN         59  142    IO9A          59  1172   0
QSO: 28000 PH 2015-03-28 1505 KD3HN         59  143    E7DX          59  2088   0
QSO: 28000 PH 2015-03-28 1507 KD3HN         59  144    IB9T          59  1836   0
QSO: 28000 PH 2015-03-28 1507 KD3HN         59  145    LZ2HM         59  352    0
QSO: 28000 PH 2015-03-28 1509 KD3HN         59  146    PJ4Z          59  1895   0
QSO: 28000 PH 2015-03-28 1510 KD3HN         59  147    OK4PA         59  540    0
QSO: 28000 PH 2015-03-28 1512 KD3HN         59  148    IR6D          59  193    0
QSO: 28000 PH 2015-03-28 1513 KD3HN         59  149    EB3CW         59  1633   0
QSO: 28000 PH 2015-03-28 1515 KD3HN         59  150    LZ9W          59  477    0
QSO: 28000 PH 2015-03-28 1516 KD3HN         59  151    9A1A          59  502    0
