START-OF-LOG: 3.0
CALLSIGN: GM3A
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 21084
NAME: John
LOCATION: DX
OPERATORS: GM3A
CLUB: Aberdeen ARS
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7047.0
SOAPBOX: First time in contest. Could only operate for limited time
QSO: 14099 RY 2018-02-10 1146 GM3A          599 0001   HG1S          599 0772
QSO: 14077 RY 2018-02-10 1151 GM3A          599 0002   UF8T          599 0141
QSO: 14080 RY 2018-02-10 1155 GM3A          599 0003   ED1LO         599 0169
QSO: 14083 RY 2018-02-10 1203 GM3A          599 0004   RA3Y          599 0205
QSO: 14090 RY 2018-02-10 1209 GM3A          599 0005   RK3PWR        599 0328
QSO: 14090 RY 2018-02-10 1211 GM3A          599 0006   ES100C        599 0402
QSO: 14093 RY 2018-02-10 1212 GM3A          599 0007   EU6AF         599 0375
QSO: 14097 RY 2018-02-10 1216 GM3A          599 0008   R9SN          599 0294
QSO: 14098 RY 2018-02-10 1218 GM3A          599 0009   RA9AU         599 0346
QSO: 14101 RY 2018-02-10 1222 GM3A          599 0010   RD4F          599 0210
QSO: 14101 RY 2018-02-10 1226 GM3A          599 0011   UT8IO         599 0066
QSO: 14105 RY 2018-02-10 1228 GM3A          599 0012   IQ1RY         599 0413
QSO: 14106 RY 2018-02-10 1229 GM3A          599 0013   IK4DCX        599 0271
QSO: 14108 RY 2018-02-10 1232 GM3A          599 0014   VE1OP         599 0014
QSO: 14110 RY 2018-02-10 1234 GM3A          599 0015   UT3RN         599 0122
QSO: 14114 RY 2018-02-10 1241 GM3A          599 0016   OG90AA        599 0395
QSO: 14116 RY 2018-02-10 1244 GM3A          599 0017   R3BB          599 0251
QSO: 14117 RY 2018-02-10 1245 GM3A          599 0018   LY100Q        599 0415
QSO: 14124 RY 2018-02-10 1255 GM3A          599 0019   OH1TM         599 0157
QSO: 14125 RY 2018-02-10 1256 GM3A          599 0020   IK4QJF        599 0004
QSO: 14126 RY 2018-02-10 1257 GM3A          599 0021   UY5ZZ         599 0097
QSO: 14128 RY 2018-02-10 1258 GM3A          599 0022   IZ8ESX        599 0680
QSO: 14132 RY 2018-02-10 1304 GM3A          599 0023   K3UL          599 0061
QSO: 14133 RY 2018-02-10 1305 GM3A          599 0024   UZ5ZU         599 0219
QSO: 14135 RY 2018-02-10 1307 GM3A          599 0025   K3MD          599 0195
QSO: 14140 RY 2018-02-10 1310 GM3A          599 0026   OH2XX         599 0088
QSO:  7057 RY 2018-02-10 1311 GM3A          599 0027   YL6W          599 0354
QSO:  7054 RY 2018-02-10 1313 GM3A          599 0028   OZ30EU        599 0160
QSO:  7057 RY 2018-02-10 1315 GM3A          599 0029   M2E           599 0219
QSO:  7058 RY 2018-02-10 1316 GM3A          599 0030   LY100CY       599 0473
QSO:  7059 RY 2018-02-10 1317 GM3A          599 0031   S51A          599 0653
