START-OF-LOG: 3.0
CALLSIGN: OH8KA
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 22532
NAME: Antti Kansakoski
LOCATION: DX
OPERATORS: OH8KA
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6059.0
SOAPBOX: Nice contest as always. FT-990, 50-70W, OCF-dipole 80-10m @ 12m
QSO: 14000 RY 2017-02-11 0941 OH8KA         599 0001   ED1A          599 0210
QSO: 14000 RY 2017-02-11 0942 OH8KA         599 0002   OK3VM         599 0125
QSO: 14000 RY 2017-02-11 0945 OH8KA         599 0003   9A1BHI        599 0162
QSO: 14000 RY 2017-02-11 0946 OH8KA         599 0004   9A5Y          599 0289
QSO: 14000 RY 2017-02-11 0948 OH8KA         599 0005   OM2WX         599 0098
QSO: 14000 RY 2017-02-11 0950 OH8KA         599 0006   IZ3XNJ        599 0014
QSO: 14000 RY 2017-02-11 0952 OH8KA         599 0007   DR160TESLA    599 0108
QSO: 14000 RY 2017-02-11 1410 OH8KA         599 0008   OM7KW         599 0301
QSO: 14000 RY 2017-02-11 1411 OH8KA         599 0009   DK0EE         599 0610
QSO: 14000 RY 2017-02-11 1412 OH8KA         599 0010   R7CD          599 0566
QSO: 14000 RY 2017-02-11 1412 OH8KA         599 0011   UT5EPP        599 0547
QSO: 14000 RY 2017-02-11 1413 OH8KA         599 0012   UT3C          599 0386
QSO: 14000 RY 2017-02-11 1414 OH8KA         599 0013   YO5OHY        599 0114
QSO: 14000 RY 2017-02-11 1416 OH8KA         599 0014   HA8JV         599 0379
QSO: 21000 RY 2017-02-11 1419 OH8KA         599 0015   IK8UND        599 0346
QSO: 21000 RY 2017-02-11 1422 OH8KA         599 0016   IK0FMB        599 0262
QSO: 21000 RY 2017-02-11 1425 OH8KA         599 0017   EA3JW         599 0129
QSO: 21000 RY 2017-02-11 1427 OH8KA         599 0018   EB8AH         599 0622
QSO: 14000 RY 2017-02-11 1430 OH8KA         599 0019   AA3B          599 0887
QSO: 14000 RY 2017-02-11 1434 OH8KA         599 0020   TF1AM         599 0460
