START-OF-LOG: 3.0
CALLSIGN: YD2EEE
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 15162
NAME: Kustiyono
LOCATION: DX
OPERATORS: YD2EEE
CLUB: Single Fighter Dx Group
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7047.0
SOAPBOX: Condition is not good. Solar Flux Index is 77.
QSO:  7000 RY 2018-02-11 1010 YD2EEE        599 0001   YB2ECG        599 0160
QSO:  7000 RY 2018-02-11 1015 YD2EEE        599 0002   YD2CAB        599 0015
QSO:  7000 RY 2018-02-11 1020 YD2EEE        599 0003   YC7JYD        599 0071
QSO:  7000 RY 2018-02-11 1025 YD2EEE        599 0004   YC4FIK        599 0066
QSO:  7000 RY 2018-02-11 1027 YD2EEE        599 0005   JA7IC         599 0527
QSO:  7000 RY 2018-02-11 1039 YD2EEE        599 0006   YB8RW         599 0012
QSO:  7000 RY 2018-02-11 1050 YD2EEE        599 0007   YB1FWO/9      599 0197
QSO:  7000 RY 2018-02-11 1052 YD2EEE        599 0008   YB1FWO/9      599 0000
QSO:  7000 RY 2018-02-11 1102 YD2EEE        599 0009   YC8AO         599 0096
QSO:  7000 RY 2018-02-11 1105 YD2EEE        599 0010   YC2GV         599 0415
QSO:  7000 RY 2018-02-11 1126 YD2EEE        599 0011   YB1AR         599 0582
QSO: 21000 RY 2018-02-11 1138 YD2EEE        599 0013   IT9BLB        599 0233
QSO: 21000 RY 2018-02-11 1140 YD2EEE        599 0014   CR6T          599 0179
QSO: 21000 RY 2018-02-11 1141 YD2EEE        599 0015   LX7I          599 0066
QSO: 21000 RY 2018-02-11 1142 YD2EEE        599 0016   SN5X          599 0224
QSO: 21000 RY 2018-02-11 1158 YD2EEE        599 0018   DA0WRT        599 0089
QSO: 21000 RY 2018-02-11 1201 YD2EEE        599 0019   HG1S          599 1990
QSO: 21000 RY 2018-02-11 1204 YD2EEE        599 0020   LX7I          599 0075
QSO: 21000 RY 2018-02-11 1215 YD2EEE        599 0021   SZ1A          599 2444
QSO: 21000 RY 2018-02-11 1222 YD2EEE        599 0022   DF4XX         599 0409
QSO:  7000 RY 2018-02-11 1241 YD2EEE        599 0023   YG7SPN        599 0100
QSO:  7000 RY 2018-02-11 1246 YD2EEE        599 0024   YC4GBN        599 0101
QSO:  7000 RY 2018-02-11 1255 YD2EEE        599 0025   YC2CTE        599 0033
QSO:  7000 RY 2018-02-11 1301 YD2EEE        599 0026   YC6RMT        599 0006
QSO:  7000 RY 2018-02-11 1321 YD2EEE        599 0027   YB6DE         599 0132
QSO:  7000 RY 2018-02-11 1324 YD2EEE        599 0028   HS6MYW        599 0060
QSO:  7000 RY 2018-02-11 1330 YD2EEE        599 0029   YC1DTE        599 0038
QSO:  7000 RY 2018-02-11 1339 YD2EEE        599 0030   YB6HAI        599 0314
QSO:  7000 RY 2018-02-11 1402 YD2EEE        599 0031   SN7Q          599 2158
QSO:  7000 RY 2018-02-11 1404 YD2EEE        599 0032   YC1ZAR        599 0111
QSO:  7000 RY 2018-02-11 1407 YD2EEE        599 0033   YD1EMV        599 0036
QSO:  7000 RY 2018-02-11 1426 YD2EEE        599 0034   YG3DGQ        599 0024
QSO:  7000 RY 2018-02-11 1429 YD2EEE        599 0035   YC4KRZ        599 0170
QSO:  7000 RY 2018-02-11 1432 YD2EEE        599 0036   YC8UM         599 0182
QSO:  7000 RY 2018-02-11 1439 YD2EEE        599 0037   VK6DW         599 0042
QSO:  7000 RY 2018-02-11 1450 YD2EEE        599 0038   YC1MR         599 0525
QSO:  7000 RY 2018-02-11 1453 YD2EEE        599 0039   YB1UUU        599 0060
QSO:  7000 RY 2018-02-11 1454 YD2EEE        599 0040   YB5C          599 0075
QSO:  7000 RY 2018-02-11 1502 YD2EEE        599 0041   YD0BAS        599 0003
QSO:  7000 RY 2018-02-11 1512 YD2EEE        599 0042   S53M          599 0364
QSO:  7000 RY 2018-02-11 1515 YD2EEE        599 0043   KS7AA         599 1996
QSO:  7000 RY 2018-02-11 1538 YD2EEE        599 0044   YD2CAA        599 0034
QSO:  7000 RY 2018-02-11 1558 YD2EEE        599 0045   ES100C        599 1169
QSO:  7000 RY 2018-02-11 1606 YD2EEE        599 0046   YF5RFU        599 0040
QSO:  7000 RY 2018-02-11 1612 YD2EEE        599 0047   YB7GRN        599 0177
QSO:  7000 RY 2018-02-11 1613 YD2EEE        599 0048   YC1CWK        599 0396
QSO:  7000 RY 2018-02-11 1616 YD2EEE        599 0049   VU2IBI        599 1323
QSO:  7000 RY 2018-02-11 1619 YD2EEE        599 0050   YD1IMK        599 0084
QSO:  7000 RY 2018-02-11 1656 YD2EEE        599 0051   E21EIC        599 0661
QSO:  7000 RY 2018-02-11 1704 YD2EEE        599 0052   BA7QT         599 0361
QSO:  7000 RY 2018-02-11 1706 YD2EEE        599 0053   DS23BNU/3     599 0122
QSO:  7000 RY 2018-02-11 1712 YD2EEE        599 0054   YE2Y          599 0227
QSO:  7000 RY 2018-02-11 1727 YD2EEE        599 0055   EO4M          599 2203
QSO:  7000 RY 2018-02-11 1739 YD2EEE        599 0056   SZ1A          599 2725
QSO:  7000 RY 2018-02-11 1802 YD2EEE        599 0057   UY5NYY        599 0772
QSO:  7000 RY 2018-02-11 1819 YD2EEE        599 0058   IQ2CJ         599 2010
QSO:  7000 RY 2018-02-11 1837 YD2EEE        599 0059   DM6DX         599 0432
QSO:  7000 RY 2018-02-11 1849 YD2EEE        599 0060   UX5IO         599 0758
QSO:  7000 RY 2018-02-11 1852 YD2EEE        599 0061   SP8K          599 0449
QSO:  7000 RY 2018-02-11 1857 YD2EEE        599 0062   S57DX         599 0712
QSO:  7000 RY 2018-02-11 1909 YD2EEE        599 0063   UZ4U          599 0418
QSO:  7000 RY 2018-02-11 1913 YD2EEE        599 0064   IV3KVC        599 0028
QSO:  7000 RY 2018-02-11 1917 YD2EEE        599 0065   UT4U          599 1130
QSO:  7000 RY 2018-02-11 1920 YD2EEE        599 0066   YD0MAT        599 0229
QSO:  7000 RY 2018-02-11 1925 YD2EEE        599 0067   9A7T          599 1283
QSO:  7000 RY 2018-02-11 1939 YD2EEE        599 0068   G3TXF         599 0958
QSO:  7000 RY 2018-02-11 1940 YD2EEE        599 0069   YQ6A          599 1008
QSO:  7000 RY 2018-02-11 1942 YD2EEE        599 0070   LZ7A          599 1059
QSO:  7000 RY 2018-02-11 1945 YD2EEE        599 0071   OH2HAN        599 1755
QSO:  7000 RY 2018-02-11 1953 YD2EEE        599 0072   HA1AD         599 0595
QSO:  7000 RY 2018-02-11 2008 YD2EEE        599 0073   S52X          599 1386
QSO:  7000 RY 2018-02-11 2026 YD2EEE        599 0074   9A1A          599 1462
END-OF-LOG:
