START-OF-LOG: 3.0
CALLSIGN: DJ6XB
CLAIMED-SCORE: 1944
CONTEST: CQ-WPX-RTTY
NAME: Rainer G. Schaefer
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
SOAPBOX: Unfortunately, my participation time was very limited this year again.
QSO: 14107 RY 2018-02-10 1636 DJ6XB         599 001    K4XL          599  464   0
QSO: 14106 RY 2018-02-10 1645 DJ6XB         599 002    W9IU          599  418   0
QSO: 14105 RY 2018-02-10 1648 DJ6XB         599 003    WA8KHP        599  471   0
QSO: 14102 RY 2018-02-10 1652 DJ6XB         599 004    PZ5RA         599  232   0
QSO: 14100 RY 2018-02-10 1655 DJ6XB         599 005    W3LL          599  818   0
QSO: 14097 RY 2018-02-10 1658 DJ6XB         599 006    VE3RZ         599  211   0
QSO: 14095 RY 2018-02-10 1703 DJ6XB         599 007    K9DJ          599  083   0
QSO: 14103 RY 2018-02-10 1706 DJ6XB         599 008    VE3FJ         599  085   0
QSO: 14107 RY 2018-02-10 1711 DJ6XB         599 009    N0NI          599  205   0
QSO: 14111 RY 2018-02-10 1714 DJ6XB         599 010    WS9V          599  379   0
QSO: 14117 RY 2018-02-10 1730 DJ6XB         599 011    KA4RRU        599  230   0
QSO: 14122 RY 2018-02-10 1744 DJ6XB         599 012    K3MJW         599  575   0
QSO: 14117 RY 2018-02-11 0815 DJ6XB         599 013    YR100R        599  336   0
QSO: 14119 RY 2018-02-11 0818 DJ6XB         599 014    RT9S          599 1259   0
QSO: 14114 RY 2018-02-11 0821 DJ6XB         599 015    RW0A          599 1040   0
QSO: 14104 RY 2018-02-11 0829 DJ6XB         599 016    RO9A          599  614   0
QSO: 14127 RY 2018-02-11 1607 DJ6XB         599 017    N2WK          599  965   0
QSO: 14130 RY 2018-02-11 1612 DJ6XB         599 018    N7WY          599  774   0
QSO: 14139 RY 2018-02-11 1614 DJ6XB         599 019    W6NWS         599  468   0
QSO: 14141 RY 2018-02-11 1618 DJ6XB         599 020    NY6DX         599  229   0
QSO: 14143 RY 2018-02-11 1621 DJ6XB         599 021    K9OM          599 1554   0
QSO: 14142 RY 2018-02-11 1625 DJ6XB         599 022    N4DXS         599  194   0
QSO: 14137 RY 2018-02-11 1629 DJ6XB         599 023    K9NR          599  882   0
QSO: 14131 RY 2018-02-11 1635 DJ6XB         599 024    W4PK          599 1207   0
QSO: 14127 RY 2018-02-11 1638 DJ6XB         599 025    VE3DZ         599  479   0
QSO: 14104 RY 2018-02-11 1654 DJ6XB         599 026    LZ2YO         599  766   0
QSO: 14115 RY 2018-02-11 1657 DJ6XB         599 027    AC0C          599 2381   0
QSO: 14117 RY 2018-02-11 1705 DJ6XB         599 029    K7SCX         599  921   0
END-OF-LOG:
