START-OF-LOG: 3.0
CALLSIGN: G4OZG
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 115665
NAME: Ted Haskett
LOCATION: DX
OPERATORS: G4OZG
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7047.0
SOAPBOX: I have never used RTTY before entering this contest.
QSO:  3590 RY 2018-02-10 0026 G4OZG         599 0001   PI4CG         599 0018
QSO:  3592 RY 2018-02-10 0032 G4OZG         599 0002   DP7D          599 0036
QSO:  7043 RY 2018-02-10 0100 G4OZG         599 0003   HG1S          599 0057
QSO:  7046 RY 2018-02-10 0104 G4OZG         599 0004   LY2W          599 0074
QSO:  7055 RY 2018-02-10 0111 G4OZG         599 0005   LY100CY       599 0097
QSO:  7040 RY 2018-02-10 0207 G4OZG         599 0006   UT2IU         599 0124
QSO:  7053 RY 2018-02-10 0831 G4OZG         599 0007   OZ5BAL        599 0200
QSO:  7054 RY 2018-02-10 0836 G4OZG         599 0008   DR60RAFG      599 0340
QSO:  7056 RY 2018-02-10 0838 G4OZG         599 0009   DL8ZU         599 0049
QSO:  7056 RY 2018-02-10 0845 G4OZG         599 0010   5P9X          599 0134
QSO:  7058 RY 2018-02-10 0849 G4OZG         599 0011   OE9R          599 0460
QSO:  7059 RY 2018-02-10 0852 G4OZG         599 0012   LY100CX       599 0288
QSO: 14082 RY 2018-02-10 0916 G4OZG         599 0013   EM0I          599 0568
QSO: 14082 RY 2018-02-10 0918 G4OZG         599 0014   OH5C          599 0207
QSO: 14084 RY 2018-02-10 0929 G4OZG         599 0015   LZ7A          599 0169
QSO: 14086 RY 2018-02-10 0935 G4OZG         599 0016   HG7T          599 0161
QSO: 14088 RY 2018-02-10 0954 G4OZG         599 0017   RV3YM         599 0166
QSO:  7067 RY 2018-02-10 1026 G4OZG         599 0018   IK0FMB        599 0032
QSO:  7056 RY 2018-02-10 1036 G4OZG         599 0019   LX5IGRY       599 0398
QSO:  7056 RY 2018-02-10 1146 G4OZG         599 0020   ON3LX         599 0096
QSO:  7050 RY 2018-02-10 1154 G4OZG         599 0021   9A1A          599 0549
QSO:  7049 RY 2018-02-10 1156 G4OZG         599 0022   DL2SWW        599 0190
QSO:  7045 RY 2018-02-10 1207 G4OZG         599 0023   DR7T          599 0143
QSO:  7044 RY 2018-02-10 1212 G4OZG         599 0024   IN3FOI        599 0108
QSO:  7046 RY 2018-02-10 1217 G4OZG         599 0025   DF4XX         599 0134
QSO:  7053 RY 2018-02-10 1229 G4OZG         599 0026   IW7DBM        599 0168
QSO:  7060 RY 2018-02-10 1236 G4OZG         599 0027   OT6M          599 0403
QSO: 14115 RY 2018-02-10 1242 G4OZG         599 0028   LY6A          599 0645
QSO: 14114 RY 2018-02-10 1249 G4OZG         599 0029   UT5EPP        599 0434
QSO: 14140 RY 2018-02-10 1253 G4OZG         599 0030   UR7CT         599 0196
QSO: 14131 RY 2018-02-10 1420 G4OZG         599 0031   RK9AX         599 1147
QSO: 14128 RY 2018-02-10 1422 G4OZG         599 0032   IZ7ECL        599 0327
QSO: 14126 RY 2018-02-10 1430 G4OZG         599 0033   UT8EL         599 0242
QSO: 14111 RY 2018-02-10 1440 G4OZG         599 0034   SQ8N          599 0104
QSO: 14110 RY 2018-02-10 1443 G4OZG         599 0035   IK4DCX        599 0373
QSO: 14121 RY 2018-02-10 1451 G4OZG         599 0036   LY100Q        599 0551
QSO: 14120 RY 2018-02-10 1456 G4OZG         599 0037   UW3U          599 0504
QSO: 14119 RY 2018-02-10 1458 G4OZG         599 0038   EB7DX         599 0465
QSO: 14119 RY 2018-02-10 1501 G4OZG         599 0039   Z37M          599 0538
QSO: 14117 RY 2018-02-10 1505 G4OZG         599 0040   UT4RZ         599 0323
QSO: 14113 RY 2018-02-10 1513 G4OZG         599 0041   IZ8FWN        599 0584
QSO: 14111 RY 2018-02-10 1519 G4OZG         599 0042   K3WW          599 0542
QSO: 14109 RY 2018-02-10 1521 G4OZG         599 0043   IC8SQS        599 0306
QSO: 14108 RY 2018-02-10 1526 G4OZG         599 0044   YO6HSU        599 0282
QSO: 14107 RY 2018-02-10 1530 G4OZG         599 0045   K9OM          599 0642
QSO: 14106 RY 2018-02-10 1538 G4OZG         599 0046   W9IU          599 0351
QSO: 14105 RY 2018-02-10 1541 G4OZG         599 0047   WA8KHQ        599 0416
QSO: 14104 RY 2018-02-10 1544 G4OZG         599 0048   5C5W          599 0259
QSO: 14103 RY 2018-02-10 1547 G4OZG         599 0049   EC5AC         599 0275
QSO: 14101 RY 2018-02-10 1548 G4OZG         599 0050   IZ8EFD        599 0046
QSO: 14101 RY 2018-02-10 1553 G4OZG         599 0051   W3LL          599 0728
QSO: 14092 RY 2018-02-10 1619 G4OZG         599 0052   EF9R          599 0720
QSO: 14122 RY 2018-02-10 1655 G4OZG         599 0053   K9NR          599 0308
QSO: 14125 RY 2018-02-10 1700 G4OZG         599 0054   K3MJW         599 0513
QSO: 14127 RY 2018-02-10 1702 G4OZG         599 0055   IZ5CML        599 0035
QSO: 14130 RY 2018-02-10 1703 G4OZG         599 0056   N3QE          599 0810
QSO: 14131 RY 2018-02-10 1706 G4OZG         599 0057   W4PK          599 0577
QSO:  7059 RY 2018-02-10 1829 G4OZG         599 0058   CT1BXT        599 0322
QSO:  7050 RY 2018-02-10 1845 G4OZG         599 0059   YT9A          599 0208
QSO:  7049 RY 2018-02-10 1847 G4OZG         599 0060   HA8FK         599 0042
QSO:  7047 RY 2018-02-10 1850 G4OZG         599 0061   RA3Y          599 0435
QSO:  7046 RY 2018-02-10 1853 G4OZG         599 0062   EA7KI         599 0021
QSO:  7045 RY 2018-02-10 1854 G4OZG         599 0063   HG8C          599 0130
QSO:  7043 RY 2018-02-10 1902 G4OZG         599 0064   YO9HP         599 0712
QSO:  3579 RY 2018-02-10 1908 G4OZG         599 0065   SP2KDS        599 0409
QSO:  3581 RY 2018-02-10 1915 G4OZG         599 0066   DL0CS         599 0238
QSO:  3585 RY 2018-02-10 1930 G4OZG         599 0067   OK2SFP        599 0442
QSO:  3587 RY 2018-02-10 1943 G4OZG         599 0068   DF6QV         599 0179
QSO:  3590 RY 2018-02-10 1947 G4OZG         599 0069   ES100C        599 0473
QSO:  3594 RY 2018-02-10 1955 G4OZG         599 0070   OL8M          599 0485
QSO:  7040 RY 2018-02-11 0902 G4OZG         599 0071   S58P          599 0242
QSO:  7044 RY 2018-02-11 0917 G4OZG         599 0072   DL2KWA        599 0296
QSO:  7046 RY 2018-02-11 0924 G4OZG         599 0073   ED1LO         599 0929
QSO:  7047 RY 2018-02-11 0930 G4OZG         599 0074   SQ8GHY        599 0828
QSO:  7052 RY 2018-02-11 0937 G4OZG         599 0075   LA8PDA        599 0304
QSO:  7057 RY 2018-02-11 0941 G4OZG         599 0076   YL9T          599 0446
QSO:  7058 RY 2018-02-11 0943 G4OZG         599 0077   DL0LK         599 0158
QSO:  7060 RY 2018-02-11 0948 G4OZG         599 0078   F5OAM         599 0633
QSO:  7061 RY 2018-02-11 0950 G4OZG         599 0079   DF8AA         599 0636
QSO:  7062 RY 2018-02-11 0952 G4OZG         599 0080   ES100C        599 0971
QSO:  7064 RY 2018-02-11 0954 G4OZG         599 0081   DF8JK         599 0155
QSO:  7064 RY 2018-02-11 0956 G4OZG         599 0082   S57X          599 0212
QSO:  7065 RY 2018-02-11 0956 G4OZG         599 0083   OG2P          599 1004
QSO:  7068 RY 2018-02-11 1001 G4OZG         599 0084   DQ6Q          599 0621
QSO:  7069 RY 2018-02-11 1003 G4OZG         599 0085   SM5D          599 0195
QSO:  7070 RY 2018-02-11 1007 G4OZG         599 0086   SK7K          599 1050
QSO:  7072 RY 2018-02-11 1008 G4OZG         599 0087   DK1FW         599 0273
QSO:  7074 RY 2018-02-11 1014 G4OZG         599 0088   S57DX         599 0378
QSO:  7042 RY 2018-02-11 1021 G4OZG         599 0089   OH5C          599 0774
QSO:  7043 RY 2018-02-11 1026 G4OZG         599 0090   S51A          599 1223
QSO:  7046 RY 2018-02-11 1030 G4OZG         599 0091   DL3BQA        599 0773
QSO:  7048 RY 2018-02-11 1034 G4OZG         599 0092   DL1RI         599 0250
QSO:  7050 RY 2018-02-11 1046 G4OZG         599 0093   HG7T          599 0987
QSO: 14132 RY 2018-02-11 1048 G4OZG         599 0094   RJ4I          599 0552
QSO: 14131 RY 2018-02-11 1050 G4OZG         599 0095   CT7AJL        599 0710
QSO: 14130 RY 2018-02-11 1052 G4OZG         599 0096   OG90AA        599 0885
QSO: 14129 RY 2018-02-11 1103 G4OZG         599 0097   OH2HAN        599 1412
QSO: 14121 RY 2018-02-11 1128 G4OZG         599 0098   YQ6A          599 0599
QSO: 14118 RY 2018-02-11 1130 G4OZG         599 0099   LZ6K          599 0852
QSO: 14116 RY 2018-02-11 1133 G4OZG         599 0100   LY2W          599 0823
QSO: 14114 RY 2018-02-11 1137 G4OZG         599 0101   OH5Y          599 0297
QSO: 14113 RY 2018-02-11 1139 G4OZG         599 0102   RA1AW         599 0259
QSO: 14112 RY 2018-02-11 1146 G4OZG         599 0103   RD9D          599 0312
QSO: 14111 RY 2018-02-11 1148 G4OZG         599 0104   YP0C          599 1089
QSO: 14110 RY 2018-02-11 1151 G4OZG         599 0105   ES100M        599 0058
QSO: 14108 RY 2018-02-11 1157 G4OZG         599 0106   EU6AF         599 0951
QSO: 14108 RY 2018-02-11 1158 G4OZG         599 0107   ES100C        599 1086
QSO: 14107 RY 2018-02-11 1159 G4OZG         599 0108   UT3RN         599 0237
QSO: 14107 RY 2018-02-11 1201 G4OZG         599 0109   YL6W          599 1071
QSO: 14105 RY 2018-02-11 1203 G4OZG         599 0110   EE5V          599 0755
QSO: 14104 RY 2018-02-11 1204 G4OZG         599 0111   LZ2YO         599 0455
QSO: 14103 RY 2018-02-11 1206 G4OZG         599 0112   EE4A          599 0542
QSO: 14101 RY 2018-02-11 1211 G4OZG         599 0113   YL9T          599 0591
QSO: 14097 RY 2018-02-11 1221 G4OZG         599 0114   EA4BAS        599 0441
QSO: 14097 RY 2018-02-11 1223 G4OZG         599 0115   IT9VCE        599 1021
QSO: 14095 RY 2018-02-11 1231 G4OZG         599 0116   UR2Y          599 0557
QSO: 14094 RY 2018-02-11 1232 G4OZG         599 0117   YL2KF         599 0354
QSO: 14093 RY 2018-02-11 1233 G4OZG         599 0118   ER5LL         599 0295
QSO: 14093 RY 2018-02-11 1236 G4OZG         599 0119   LZ4T          599 0969
QSO: 14091 RY 2018-02-11 1240 G4OZG         599 0120   EB5DXJ        599 0330
QSO: 14086 RY 2018-02-11 1258 G4OZG         599 0121   RT3P          599 0289
QSO: 14089 RY 2018-02-11 1348 G4OZG         599 0122   UR5ZGY        599 0578
QSO: 14089 RY 2018-02-11 1351 G4OZG         599 0123   LZ140LO       599 0710
QSO: 14090 RY 2018-02-11 1353 G4OZG         599 0124   RU1AB         599 0509
QSO: 14091 RY 2018-02-11 1356 G4OZG         599 0125   EO4M          599 1958
QSO: 14098 RY 2018-02-11 1410 G4OZG         599 0126   UZ2I          599 1710
QSO: 14099 RY 2018-02-11 1417 G4OZG         599 0127   OH2XX         599 0278
QSO: 14101 RY 2018-02-11 1421 G4OZG         599 0128   IU4CHE        599 0720
QSO: 14108 RY 2018-02-11 1432 G4OZG         599 0129   IT9SSI        599 0036
QSO: 14111 RY 2018-02-11 1434 G4OZG         599 0130   I8UZA         599 0631
QSO: 14112 RY 2018-02-11 1438 G4OZG         599 0131   WV1K          599 1340
QSO: 14113 RY 2018-02-11 1440 G4OZG         599 0132   SZ1A          599 2566
QSO: 14114 RY 2018-02-11 1444 G4OZG         599 0133   AC3U          599 0689
QSO: 14117 RY 2018-02-11 1451 G4OZG         599 0134   LZ2UW         599 0048
QSO: 14122 RY 2018-02-11 1501 G4OZG         599 0135   VE3DZ         599 0449
QSO: 14131 RY 2018-02-11 1515 G4OZG         599 0136   AC0C          599 2228
QSO: 14133 RY 2018-02-11 1518 G4OZG         599 0137   S57DX         599 0509
QSO: 14136 RY 2018-02-11 1523 G4OZG         599 0138   ND9G          599 0969
QSO: 14139 RY 2018-02-11 1529 G4OZG         599 0139   AK1W          599 1588
QSO: 14140 RY 2018-02-11 1533 G4OZG         599 0140   VE3X          599 1401
