START-OF-LOG: 3.0
CALLSIGN: IK2MXM
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 0
NAME: GIGI SAPO
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: MixW 3.2
SOAPBOX: PWR 50w  ft991 - trapped dipole 40-80 - multiband vertical antenna
QSO: 14081 RY 2018-02-10 0854 IK2MXM        599 001    R7DA          599 259    0
QSO: 14085 RY 2018-02-10 0857 IK2MXM        599 002    EW6EN         599 177    0
QSO: 14090 RY 2018-02-10 0909 IK2MXM        599 003    EF9R          599 198    0
QSO: 14100 RY 2018-02-10 0916 IK2MXM        599 004    R9SN          599 157    0
QSO: 14101 RY 2018-02-10 0919 IK2MXM        599 005    RW0A          599 475    0
QSO:  7066 RY 2018-02-10 0922 IK2MXM        599 006    DL5JS         599 366    0
QSO:  7066 RY 2018-02-10 0924 IK2MXM        599 007    OQ6A          599 075    0
QSO:  7064 RY 2018-02-10 0927 IK2MXM        599 008    OE3RTB        599 73     0
QSO:  7065 RY 2018-02-10 0928 IK2MXM        599 009    YP0C          599 318    0
QSO:  7062 RY 2018-02-10 0929 IK2MXM        599 010    OM7KW         599 081    0
QSO:  7061 RY 2018-02-10 0931 IK2MXM        599 011    DL3BQA        599 342    0
QSO:  7060 RY 2018-02-10 0932 IK2MXM        599 012    SK7K          599 384    0
QSO:  7061 RY 2018-02-10 0934 IK2MXM        599 013    OK2UHP        599 057    0
QSO:  7067 RY 2018-02-10 0938 IK2MXM        599 014    OZ6TL         599 051    0
QSO:  7066 RY 2018-02-10 0940 IK2MXM        599 015    PA3DBS        599 032    0
QSO:  7064 RY 2018-02-10 0943 IK2MXM        599 016    PA3EVY        599 099    0
QSO:  7058 RY 2018-02-10 0950 IK2MXM        599 017    LY100CY       599 327    0
QSO:  7055 RY 2018-02-10 0952 IK2MXM        599 018    PD2GSP        599 094    0
QSO:  7054 RY 2018-02-10 0953 IK2MXM        599 019    DP7D          599 472    0
QSO:  7038 RY 2018-02-10 0955 IK2MXM        599 020    OK6K          599 223    0
QSO:  7039 RY 2018-02-10 0956 IK2MXM        599 021    OM4O          599 135    0
QSO:  7039 RY 2018-02-10 0958 IK2MXM        599 022    YO3RU         599 222    0
