START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: N3ZZ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N3ZZ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2020.
QSO: 28052 CW 2020-12-13 1648 N3ZZ          599 CA ZF5T          599 1183
QSO: 28029 CW 2020-12-13 1649 N3ZZ          599 CA N6WM          599 CA
QSO: 28017 CW 2020-12-13 1652 N3ZZ          599 CA ZF2WF         599 891
QSO: 28009 CW 2020-12-13 1653 N3ZZ          599 CA W0YK          599 CA
QSO: 28033 CW 2020-12-13 1656 N3ZZ          599 CA WD0T          599 SD
QSO: 28021 CW 2020-12-13 1711 N3ZZ          599 CA K8MR          599 FL
QSO: 28004 CW 2020-12-13 1712 N3ZZ          599 CA KP2M          599 942
QSO: 28011 CW 2020-12-13 1712 N3ZZ          599 CA N7US          599 IL
QSO: 28023 CW 2020-12-13 1714 N3ZZ          599 CA K1MM          599 FL
QSO: 28025 CW 2020-12-13 1715 N3ZZ          599 CA PY4DX         599 430
QSO: 28018 CW 2020-12-13 1716 N3ZZ          599 CA LT7D          599 585
QSO: 28018 CW 2020-12-13 1717 N3ZZ          599 CA WO4O          599 FL
QSO: 28021 CW 2020-12-13 1719 N3ZZ          599 CA WK2G          599 PA
QSO: 28030 CW 2020-12-13 1721 N3ZZ          599 CA K3AJ          599 MD
QSO: 28030 CW 2020-12-13 1721 N3ZZ          599 CA K3UA          599 PA
QSO: 28053 CW 2020-12-13 1723 N3ZZ          599 CA K2ACX         599 DC
QSO: 28036 CW 2020-12-13 1726 N3ZZ          599 CA WA4JUK        599 VA
QSO: 28015 CW 2020-12-13 1727 N3ZZ          599 CA W4PM          599 VA
QSO: 28002 CW 2020-12-13 1728 N3ZZ          599 CA K6IJ          599 CA
QSO: 28003 CW 2020-12-13 1728 N3ZZ          599 CA K4QS          599 VA
QSO: 28019 CW 2020-12-13 1741 N3ZZ          599 CA N1LN          599 NC
