START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: VE3JM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: VE3JM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2020.
QSO: 28015 CW 2020-12-13 1309 VE3JM         599 ON S57Q          599 314
QSO: 28021 CW 2020-12-13 1313 VE3JM         599 ON 9A5Y          599 435
QSO: 28034 CW 2020-12-13 1317 VE3JM         599 ON K4SO          599 VA
QSO: 28003 CW 2020-12-13 1321 VE3JM         599 ON PI4DX         599 206
QSO: 28024 CW 2020-12-13 1323 VE3JM         599 ON OT6M          599 136
QSO: 28044 CW 2020-12-13 1325 VE3JM         599 ON K8MP          599 OH
QSO: 28044 CW 2020-12-13 1325 VE3JM         599 ON N4QS          599 KY
QSO: 28038 CW 2020-12-13 1334 VE3JM         599 ON K4FT          599 KY
QSO: 28034 CW 2020-12-13 1335 VE3JM         599 ON K4AB          599 AL
QSO: 28028 CW 2020-12-13 1337 VE3JM         599 ON N0AT          599 MN
QSO: 28025 CW 2020-12-13 1338 VE3JM         599 ON W5MX          599 KY
QSO: 28030 CW 2020-12-13 1340 VE3JM         599 ON K3UA          599 PA
QSO: 28003 CW 2020-12-13 1344 VE3JM         599 ON K4OAQ         599 VA
QSO: 28000 CW 2020-12-13 1348 VE3JM         599 ON W8MET         599 OH
QSO: 28044 CW 2020-12-13 1349 VE3JM         599 ON N2TU          599 NC
QSO: 28044 CW 2020-12-13 1350 VE3JM         599 ON K0KX          599 SD
QSO: 28044 CW 2020-12-13 1350 VE3JM         599 ON K4YJ          599 OH
QSO: 28044 CW 2020-12-13 1350 VE3JM         599 ON WD8RIF        599 OH
QSO: 28044 CW 2020-12-13 1352 VE3JM         599 ON AA4CF         599 GA
QSO: 28044 CW 2020-12-13 1352 VE3JM         599 ON W3RGA         599 PA
QSO: 28044 CW 2020-12-13 1353 VE3JM         599 ON WA3AAN        599 PA
QSO: 28044 CW 2020-12-13 1353 VE3JM         599 ON WA8KAN        599 WV
QSO: 28044 CW 2020-12-13 1354 VE3JM         599 ON N2RC          599 NY
QSO: 28044 CW 2020-12-13 1356 VE3JM         599 ON VO2AC         599 LB
QSO: 28044 CW 2020-12-13 1356 VE3JM         599 ON W3GQ          599 NC
QSO: 28044 CW 2020-12-13 1357 VE3JM         599 ON KS4YX         599 SC
QSO: 28044 CW 2020-12-13 1358 VE3JM         599 ON AC4G          599 TN
QSO: 28044 CW 2020-12-13 1400 VE3JM         599 ON N4ZZ          599 TN
QSO: 28044 CW 2020-12-13 1400 VE3JM         599 ON W8AKS         599 WV
QSO: 28044 CW 2020-12-13 1401 VE3JM         599 ON N3HEE         599 SC
QSO: 28044 CW 2020-12-13 1402 VE3JM         599 ON KU8E          599 GA
QSO: 28044 CW 2020-12-13 1402 VE3JM         599 ON N4GG          599 GA
