START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: WD6T
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: WD6T
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2020.
QSO: 28034 CW 2020-12-12 0000 WD6T          599 CA CE2LR         599 2
QSO: 28000 CW 2020-12-12 0001 WD6T          599 CA LU8QT         599 1
QSO: 28026 CW 2020-12-12 0003 WD6T          599 CA LU8DPM        599 0006
QSO: 28014 CW 2020-12-12 0006 WD6T          599 CA LW5HR         599 13
QSO: 28000 CW 2020-12-12 0009 WD6T          599 CA LU2DX         599 19
QSO: 28021 CW 2020-12-12 0009 WD6T          599 CA L33M          599 18
QSO: 28029 CW 2020-12-12 0010 WD6T          599 CA K3EST         599 CA
QSO: 28031 CW 2020-12-12 0011 WD6T          599 CA K6IJ          599 CA
QSO: 28039 CW 2020-12-12 0012 WD6T          599 CA LU4HK         599 16
QSO: 28040 CW 2020-12-12 0014 WD6T          599 CA LU8MHL        599 19
QSO: 28042 CW 2020-12-12 0015 WD6T          599 CA LR1E          599 22
QSO: 28027 CW 2020-12-12 0018 WD6T          599 CA KX7M          599 CA
QSO: 28031 CW 2020-12-12 0018 WD6T          599 CA K6SRZ         599 CA
QSO: 28008 CW 2020-12-12 0023 WD6T          599 CA W6YX          599 CA
QSO: 28019 CW 2020-12-12 0025 WD6T          599 CA VK2IA         599 6
QSO: 28031 CW 2020-12-12 0036 WD6T          599 CA N6TV          599 CA
QSO: 28000 CW 2020-12-12 0038 WD6T          599 CA FK8IK         599 23
QSO: 28030 CW 2020-12-12 0040 WD6T          599 CA W0YK          599 CA
QSO: 28028 CW 2020-12-12 0044 WD6T          599 CA VK4QH         599 6
QSO: 28021 CW 2020-12-12 0046 WD6T          599 CA VK4SN         599 14
QSO: 28017 CW 2020-12-12 0055 WD6T          599 CA N6XI          599 CA
QSO: 28000 CW 2020-12-12 0103 WD6T          599 CA XE2S          599 SON
QSO: 28038 CW 2020-12-12 0103 WD6T          599 CA CE2ML         599 85
QSO: 28038 CW 2020-12-12 0103 WD6T          599 CA CE2ML         599 86
QSO: 28032 CW 2020-12-12 0105 WD6T          599 CA KE6MT         599 CA
QSO: 28031 CW 2020-12-12 0106 WD6T          599 CA K6EI          599 CA
QSO: 28030 CW 2020-12-12 0107 WD6T          599 CA W6MOB         599 CA
QSO: 28030 CW 2020-12-12 0114 WD6T          599 CA N6IE          599 CA
QSO: 28030 CW 2020-12-12 0114 WD6T          599 CA N6TQ          599 CA
QSO: 28030 CW 2020-12-12 0115 WD6T          599 CA K6UF          599 CA
QSO: 28400 PH 2020-12-12 0121 WD6T          59 CA NC6R          59 CA
QSO: 28035 CW 2020-12-12 0125 WD6T          599 CA K6RIM         599 CA
QSO: 28017 CW 2020-12-12 0127 WD6T          599 CA ZL1IF         599 88
QSO: 28064 CW 2020-12-12 0143 WD6T          599 CA LS2D          599 0045
QSO: 28444 PH 2020-12-12 0146 WD6T          59 CA LU8DPM        59 0146
QSO: 28468 PH 2020-12-12 0150 WD6T          59 CA LR1E          59 173
QSO: 28395 PH 2020-12-12 0155 WD6T          59 CA XE1BRX        59 GTO
QSO: 28045 CW 2020-12-12 0201 WD6T          599 CA VK2GR         599 84
QSO: 28033 CW 2020-12-12 0206 WD6T          599 CA K6TJ          599 CA
QSO: 28069 CW 2020-12-12 0217 WD6T          599 CA XE2AD         599 AGS
QSO: 28049 CW 2020-12-12 0221 WD6T          599 CA XE1CT         599 GTO
QSO: 28000 CW 2020-12-12 0234 WD6T          599 CA KV0Q          599 CO
QSO: 28021 CW 2020-12-12 0235 WD6T          599 CA N6WM          599 CA
QSO: 28050 CW 2020-12-12 0237 WD6T          599 CA KR4F          599 AL
QSO: 28054 CW 2020-12-12 0240 WD6T          599 CA W7CXX         599 UT
QSO: 28000 CW 2020-12-12 0244 WD6T          599 CA WA7NB         599 AZ
QSO: 28045 CW 2020-12-12 0245 WD6T          599 CA LU5FC         599 181
QSO: 28023 CW 2020-12-12 0253 WD6T          599 CA K0RF          599 CO
QSO: 28005 CW 2020-12-12 0256 WD6T          599 CA N7AT          599 AZ
QSO: 28039 CW 2020-12-12 0301 WD6T          599 CA K9YC          599 CA
QSO: 28047 CW 2020-12-12 0302 WD6T          599 CA K6WSC         599 AZ
QSO: 28017 CW 2020-12-12 0306 WD6T          599 CA WW5M          599 TN
QSO: 28057 CW 2020-12-12 0309 WD6T          599 CA K5TQ          599 NM
QSO: 28037 CW 2020-12-12 0316 WD6T          599 CA AD8J          599 NC
QSO: 28038 CW 2020-12-12 0322 WD6T          599 CA AA7A          599 AZ
QSO: 28056 CW 2020-12-12 0328 WD6T          599 CA K7WP          599 AZ
QSO: 28027 CW 2020-12-12 0330 WD6T          599 CA N5JJ          599 TX
QSO: 28032 CW 2020-12-12 0335 WD6T          599 CA N6SS          599 AZ
QSO: 28043 CW 2020-12-12 0336 WD6T          599 CA K7GA          599 AZ
QSO: 28057 CW 2020-12-12 0339 WD6T          599 CA NX5M          599 TX
QSO: 28000 CW 2020-12-12 0408 WD6T          599 CA XE2CQ         599 BAC
QSO: 28062 CW 2020-12-12 0408 WD6T          599 CA N5ZO          599 CA
QSO: 28024 CW 2020-12-12 0410 WD6T          599 CA ND7K          599 AZ
QSO: 28036 CW 2020-12-12 1718 WD6T          599 CA K6CTA         599 CA
QSO: 28000 CW 2020-12-12 1738 WD6T          599 CA AJ6V          599 CA
QSO: 28043 CW 2020-12-12 1753 WD6T          599 CA NV9L          599 IL
QSO: 28066 CW 2020-12-12 1754 WD6T          599 CA K8MP          599 OH
QSO: 28034 CW 2020-12-12 1755 WD6T          599 CA K8AJS         599 OH
QSO: 28015 CW 2020-12-12 1756 WD6T          599 CA K1KI          599 CT
QSO: 28055 CW 2020-12-12 1810 WD6T          599 CA K4HAL         599 AL
QSO: 28066 CW 2020-12-12 1811 WD6T          599 CA K6RC          599 CA
QSO: 28043 CW 2020-12-12 1814 WD6T          599 CA VE3UTT        599 ON
QSO: 28000 CW 2020-12-12 1819 WD6T          599 CA W4DAN         599 TN
QSO: 28048 CW 2020-12-12 1824 WD6T          599 CA KY7M          599 AZ
