START-OF-LOG: 3.0
CREATED-BY: spcwc-ttc-public-log-downloader
CONTEST: TTC-SPCWC
CALLSIGN: DL0UM
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: 40M
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY: SO40-LP
CLAIMED-SCORE: 10
OPERATORS: DL0UM
SOAPBOX: Generated from public checked-log view https://spcwc.pl/46/log/DL0UM?lang=en
SOAPBOX: QSO status/error details from the public page are not represented in Cabrillo QSO lines.
SOAPBOX: Public checked-log view reported 2 QSO rows with non-OK status.
QSO:  7025 CW 2026-07-28 2022 DL0UM         599 001    OK1TRJ        599 094   
QSO:  7025 CW 2026-07-28 2022 DL0UM         599 002    DM6M          599 093   
QSO:  7025 CW 2026-07-28 2023 DL0UM         599 003    OK5MO         599 092   
QSO:  7025 CW 2026-07-28 2023 DL0UM         599 004    DK2FG         599 095   
QSO:  7025 CW 2026-07-28 2024 DL0UM         599 005    SN1T          599 134   
QSO:  7025 CW 2026-07-28 2024 DL0UM         599 006    DL2NBY        599 110   
QSO:  7025 CW 2026-07-28 2025 DL0UM         599 007    LZ5DI         599 122   
QSO:  7025 CW 2026-07-28 2025 DL0UM         599 008    EI9KO         599 016   
QSO:  7025 CW 2026-07-28 2026 DL0UM         599 009    E77EA         599 118   
QSO:  7025 CW 2026-07-28 2026 DL0UM         599 010    SM7T          599 101   
QSO:  7025 CW 2026-07-28 2027 DL0UM         599 011    US1VM         599 069   
QSO:  7025 CW 2026-07-28 2029 DL0UM         599 012    OK1DZD        599 014   
END-OF-LOG:
